,SQ,PYPL,V,MA,AXP,FIS,ADYEN.AS,FISV,GPN,DFS,APT.AX,WLN.PA,STNE,ETFMG Sit Ultra Short ETF,PAGS,AFRM,FLT,NEXI.MI,NVEI.TO,3769.T,FOUR,WEX,WU,GDOT,FLYW,NCR,EEFT,ACIW,EVTC,NETW.L,9923.HK,EVOP,327.HK,CIEL3.SA,EML.AX,IIIV,8584.T,BOKU.L,CTLP,FGXXX,SZL.AX,4051.T,QIWI,IMXI,PAY.L,UEPS,PAYS,4847.T,British Pounds,688101.SS,n/a,SUM
07/09/2021,6.47,6.33,5.82,5.79,5.73,5.54,4.97,4.71,4.0,2.99,2.78,2.58,2.36,2.31,2.26,2.23,2.19,2.06,2.04,1.79,1.66,1.65,1.6,1.56,1.55,1.53,1.51,1.42,1.4,1.34,1.33,1.29,1.19,1.13,0.46,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.34,0.33,0.22,0.21,0.14,0.13,0.0,0.0,0.0,99.98
07/12/2021,6.51,6.48,5.92,5.81,5.84,5.59,5.09,4.72,3.98,2.94,2.8,2.65,2.3,2.3,2.21,2.09,2.18,2.11,2.09,1.8,1.65,1.64,1.6,1.5,1.55,1.52,1.51,1.41,1.37,1.32,1.22,1.32,1.18,1.08,0.47,0.46,0.45,0.46,0.42,0.29,0.43,0.4,0.33,0.34,0.23,0.19,0.12,0.13,0.0,0.0,0.0,100.0
07/13/2021,6.51,6.48,5.92,5.81,5.84,5.59,5.09,4.72,3.98,2.94,2.8,2.65,2.3,2.3,2.21,2.09,2.18,2.11,2.09,1.8,1.65,1.64,1.6,1.5,1.55,1.52,1.51,1.41,1.37,1.32,1.22,1.32,1.18,1.08,0.47,0.46,0.45,0.46,0.42,0.29,0.43,0.4,0.33,0.34,0.23,0.19,0.12,0.13,0.0,0.0,0.0,100.0
07/14/2021,6.46,6.57,5.9,5.82,5.89,5.57,5.16,4.73,3.96,3.05,2.76,2.61,2.22,2.3,2.12,2.19,2.16,2.04,2.08,1.78,1.68,1.63,1.62,1.53,1.54,1.54,1.52,1.4,1.39,1.3,1.2,1.32,1.2,1.06,0.49,0.46,0.44,0.44,0.41,0.29,0.42,0.38,0.33,0.35,0.23,0.19,0.13,0.13,0.0,0.0,0.0,99.99
07/15/2021,6.48,6.61,5.86,5.84,5.93,5.57,5.21,4.71,3.93,3.14,2.77,2.64,2.18,2.3,2.04,2.11,2.15,2.06,2.08,1.8,1.69,1.63,1.6,1.51,1.5,1.51,1.52,1.39,1.39,1.32,1.22,1.32,1.29,1.09,0.48,0.46,0.44,0.43,0.4,0.29,0.41,0.39,0.32,0.34,0.23,0.19,0.12,0.13,0.0,0.0,0.0,100.02
07/16/2021,6.45,6.59,5.99,5.98,5.91,5.63,5.24,4.78,3.97,3.12,2.76,2.64,2.16,2.3,2.06,1.89,2.14,2.05,2.06,1.78,1.68,1.6,1.63,1.5,1.43,1.47,1.5,1.38,1.4,1.32,1.22,1.33,1.29,1.11,0.48,0.47,0.44,0.42,0.38,0.29,0.41,0.42,0.32,0.34,0.23,0.19,0.12,0.13,0.0,0.0,0.0,100.0
07/19/2021,6.33,6.54,6.2,6.14,5.97,5.77,5.31,4.85,4.09,3.1,2.45,2.63,2.03,2.32,2.02,1.89,2.21,2.01,2.0,1.82,1.62,1.62,1.64,1.51,1.38,1.49,1.46,1.36,1.39,1.27,1.23,1.34,1.28,1.11,0.48,0.45,0.45,0.43,0.37,0.29,0.39,0.43,0.34,0.35,0.24,0.19,0.12,0.13,0.0,0.0,0.0,100.04
07/20/2021,6.33,6.54,6.2,6.14,5.97,5.77,5.31,4.85,4.09,3.1,2.45,2.63,2.03,2.32,2.02,1.89,2.21,2.01,2.0,1.82,1.62,1.62,1.64,1.51,1.38,1.49,1.46,1.36,1.39,1.27,1.23,1.34,1.28,1.11,0.48,0.45,0.45,0.43,0.37,0.29,0.39,0.43,0.34,0.35,0.24,0.19,0.12,0.13,0.0,0.0,0.0,100.04
07/21/2021,6.42,6.53,6.21,6.11,5.9,5.79,5.38,4.89,4.1,3.04,2.42,2.64,1.99,2.33,2.06,1.9,2.2,2.03,1.97,1.81,1.61,1.63,1.65,1.53,1.38,1.46,1.46,1.35,1.37,1.3,1.17,1.33,1.26,1.11,0.49,0.45,0.45,0.43,0.37,0.3,0.39,0.43,0.33,0.35,0.23,0.19,0.11,0.13,0.0,0.0,0.0,99.98
07/22/2021,6.42,6.53,6.21,6.11,5.9,5.79,5.38,4.89,4.1,3.04,2.42,2.64,1.99,2.33,2.06,1.9,2.2,2.03,1.97,1.81,1.61,1.63,1.65,1.53,1.38,1.46,1.46,1.35,1.37,1.3,1.17,1.33,1.26,1.11,0.49,0.45,0.45,0.43,0.37,0.3,0.39,0.43,0.33,0.35,0.23,0.19,0.11,0.13,0.0,0.0,0.0,99.98
