,2SPY  210930C00000740,2SPY  210930P00428060,Cash&Other,2SPY  210930P00342450,2SPY  210930C00431060,2SPY  211231C00000740,2SPY  211231P00429140,2SPY  211231P00343310,2SPY  211231C00433470,SUM
08/16/2021,103.2,1.07,0.11,-0.13,-4.26,0.0,0.0,0.0,0.0,99.99
08/17/2021,103.36,1.01,0.11,-0.14,-4.35,0.0,0.0,0.0,0.0,99.99
08/18/2021,103.36,1.01,0.11,-0.14,-4.35,0.0,0.0,0.0,0.0,99.99
08/19/2021,103.66,0.96,0.11,-0.13,-4.61,0.0,0.0,0.0,0.0,99.99
08/20/2021,102.85,1.22,0.11,-0.15,-4.03,0.0,0.0,0.0,0.0,100.0
08/23/2021,102.14,1.61,0.1,-0.21,-3.65,0.0,0.0,0.0,0.0,99.99
08/24/2021,102.79,1.18,0.1,-0.15,-3.92,0.0,0.0,0.0,0.0,100.0
08/25/2021,102.79,1.18,0.1,-0.15,-3.92,0.0,0.0,0.0,0.0,100.0
08/26/2021,103.77,0.84,0.1,-0.12,-4.58,0.0,0.0,0.0,0.0,100.01
08/27/2021,103.82,0.81,0.09,-0.11,-4.61,0.0,0.0,0.0,0.0,100.0
08/30/2021,103.51,0.91,0.09,-0.12,-4.4,0.0,0.0,0.0,0.0,99.99
08/31/2021,104.33,0.61,0.09,-0.09,-4.93,0.0,0.0,0.0,0.0,100.01
09/01/2021,104.33,0.61,0.09,-0.09,-4.93,0.0,0.0,0.0,0.0,100.01
09/02/2021,104.85,0.51,0.08,-0.08,-5.36,0.0,0.0,0.0,0.0,100.0
09/03/2021,104.83,0.5,0.08,-0.08,-5.34,0.0,0.0,0.0,0.0,99.99
09/06/2021,104.98,0.44,0.07,-0.07,-5.44,0.0,0.0,0.0,0.0,99.98
09/07/2021,104.97,0.41,0.07,-0.07,-5.38,0.0,0.0,0.0,0.0,100.0
09/08/2021,104.97,0.41,0.07,-0.07,-5.38,0.0,0.0,0.0,0.0,100.0
09/09/2021,104.97,0.41,0.07,-0.07,-5.38,0.0,0.0,0.0,0.0,100.0
09/10/2021,104.58,0.46,0.07,-0.08,-5.04,0.0,0.0,0.0,0.0,99.98999999999998
09/13/2021,104.01,0.5,0.06,-0.07,-4.51,0.0,0.0,0.0,0.0,99.99
09/14/2021,103.26,0.67,0.06,-0.1,-3.88,0.0,0.0,0.0,0.0,100.01000000000002
09/15/2021,103.26,0.67,0.06,-0.1,-3.88,0.0,0.0,0.0,0.0,100.01000000000002
09/16/2021,103.61,0.48,0.06,-0.08,-4.07,0.0,0.0,0.0,0.0,100.0
09/17/2021,102.98,0.49,0.05,-0.03,-3.5,0.0,0.0,0.0,0.0,99.99
09/20/2021,103.57,0.36,0.05,-0.02,-3.96,0.0,0.0,0.0,0.0,100.0
09/21/2021,102.46,0.52,0.04,-0.01,-3.01,0.0,0.0,0.0,0.0,100.0
09/22/2021,102.46,0.52,0.04,-0.01,-3.01,0.0,0.0,0.0,0.0,100.0
09/23/2021,100.75,1.1,0.05,-0.03,-1.87,0.0,0.0,0.0,0.0,100.0
09/24/2021,100.76,0.93,0.04,-0.01,-1.72,0.0,0.0,0.0,0.0,100.0
09/27/2021,102.89,0.14,0.02,0.0,-3.05,0.0,0.0,0.0,0.0,100.0
09/28/2021,103.01,0.08,0.01,0.0,-3.11,0.0,0.0,0.0,0.0,99.99
09/29/2021,103.01,0.08,0.01,0.0,-3.11,0.0,0.0,0.0,0.0,99.99
09/30/2021,102.25,0.05,0.46,-0.01,-2.75,0.0,0.0,0.0,0.0,100.0
10/01/2021,100.4,0.3,0.46,0.0,-1.15,0.0,0.0,0.0,0.0,100.01
10/04/2021,0.0,0.0,0.74,0.0,0.0,98.89,3.78,-0.58,-2.88,99.95
10/05/2021,0.0,0.0,0.28,0.0,0.0,100.46,3.32,-0.5,-3.56,100.0
10/06/2021,0.0,0.0,0.28,0.0,0.0,100.46,3.32,-0.5,-3.56,100.0
10/07/2021,0.0,0.0,0.28,0.0,0.0,99.44,3.9,-0.57,-3.06,99.99
10/08/2021,0.0,0.0,0.14,0.0,0.0,100.32,3.36,-0.47,-3.35,100.0
10/12/2021,0.0,0.0,0.14,0.0,0.0,101.3,2.78,-0.36,-3.86,100.0
