,COST,WMT,T,KR,ABC,CVS,VZ,TGT,JNJ,HUM,PG,PEP,LMT,ABBV,MRK,ALL,PGR,PFE,TSN,BMY,ORCL,NOC,DG,MMM,PM,VIAC,MDLZ,LLY,GILD,KHC,DUK,SO,KMB,BDX,MCD,LUMN,GIS,LHX,CL,LH,WM,AEP,AZO,K,EIX,OTIS,ORLY,D,TSCO,XEL,ED,BAX,DVA,CAG,DISCK,DISCA,SRE,DGX,DTE,FE,RSG,ETR,JBHT,HRL,PEG,AIZ,HII,CPB,ES,HSY,SJM,CLX,WEC,CMS,PPL,YUM,MKC,CCI,AEE,EA,CERN,EVRG,CHD,PRGO,NI,DPZ,DLR,IRM,CBOE,AWK,PSA,PNW,LNT,ATO,FGXXX,ARE,NLOK,SBAC,DTM WI,COG,MAA,EXR,DRE,CNC,IBM,ABT,KO,DHR,SHW,FOXA,TAP,HBI,EQIX,HAS,HOLX,SEE,CTXS,SUM
07/09/2021,5.14,4.99,4.94,4.93,4.9,4.81,4.71,3.62,3.15,3.07,2.78,2.64,2.38,1.83,1.83,1.75,1.74,1.71,1.57,1.56,1.43,1.35,1.27,1.21,1.07,1.04,0.99,0.97,0.96,0.93,0.86,0.75,0.72,0.72,0.72,0.7,0.67,0.66,0.61,0.6,0.58,0.57,0.51,0.51,0.5,0.49,0.48,0.48,0.44,0.44,0.44,0.44,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.39,0.38,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.33,0.3,0.29,0.28,0.28,0.25,0.25,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.1,0.09,0.09,0.08,0.07,0.06,0.06,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,5.24,4.98,4.91,4.84,4.81,4.73,4.7,3.66,3.19,3.11,2.8,2.65,2.39,1.86,1.83,1.75,1.74,1.7,1.55,1.57,1.54,1.36,1.29,1.21,1.05,0.99,0.99,1.0,0.94,0.91,0.87,0.75,0.73,0.73,0.72,0.68,0.67,0.67,0.61,0.61,0.59,0.57,0.51,0.51,0.5,0.5,0.49,0.48,0.44,0.44,0.44,0.43,0.42,0.42,0.39,0.39,0.4,0.4,0.4,0.39,0.39,0.37,0.37,0.35,0.35,0.34,0.33,0.33,0.34,0.31,0.29,0.29,0.28,0.25,0.25,0.22,0.21,0.23,0.21,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.13,0.12,0.12,0.11,0.08,0.09,0.09,0.08,0.0,0.06,0.07,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/13/2021,5.24,4.98,4.91,4.84,4.81,4.73,4.7,3.66,3.19,3.11,2.8,2.65,2.39,1.86,1.83,1.75,1.74,1.7,1.55,1.57,1.54,1.36,1.29,1.21,1.05,0.99,0.99,1.0,0.94,0.91,0.87,0.75,0.73,0.73,0.72,0.68,0.67,0.67,0.61,0.61,0.59,0.57,0.51,0.51,0.5,0.5,0.49,0.48,0.44,0.44,0.44,0.43,0.42,0.42,0.39,0.39,0.4,0.4,0.4,0.39,0.39,0.37,0.37,0.35,0.35,0.34,0.33,0.33,0.34,0.31,0.29,0.29,0.28,0.25,0.25,0.22,0.21,0.23,0.21,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.15,0.14,0.14,0.15,0.13,0.12,0.12,0.11,0.08,0.09,0.09,0.08,0.0,0.06,0.07,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/14/2021,5.33,4.99,4.82,4.92,4.81,4.73,4.65,3.67,3.2,3.1,2.8,2.64,2.38,1.86,1.82,1.75,1.74,1.7,1.56,1.56,1.56,1.36,1.28,1.22,1.06,0.99,0.99,0.99,0.94,0.91,0.87,0.74,0.73,0.73,0.72,0.69,0.66,0.67,0.61,0.61,0.58,0.57,0.52,0.51,0.5,0.5,0.49,0.48,0.43,0.44,0.44,0.43,0.42,0.42,0.39,0.39,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.35,0.35,0.34,0.32,0.33,0.34,0.31,0.29,0.28,0.28,0.25,0.25,0.22,0.21,0.23,0.2,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.12,0.12,0.11,0.07,0.09,0.09,0.08,0.0,0.06,0.07,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,5.27,4.98,4.82,4.92,4.83,4.75,4.66,3.72,3.19,3.11,2.8,2.64,2.36,1.87,1.81,1.76,1.75,1.71,1.53,1.57,1.55,1.35,1.27,1.21,1.05,1.0,0.99,1.0,0.94,0.9,0.88,0.75,0.73,0.72,0.72,0.68,0.65,0.67,0.61,0.61,0.58,0.57,0.52,0.5,0.5,0.5,0.49,0.48,0.43,0.44,0.44,0.43,0.42,0.41,0.39,0.39,0.4,0.4,0.4,0.38,0.38,0.37,0.37,0.34,0.35,0.34,0.32,0.33,0.34,0.31,0.29,0.28,0.28,0.25,0.25,0.21,0.21,0.24,0.21,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.12,0.12,0.12,0.07,0.09,0.09,0.08,0.0,0.06,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,5.28,5.02,4.81,4.91,4.79,4.76,4.67,3.73,3.2,3.14,2.8,2.71,2.36,1.88,1.81,1.74,1.72,1.71,1.52,1.58,1.56,1.34,1.28,1.21,1.04,0.98,0.99,1.0,0.94,0.89,0.88,0.74,0.73,0.72,0.73,0.68,0.65,0.67,0.61,0.6,0.58,0.57,0.52,0.5,0.5,0.5,0.49,0.48,0.43,0.44,0.44,0.43,0.41,0.39,0.38,0.38,0.4,0.4,0.4,0.38,0.38,0.36,0.37,0.35,0.34,0.34,0.32,0.32,0.34,0.31,0.29,0.28,0.28,0.25,0.25,0.21,0.21,0.23,0.21,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.12,0.12,0.12,0.09,0.09,0.09,0.08,0.0,0.06,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99000000000002
07/19/2021,5.31,5.03,4.81,4.98,4.72,4.76,4.68,3.72,3.16,3.17,2.83,2.74,2.35,1.86,1.81,1.71,1.66,1.72,1.51,1.57,1.53,1.33,1.28,1.22,1.05,0.95,1.0,0.98,0.94,0.89,0.89,0.76,0.73,0.71,0.72,0.67,0.66,0.67,0.62,0.6,0.59,0.58,0.53,0.5,0.5,0.51,0.49,0.48,0.44,0.44,0.44,0.43,0.41,0.4,0.37,0.37,0.39,0.4,0.4,0.38,0.39,0.37,0.37,0.35,0.35,0.34,0.32,0.32,0.35,0.31,0.29,0.29,0.29,0.25,0.25,0.21,0.21,0.23,0.21,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.13,0.12,0.12,0.11,0.1,0.09,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,5.31,5.03,4.81,4.98,4.72,4.76,4.68,3.72,3.16,3.17,2.83,2.74,2.35,1.86,1.81,1.71,1.66,1.72,1.51,1.57,1.53,1.33,1.28,1.22,1.05,0.95,1.0,0.98,0.94,0.89,0.89,0.76,0.73,0.71,0.72,0.67,0.66,0.67,0.62,0.6,0.59,0.58,0.53,0.5,0.5,0.51,0.49,0.48,0.44,0.44,0.44,0.43,0.41,0.4,0.37,0.37,0.39,0.4,0.4,0.38,0.39,0.37,0.37,0.35,0.35,0.34,0.32,0.32,0.35,0.31,0.29,0.29,0.29,0.25,0.25,0.21,0.21,0.23,0.21,0.2,0.2,0.19,0.19,0.17,0.16,0.16,0.16,0.15,0.14,0.15,0.13,0.13,0.12,0.12,0.11,0.1,0.09,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/21/2021,5.29,5.02,4.79,5.04,4.7,4.73,4.67,3.69,3.15,3.19,2.86,2.74,2.34,1.86,1.81,1.7,1.68,1.73,1.5,1.56,1.55,1.32,1.28,1.2,1.05,0.93,1.0,0.98,0.94,0.89,0.9,0.76,0.74,0.72,0.72,0.64,0.66,0.67,0.62,0.59,0.59,0.58,0.53,0.5,0.5,0.51,0.5,0.49,0.44,0.45,0.45,0.43,0.4,0.4,0.37,0.37,0.4,0.4,0.41,0.38,0.39,0.37,0.37,0.35,0.35,0.33,0.32,0.33,0.35,0.31,0.3,0.29,0.29,0.26,0.25,0.21,0.21,0.23,0.21,0.2,0.19,0.2,0.19,0.17,0.17,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.1,0.1,0.09,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,5.29,5.02,4.79,5.04,4.7,4.73,4.67,3.69,3.15,3.19,2.86,2.74,2.34,1.86,1.81,1.7,1.68,1.73,1.5,1.56,1.55,1.32,1.28,1.2,1.05,0.93,1.0,0.98,0.94,0.89,0.9,0.76,0.74,0.72,0.72,0.64,0.66,0.67,0.62,0.59,0.59,0.58,0.53,0.5,0.5,0.51,0.5,0.49,0.44,0.45,0.45,0.43,0.4,0.4,0.37,0.37,0.4,0.4,0.41,0.38,0.39,0.37,0.37,0.35,0.35,0.33,0.32,0.33,0.35,0.31,0.3,0.29,0.29,0.26,0.25,0.21,0.21,0.23,0.21,0.2,0.19,0.2,0.19,0.17,0.17,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.1,0.1,0.09,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,5.29,5.02,4.79,5.04,4.7,4.73,4.67,3.69,3.15,3.19,2.86,2.74,2.34,1.86,1.81,1.7,1.68,1.73,1.5,1.56,1.55,1.32,1.28,1.2,1.05,0.93,1.0,0.98,0.94,0.89,0.9,0.76,0.74,0.72,0.72,0.64,0.66,0.67,0.62,0.59,0.59,0.58,0.53,0.5,0.5,0.51,0.5,0.49,0.44,0.45,0.45,0.43,0.4,0.4,0.37,0.37,0.4,0.4,0.41,0.38,0.39,0.37,0.37,0.35,0.35,0.33,0.32,0.33,0.35,0.31,0.3,0.29,0.29,0.26,0.25,0.21,0.21,0.23,0.21,0.2,0.19,0.2,0.19,0.17,0.17,0.16,0.16,0.14,0.13,0.15,0.13,0.13,0.13,0.12,0.1,0.1,0.09,0.08,0.0,0.05,0.08,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
