,AAPL,MSFT,TSLA,GOOGL,AMZN,NVDA,LVMUY,ADBE,NKE,MA,COST,V,CRM,LLY,LULU,UBER,ABNB,FB,MELI,SLB,HLT,EL,SYK,AMT,CRWD,SNAP,ADYEY,ORLY,HD,TJX,TGT,CNC,LRLCY,ZTS,TEAM,SBAC,SNOW,JPM,MTCH,n/a,MCO,BX,CMG,APTV,A,DXCM,NFLX,SHOP,MRVL,ABBV,LRCX,ZS,NVO,CFRUY,AVGO,TMO,EXPE,TWLO,TTD,CTSH,MAR,AZN,BMY,APO,SPOT,RBLX,PANW,OKTA,ASML,UNH,ABT,SPGI,DHR,GS,WDAY,ISRG,META,VRTX,MRK,DDOG,SUM
05/10/2022,11.08,10.85,7.95,7.0,6.36,2.82,1.62,1.51,1.5,1.44,1.44,1.41,1.4,1.4,1.39,1.36,1.27,1.26,1.2,1.19,1.18,1.16,1.1,1.09,1.09,1.09,1.07,1.06,1.06,1.01,0.98,0.96,0.93,0.91,0.86,0.83,0.79,0.79,0.78,0.75,0.72,0.72,0.7,0.69,0.67,0.58,0.57,0.55,0.5,0.5,0.5,0.47,0.46,0.45,0.45,0.43,0.39,0.38,0.37,0.37,0.36,0.35,0.34,0.34,0.32,0.31,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.0,0.0,0.0,0.0,100.03999999999998
06/22/2022,10.78,11.25,6.84,7.49,6.78,2.12,1.76,0.83,1.38,1.46,1.44,2.12,1.56,1.61,1.3,1.82,1.02,0.0,0.94,1.2,1.08,1.32,1.02,1.24,1.15,0.41,1.05,1.2,1.11,1.07,0.42,1.03,1.01,0.97,0.84,0.64,0.66,0.83,0.4,1.51,0.73,0.73,0.73,0.71,0.77,0.48,0.61,0.47,0.46,0.25,0.24,0.42,0.49,0.47,0.44,0.91,0.32,0.32,0.36,0.39,0.63,0.73,0.39,0.35,0.35,0.32,0.28,0.24,0.27,0.66,0.27,0.28,0.63,0.25,0.2,0.53,0.67,0.0,0.0,0.0,100.01
07/18/2022,11.61,11.02,7.18,7.36,6.74,2.41,1.81,0.5,1.26,1.45,1.57,2.2,1.47,2.36,0.9,1.16,0.89,0.0,0.93,1.39,1.0,1.29,0.96,1.29,0.84,0.41,1.09,1.31,1.75,1.06,0.42,1.11,1.01,1.0,0.83,0.46,0.77,0.75,0.36,1.58,0.75,0.47,0.71,0.69,0.75,0.25,0.27,0.44,0.45,1.0,0.23,0.41,0.49,0.47,0.41,0.91,0.27,0.29,0.31,0.36,0.58,0.74,0.37,0.34,0.32,0.43,0.28,0.0,0.25,0.7,0.27,0.29,0.63,0.24,0.0,0.25,0.62,0.25,0.0,0.0,99.99
08/01/2022,11.23,10.94,7.72,6.05,6.8,2.58,1.83,0.49,0.71,1.77,2.24,2.06,1.51,2.18,0.89,1.2,0.97,0.0,1.03,1.45,1.03,1.31,1.0,1.23,0.81,0.0,1.22,0.97,1.34,1.01,0.42,1.09,1.01,0.97,0.83,0.44,0.69,0.73,0.37,2.15,0.77,0.49,0.79,0.74,0.78,0.26,0.32,0.0,0.46,0.91,0.67,0.0,0.47,0.49,0.41,0.66,0.3,0.0,0.32,0.34,0.6,0.69,0.34,0.36,0.35,0.45,0.26,0.0,0.28,1.19,0.25,0.28,0.67,0.25,0.0,0.26,0.58,0.5,0.73,0.52,100.01
