,J36.SI,LEG.DE,2802.T,9434.T,7309.T,2914.T,4901.T,S68.SI,CA.PA,CLNX.MC,7974.T,3988.HK,3659.T,7532.T,DWNI.DE,RENE.LS,9432.T,ROG.SW,NOVO B.CO,6502.T,NESN.SW,6178.T,COLO B.CO,8725.T,HFG.DE,4307.T,AD.AS,JMT.LS,G24.DE,5020.T,CHR.CO,SHL.DE,SY1.DE,9843.T,5108.T,KRZ.IR,9143.T,7741.T,9433.T,BEI.DE,8058.T,2318.HK,939.HK,TSCO.L,Z74.SI,GIVN.SW,6869.T,8113.T,NZYM B.CO,1288.HK,AZN.L,4523.T,BT.A.L,2503.T,ADM.L,4911.T,3382.T,KNIN.SW,9020.T,KRX.IR,8766.T,DIA.MI,4755.T,7751.T,6702.T,FME.DE,RKT.L,4661.T,4503.T,4452.T,4502.T,U11.SI,LONN.SW,NOVN.SW,LISN.SW,DTE.DE,O39.SI,388.HK,4543.T,8001.T,SAN.PA,7701.T,NG.L,WKL.AS,BN4.SI,VNA.DE,ASX.AX,GSK.L,ACKB.BR,4684.T,9735.T,UU.L,HAL.AS,6586.T,4519.T,E.ON SE,DSM.AS,6758.T,9007.T,4507.T,8697.T,TLS.AX,GEBN.SW,TRN.MI,KBX.DE,BATS.L,ULVR.L,COL.AX,SOF.BR,1928.T,IMB.L,4528.T,GRF.MC,MRK.DE,SRG.MI,BXB.AX,RI.PA,6971.T,6981.T,TRYG.CO,HEIA.AS,RMS.PA,6701.T,UCB.BR,OR.PA,CRDA.L,BN.PA,DB1.DE,6861.T,NEXI.MI,NTGY.MC,KNEBV.HE,ELE.MC,6988.T,IBE.MC,SPX.L,RIO.AX,6383.T,TEF.MC,RIO.L,DPW.DE,POLY.L,NOKIA.HE,7832.T,LSEG.L,8267.T,SHL.AX,NCM.AX,WOW.AX,CBA.AX,ORA.PA,UPM.HE,SCHP.SW,VIV.PA,EDPR.LS,DGE.L,FMG.AX,TEL.OL,AI.PA,TMV.DE,EL.PA,NESTE.HE,BNR.DE,DSY.PA,6367.T,KGF.L,UMI.BR,WES.AX,FBK.MI,HSBA.L,FLTR.L,G.MI,LOGN.SW,VOE.VI,GMAB.CO,PRY.MI,EDP.LS,SGE.L,AKZA.AS,TEP.PA,ERF.PA,BA.L,ORSTED.CO,ZAL.DE,ALO.PA,CSL.AX,REL.L,DIM.PA,BAYN.DE,HLMA.L,4612.T,SSE.L,COH.AX,4568.T,RTO.L,EQNR.OL,BNZL.L,SHB A.ST,MOWI.OL,2413.T,ADDT B.ST,Invesco Shrt-Trm Inv Gov&Agcy Instl,RWE.DE,LR.PA,SAP.DE,DSYA.,TKWY.AS,C31.SI,9201.T,9202.T,VGP.BR,G1A.DE,8604.T,HNR1.DE,4188.T,PSON.L,REE.MC,SVT.L,9064.T,700.HK,7203.T,9983.T,FRE.DE,PUM.DE,WBC.AX,NDA SE.ST,6503.T,ENX.PA,VOD.L,6762.T,4578.T,4689.T,SWED A.ST,AFX.DE,6594.T,SIKA.SW,FERG.L,ENEL.MI,ITRK.L,PEAB B.ST,AUTO.L,ASSA B.ST,PRX.AS,SUM
07/09/2021,1.48,0.98,0.93,0.88,0.86,0.74,0.73,0.71,0.68,0.67,0.67,0.65,0.65,0.63,0.63,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.08
07/12/2021,1.5,1.01,0.92,0.88,0.89,0.73,0.74,0.71,0.69,0.68,0.69,0.64,0.62,0.64,0.62,0.62,0.6,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.61,0.58,0.58,0.62,0.58,0.58,0.59,0.59,0.58,0.56,0.56,0.57,0.58,0.58,0.55,0.56,0.56,0.53,0.51,0.57,0.53,0.55,0.55,0.52,0.52,0.51,0.51,0.5,0.49,0.5,0.52,0.49,0.49,0.5,0.5,0.51,0.49,0.51,0.49,0.49,0.5,0.47,0.5,0.5,0.48,0.48,0.48,0.49,0.5,0.48,0.49,0.48,0.47,0.49,0.47,0.46,0.45,0.47,0.47,0.47,0.44,0.47,0.45,0.45,0.45,0.46,0.44,0.46,0.43,0.46,0.42,0.0,0.44,0.44,0.44,0.44,0.43,0.42,0.43,0.43,0.4,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.4,0.42,0.4,0.41,0.39,0.4,0.43,0.4,0.39,0.4,0.39,0.39,0.39,0.4,0.39,0.39,0.4,0.39,0.38,0.39,0.38,0.37,0.38,0.38,0.37,0.36,0.35,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.36,0.35,0.35,0.33,0.34,0.34,0.33,0.33,0.33,0.35,0.33,0.34,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.34,0.34,0.0,0.32,0.33,0.35,0.32,0.33,0.34,0.33,0.32,0.0,0.32,0.0,0.32,0.31,0.31,0.0,0.45,0.34,0.32,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.19
07/13/2021,1.5,1.01,0.92,0.88,0.89,0.73,0.74,0.71,0.69,0.68,0.69,0.64,0.62,0.64,0.62,0.62,0.6,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.61,0.58,0.58,0.62,0.58,0.58,0.59,0.59,0.58,0.56,0.56,0.57,0.58,0.58,0.55,0.56,0.56,0.53,0.51,0.57,0.53,0.55,0.55,0.52,0.52,0.51,0.51,0.5,0.49,0.5,0.52,0.49,0.49,0.5,0.5,0.51,0.49,0.51,0.49,0.49,0.5,0.47,0.5,0.5,0.48,0.48,0.48,0.49,0.5,0.48,0.49,0.48,0.47,0.49,0.47,0.46,0.45,0.47,0.47,0.47,0.44,0.47,0.45,0.45,0.45,0.46,0.44,0.46,0.43,0.46,0.42,0.0,0.44,0.44,0.44,0.44,0.43,0.42,0.43,0.43,0.4,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.4,0.42,0.4,0.41,0.39,0.4,0.43,0.4,0.39,0.4,0.39,0.39,0.39,0.4,0.39,0.39,0.4,0.39,0.38,0.39,0.38,0.37,0.38,0.38,0.37,0.36,0.35,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.36,0.35,0.35,0.33,0.34,0.34,0.33,0.33,0.33,0.35,0.33,0.34,0.34,0.34,0.34,0.33,0.34,0.34,0.33,0.34,0.34,0.0,0.32,0.33,0.35,0.32,0.33,0.34,0.33,0.32,0.0,0.32,0.0,0.32,0.31,0.31,0.0,0.45,0.34,0.32,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.19
07/14/2021,1.52,1.02,0.93,0.89,0.92,0.73,0.75,0.71,0.66,0.68,0.66,0.64,0.62,0.65,0.63,0.63,0.61,0.62,0.61,0.6,0.6,0.6,0.6,0.6,0.59,0.59,0.58,0.62,0.58,0.58,0.56,0.59,0.58,0.56,0.57,0.58,0.58,0.57,0.57,0.55,0.57,0.51,0.5,0.57,0.53,0.55,0.55,0.53,0.52,0.51,0.5,0.5,0.48,0.5,0.51,0.49,0.5,0.5,0.51,0.51,0.5,0.5,0.51,0.5,0.51,0.47,0.49,0.5,0.48,0.49,0.48,0.48,0.5,0.49,0.49,0.48,0.46,0.5,0.47,0.47,0.45,0.48,0.46,0.47,0.44,0.47,0.45,0.45,0.44,0.46,0.45,0.46,0.43,0.47,0.43,0.0,0.44,0.44,0.44,0.44,0.43,0.42,0.43,0.43,0.43,0.41,0.42,0.41,0.41,0.42,0.41,0.41,0.4,0.42,0.4,0.41,0.39,0.4,0.43,0.4,0.39,0.39,0.4,0.39,0.38,0.41,0.38,0.38,0.4,0.38,0.38,0.39,0.38,0.38,0.37,0.38,0.37,0.37,0.35,0.36,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.37,0.36,0.35,0.37,0.37,0.35,0.37,0.35,0.35,0.35,0.34,0.0,0.35,0.35,0.35,0.0,0.37,0.34,0.33,0.34,0.34,0.33,0.32,0.33,0.35,0.33,0.35,0.33,0.34,0.34,0.33,0.34,0.35,0.33,0.34,0.33,0.0,0.32,0.33,0.36,0.32,0.33,0.31,0.33,0.32,0.0,0.32,0.0,0.32,0.31,0.0,0.31,0.45,0.31,0.31,0.31,0.32,0.36,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.22
07/15/2021,1.72,0.58,0.63,0.88,0.99,0.71,0.44,0.55,0.64,0.48,0.52,0.73,0.47,0.0,0.42,0.58,0.49,0.44,0.4,0.65,0.54,0.49,0.5,0.45,0.34,0.49,0.58,0.57,0.44,0.49,0.52,0.57,0.45,0.51,0.46,0.58,0.35,0.43,0.47,0.46,0.55,0.64,0.55,0.54,0.65,0.43,0.41,0.46,0.47,0.63,0.46,0.37,0.45,0.53,0.48,0.4,0.45,0.42,0.0,0.55,0.0,0.35,0.53,0.53,0.38,0.5,0.48,0.49,0.38,0.5,0.48,0.64,0.36,0.48,0.0,0.51,0.61,0.0,0.4,0.46,0.41,0.0,0.52,0.41,0.0,0.46,0.51,0.41,0.0,0.45,0.45,0.45,0.5,0.0,0.36,0.0,0.39,0.44,0.0,0.43,0.39,0.45,0.44,0.43,0.57,0.42,0.43,0.45,0.36,0.44,0.41,0.0,0.35,0.38,0.45,0.49,0.43,0.43,0.38,0.41,0.41,0.38,0.39,0.33,0.38,0.37,0.44,0.39,0.4,0.35,0.41,0.4,0.4,0.42,0.4,0.36,0.43,0.0,0.0,0.36,0.32,0.0,0.0,0.39,0.32,0.0,0.44,0.35,0.43,0.0,0.53,0.38,0.37,0.39,0.0,0.4,0.49,0.41,0.38,0.0,0.39,0.0,0.43,0.0,0.0,0.39,0.0,0.4,0.43,0.0,0.35,0.0,0.0,0.42,0.0,0.4,0.0,0.34,0.36,0.41,0.35,0.37,0.0,0.0,0.36,0.36,0.36,0.0,0.45,0.0,0.0,0.35,0.0,0.0,0.33,0.34,0.4,0.43,0.35,0.0,0.45,0.35,0.37,0.33,0.0,0.33,0.0,0.74,0.66,0.64,0.58,0.56,0.54,0.5,0.5,0.49,0.49,0.47,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.36,0.35,0.35,0.33,0.33,0.0,0.0,0.0,0.0,91.56
07/16/2021,1.72,0.58,0.63,0.88,0.99,0.71,0.44,0.55,0.64,0.48,0.52,0.73,0.47,0.0,0.42,0.58,0.49,0.44,0.4,0.65,0.54,0.49,0.5,0.45,0.34,0.49,0.58,0.57,0.44,0.49,0.52,0.57,0.45,0.51,0.46,0.58,0.35,0.43,0.47,0.46,0.55,0.64,0.55,0.54,0.65,0.43,0.41,0.46,0.47,0.63,0.46,0.37,0.45,0.53,0.48,0.4,0.45,0.42,0.0,0.55,0.0,0.35,0.53,0.53,0.38,0.5,0.48,0.49,0.38,0.5,0.48,0.64,0.36,0.48,0.0,0.51,0.61,0.0,0.4,0.46,0.41,0.0,0.52,0.41,0.0,0.46,0.51,0.41,0.0,0.45,0.45,0.45,0.5,0.0,0.36,0.0,0.39,0.44,0.0,0.43,0.39,0.45,0.44,0.43,0.57,0.42,0.43,0.45,0.36,0.44,0.41,0.0,0.35,0.38,0.45,0.49,0.43,0.43,0.38,0.41,0.41,0.38,0.39,0.33,0.38,0.37,0.44,0.39,0.4,0.35,0.41,0.4,0.4,0.42,0.4,0.36,0.43,0.0,0.0,0.36,0.32,0.0,0.0,0.39,0.32,0.0,0.44,0.35,0.43,0.0,0.53,0.38,0.37,0.39,0.0,0.4,0.49,0.41,0.38,0.0,0.39,0.0,0.43,0.0,0.0,0.39,0.0,0.4,0.43,0.0,0.35,0.0,0.0,0.42,0.0,0.4,0.0,0.34,0.36,0.41,0.35,0.37,0.0,0.0,0.36,0.36,0.36,0.0,0.45,0.0,0.0,0.35,0.0,0.0,0.33,0.34,0.4,0.43,0.35,0.0,0.0,0.35,0.37,0.33,0.0,0.33,0.0,0.74,0.66,0.64,0.58,0.56,0.54,0.5,0.5,0.49,0.49,0.47,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.36,0.35,0.35,0.33,0.33,0.45,0.0,0.0,0.0,91.56
07/19/2021,1.72,0.57,0.63,0.89,0.99,0.73,0.44,0.56,0.63,0.47,0.52,0.73,0.47,0.0,0.42,0.58,0.5,0.44,0.4,0.65,0.54,0.5,0.5,0.46,0.34,0.5,0.58,0.57,0.44,0.5,0.52,0.56,0.45,0.52,0.44,0.59,0.35,0.43,0.48,0.46,0.56,0.64,0.55,0.54,0.65,0.43,0.42,0.47,0.47,0.64,0.46,0.37,0.44,0.54,0.48,0.4,0.45,0.42,0.0,0.54,0.0,0.35,0.54,0.54,0.37,0.5,0.47,0.49,0.39,0.5,0.5,0.65,0.35,0.47,0.0,0.51,0.61,0.0,0.39,0.47,0.41,0.0,0.51,0.41,0.0,0.46,0.52,0.41,0.0,0.46,0.45,0.44,0.5,0.0,0.36,0.0,0.39,0.45,0.0,0.44,0.41,0.46,0.44,0.43,0.56,0.42,0.43,0.47,0.36,0.45,0.41,0.0,0.34,0.38,0.45,0.5,0.43,0.45,0.38,0.4,0.41,0.38,0.4,0.32,0.38,0.37,0.44,0.39,0.4,0.35,0.41,0.4,0.39,0.42,0.39,0.36,0.43,0.0,0.0,0.36,0.32,0.0,0.0,0.39,0.0,0.0,0.45,0.36,0.44,0.0,0.53,0.38,0.37,0.4,0.0,0.4,0.5,0.4,0.38,0.34,0.39,0.0,0.43,0.0,0.0,0.39,0.0,0.41,0.41,0.0,0.34,0.0,0.0,0.43,0.0,0.4,0.0,0.34,0.37,0.41,0.34,0.37,0.0,0.0,0.35,0.37,0.37,0.0,0.45,0.0,0.0,0.35,0.33,0.0,0.34,0.34,0.41,0.43,0.34,0.0,0.0,0.0,0.36,0.33,0.0,0.33,0.0,0.74,0.64,0.62,0.58,0.56,0.54,0.5,0.5,0.49,0.49,0.47,0.46,0.48,0.45,0.44,0.44,0.42,0.41,0.41,0.42,0.4,0.39,0.39,0.4,0.4,0.37,0.37,0.36,0.35,0.34,0.32,0.0,0.45,0.32,0.0,0.0,91.73
07/20/2021,1.72,0.57,0.63,0.9,0.97,0.73,0.44,0.56,0.64,0.47,0.52,0.74,0.47,0.0,0.42,0.58,0.5,0.44,0.4,0.65,0.53,0.51,0.5,0.46,0.34,0.49,0.58,0.58,0.44,0.5,0.52,0.57,0.46,0.53,0.44,0.59,0.35,0.43,0.48,0.46,0.55,0.66,0.56,0.54,0.65,0.43,0.42,0.46,0.48,0.65,0.44,0.37,0.45,0.54,0.48,0.4,0.45,0.42,0.0,0.55,0.0,0.36,0.53,0.54,0.37,0.49,0.47,0.49,0.39,0.5,0.5,0.65,0.35,0.47,0.0,0.51,0.61,0.0,0.39,0.47,0.41,0.0,0.51,0.42,0.0,0.46,0.52,0.41,0.0,0.46,0.45,0.44,0.5,0.0,0.36,0.0,0.4,0.44,0.0,0.44,0.39,0.46,0.45,0.43,0.56,0.43,0.43,0.47,0.37,0.45,0.41,0.0,0.34,0.38,0.45,0.5,0.43,0.44,0.38,0.4,0.42,0.39,0.39,0.0,0.38,0.38,0.44,0.39,0.4,0.34,0.41,0.4,0.39,0.42,0.39,0.37,0.44,0.0,0.0,0.37,0.32,0.0,0.0,0.39,0.0,0.0,0.45,0.36,0.44,0.0,0.53,0.38,0.37,0.4,0.0,0.4,0.51,0.41,0.38,0.32,0.38,0.0,0.43,0.0,0.0,0.39,0.0,0.41,0.41,0.0,0.34,0.0,0.0,0.4,0.0,0.4,0.0,0.34,0.37,0.41,0.34,0.37,0.0,0.0,0.35,0.36,0.37,0.33,0.45,0.0,0.0,0.35,0.0,0.0,0.34,0.33,0.41,0.43,0.35,0.0,0.0,0.0,0.36,0.33,0.0,0.33,0.0,0.75,0.65,0.62,0.57,0.54,0.54,0.5,0.5,0.49,0.49,0.48,0.46,0.49,0.45,0.44,0.43,0.41,0.4,0.41,0.41,0.4,0.39,0.4,0.4,0.4,0.37,0.37,0.36,0.36,0.34,0.32,0.0,0.46,0.33,0.32,0.0,91.8
07/21/2021,1.73,0.57,0.63,0.89,0.98,0.74,0.43,0.56,0.64,0.47,0.52,0.74,0.48,0.0,0.42,0.58,0.5,0.45,0.41,0.65,0.54,0.5,0.51,0.46,0.34,0.49,0.59,0.58,0.44,0.49,0.51,0.57,0.46,0.53,0.44,0.59,0.35,0.42,0.47,0.46,0.55,0.67,0.57,0.54,0.65,0.43,0.41,0.46,0.47,0.65,0.44,0.32,0.45,0.53,0.49,0.39,0.45,0.41,0.0,0.55,0.0,0.36,0.53,0.54,0.37,0.5,0.48,0.48,0.39,0.51,0.49,0.65,0.35,0.47,0.0,0.51,0.61,0.0,0.39,0.47,0.41,0.0,0.52,0.42,0.0,0.46,0.52,0.41,0.0,0.45,0.45,0.45,0.51,0.0,0.35,0.0,0.4,0.43,0.0,0.43,0.4,0.46,0.45,0.44,0.57,0.43,0.44,0.47,0.37,0.44,0.41,0.0,0.34,0.38,0.45,0.49,0.43,0.44,0.38,0.4,0.42,0.38,0.39,0.32,0.38,0.38,0.44,0.39,0.4,0.34,0.42,0.4,0.39,0.42,0.39,0.36,0.44,0.0,0.0,0.35,0.32,0.0,0.0,0.38,0.0,0.0,0.45,0.36,0.44,0.0,0.53,0.38,0.37,0.4,0.0,0.41,0.51,0.41,0.38,0.33,0.38,0.0,0.43,0.0,0.0,0.39,0.0,0.41,0.41,0.0,0.34,0.0,0.0,0.4,0.0,0.4,0.0,0.34,0.37,0.41,0.34,0.38,0.0,0.0,0.34,0.36,0.37,0.33,0.45,0.0,0.0,0.35,0.0,0.0,0.34,0.33,0.41,0.42,0.34,0.0,0.0,0.0,0.35,0.33,0.0,0.33,0.0,0.75,0.65,0.62,0.58,0.53,0.55,0.5,0.5,0.49,0.5,0.48,0.46,0.49,0.46,0.43,0.43,0.41,0.4,0.41,0.42,0.4,0.39,0.39,0.4,0.39,0.39,0.38,0.36,0.36,0.34,0.33,0.0,0.46,0.33,0.0,0.0,91.77
07/22/2021,1.73,0.57,0.63,0.89,0.98,0.74,0.43,0.56,0.64,0.47,0.52,0.74,0.48,0.0,0.42,0.58,0.5,0.45,0.41,0.65,0.54,0.5,0.51,0.46,0.34,0.49,0.59,0.58,0.44,0.49,0.51,0.57,0.46,0.53,0.44,0.59,0.35,0.42,0.47,0.46,0.55,0.67,0.57,0.54,0.65,0.43,0.41,0.46,0.47,0.65,0.44,0.32,0.45,0.53,0.49,0.39,0.45,0.41,0.0,0.55,0.0,0.36,0.53,0.54,0.37,0.5,0.48,0.48,0.39,0.51,0.49,0.65,0.35,0.47,0.0,0.51,0.61,0.0,0.39,0.47,0.41,0.0,0.52,0.42,0.0,0.46,0.52,0.41,0.0,0.45,0.45,0.45,0.51,0.0,0.35,0.0,0.4,0.43,0.0,0.43,0.4,0.46,0.45,0.44,0.57,0.43,0.44,0.47,0.37,0.44,0.41,0.0,0.34,0.38,0.45,0.49,0.43,0.44,0.38,0.4,0.42,0.38,0.39,0.32,0.38,0.38,0.44,0.39,0.4,0.34,0.42,0.4,0.39,0.42,0.39,0.36,0.44,0.0,0.0,0.35,0.32,0.0,0.0,0.38,0.0,0.0,0.45,0.36,0.44,0.0,0.53,0.38,0.37,0.4,0.0,0.41,0.51,0.41,0.38,0.33,0.38,0.0,0.43,0.0,0.0,0.39,0.0,0.41,0.41,0.0,0.34,0.0,0.0,0.4,0.0,0.4,0.0,0.34,0.37,0.41,0.34,0.38,0.0,0.0,0.34,0.36,0.37,0.33,0.45,0.0,0.0,0.35,0.0,0.0,0.34,0.33,0.41,0.42,0.34,0.0,0.0,0.0,0.35,0.33,0.0,0.33,0.0,0.75,0.65,0.62,0.58,0.53,0.55,0.5,0.5,0.49,0.5,0.48,0.46,0.49,0.46,0.43,0.43,0.41,0.4,0.41,0.42,0.4,0.39,0.39,0.4,0.39,0.39,0.38,0.36,0.36,0.34,0.33,0.0,0.46,0.33,0.0,0.0,91.77
