,2QQQ  220930C00002870,2QQQ  220930C00357530,Cash&Other,2QQQ  220930C00381130,SUM
10/15/2021,98.34,18.5,0.76,-17.6,100.0
10/18/2021,98.69,20.26,0.74,-19.7,99.99
10/19/2021,99.06,20.8,0.74,-20.6,100.0
10/20/2021,99.06,20.8,0.74,-20.6,100.0
10/21/2021,99.26,22.33,0.73,-22.32,100.0
10/22/2021,99.69,23.04,0.72,-23.45,100.0
10/25/2021,99.7,23.09,0.71,-23.52,99.98
10/26/2021,99.47,22.37,0.71,-22.55,100.0
10/27/2021,99.47,22.37,0.71,-22.55,100.0
10/28/2021,99.57,23.7,0.7,-23.97,100.0
10/29/2021,99.72,23.83,0.7,-24.26,99.99
11/01/2021,100.32,25.59,0.69,-26.61,99.99
11/02/2021,100.69,26.86,0.68,-28.24,99.99
11/03/2021,100.69,26.86,0.68,-28.24,99.99
11/04/2021,100.67,26.87,0.68,-28.22,100.0
11/05/2021,101.07,27.45,0.68,-29.21,99.98999999999998
11/08/2021,102.17,30.79,0.66,-33.63,99.99
11/09/2021,102.36,31.16,0.66,-34.18,100.0
11/10/2021,102.36,31.16,0.66,-34.18,100.0
11/11/2021,100.73,31.02,1.82,-33.58,99.99
11/12/2021,100.75,29.68,1.84,-32.27,100.0
11/15/2021,100.16,28.27,1.84,-30.28,99.99
11/16/2021,100.58,29.4,1.83,-31.81,100.0
11/17/2021,100.58,29.4,1.83,-31.81,100.0
11/18/2021,100.71,29.68,1.83,-32.22,100.0
