,ASHX,700.HK,9988.HK,ASHS,3690.HK,939.HK,NIO,JD,2318.HK,2269.HK,1810.HK,BIDU,PDD,NTES,1398.HK,M4B.,Cash & Cash Equivalents,3988.HK,YUMC,2331.HK,2020.HK,BY6.,2382.HK,2313.HK,175.HK,BILI,TCOM,2319.HK,LI,6098.HK,2688.HK,CHL.,BGNE,BEKE,XPEV,1109.HK,291.HK,ZTO,ZLAB,SNPMF,1093.HK,EDU,1801.HK,2333.HK,857.HK,960.HK,1177.HK,384.HK,TME,688.HK,1288.HK,VIPS,2007.HK,HTHT,1918.HK,2601.HK,268.HK,241.HK,TAL,992.HK,2899.HK,968.HK,6186.HK,586.HK,AQE.,2359.HK,6690.HK,267.HK,2328.HK,GDS,4.HK,788.HK,853.HK,6969.HK,1088.HK,881.HK,1919.HK,1193.HK,2018.HK,916.HK,6862.HK,3328.HK,6030.HK,1658.HK,1044.HK,1833.HK,168.HK,3323.HK,2338.HK,2202.HK,322.HK,D7C.,3888.HK,1066.HK,3692.HK,1024.HK,270.HK,1772.HK,151.HK,1099.HK,ATHM,YY,656.HK,285.HK,WB,2196.HK,148.HK,135.HK,DQ,3908.HK,425.HK,1548.HK,IQ,3606.HK,1579.HK,1339.HK,6185.HK,2013.HK,1347.HK,1268.HK,2600.HK,836.HK,3998.HK,867.HK,1951.HK,813.HK,1988.HK,1336.HK,1378.HK,2128.HK,772.HK,QFIN,1114.HK,6618.HK,754.HK,1882.HK,966.HK,2238.HK,HCM,884.HK,3898.HK,1313.HK,144.HK,358.HK,9922.HK,3347.HK,2689.HK,1888.HK,6060.HK,8083.HK,MOMO,489.HK,371.HK,257.HK,3333.HK,6837.HK,IMAB,6881.HK,ZTCOF,6110.HK,JOBS,1030.HK,3380.HK,392.HK,780.HK,3319.HK,1359.HK,2357.HK,9926.HK,1585.HK,1209.HK,1813.HK,1171.HK,136.HK,1516.HK,3383.HK,2588.HK,2869.HK,909.HK,152.HK,390.HK,3759.HK,1816.HK,6886.HK,API,696.HK,LU,817.HK,123.HK,VNET,220.HK,753.HK,576.HK,2005.HK,3360.HK,NOAH,177.HK,2500.HK,KC,TIGR,873.HK,1199.HK,9633.HK,3311.HK,1060.HK,DIDI,1995.HK,JD US,1398 HK,3988 HK,2628 HK,386 HK,857 HK,1288 HK,2899 HK,2601 HK,6690,914 HK,1088 HK,3328 HK,6030 HK,1919 HK,1658,168 HK,2338 HK,998 HK,3908,1339 HK,2600 HK,1988 HK,3347,1336 HK,358 HK,763 HK,6837 HK,6881 HK,1171 HK,390 HK,1816 HK,6886,177 HK,753 HK,1995,1776.HK,2799.HK,2607.HK,D7N.,902.HK,3808.HK,1157.HK,SUM
07/09/2021,38.3,8.64,8.52,5.02,2.81,1.59,1.36,1.3,1.24,1.12,1.05,1.05,1.03,0.92,0.7,0.67,0.61,0.6,0.58,0.55,0.54,0.49,0.47,0.42,0.38,0.37,0.36,0.35,0.33,0.33,0.33,0.33,0.32,0.31,0.3,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.95
07/12/2021,39.48,8.39,8.01,5.2,2.74,1.45,1.24,1.34,1.2,1.21,1.04,1.03,1.03,0.92,0.69,0.65,0.48,0.59,0.57,0.57,0.57,0.48,0.47,0.42,0.38,0.37,0.34,0.35,0.32,0.32,0.33,0.3,0.33,0.31,0.31,0.28,0.26,0.27,0.27,0.25,0.26,0.22,0.24,0.24,0.2,0.21,0.21,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.2,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.14,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.89
07/13/2021,39.48,8.39,8.01,5.2,2.74,1.45,1.24,1.34,1.2,1.21,1.04,1.03,1.03,0.92,0.69,0.65,0.48,0.59,0.57,0.57,0.57,0.48,0.47,0.42,0.38,0.37,0.34,0.35,0.32,0.32,0.33,0.3,0.33,0.31,0.31,0.28,0.26,0.27,0.27,0.25,0.26,0.22,0.24,0.24,0.2,0.21,0.21,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.2,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.14,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.89
07/15/2021,39.55,8.27,8.03,5.24,2.78,1.44,1.25,1.32,1.19,1.21,1.03,1.02,1.01,0.92,0.68,0.65,0.49,0.59,0.57,0.54,0.56,0.51,0.45,0.41,0.38,0.37,0.34,0.34,0.32,0.32,0.33,0.29,0.33,0.28,0.31,0.28,0.27,0.26,0.27,0.24,0.27,0.22,0.25,0.24,0.2,0.21,0.21,0.2,0.17,0.19,0.19,0.19,0.18,0.17,0.18,0.16,0.18,0.18,0.17,0.17,0.18,0.21,0.16,0.15,0.15,0.16,0.15,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.87
07/16/2021,39.1,8.5,8.26,5.22,2.84,1.42,1.2,1.37,1.19,1.16,1.03,1.03,1.02,0.93,0.67,0.65,0.49,0.59,0.56,0.55,0.56,0.51,0.44,0.4,0.4,0.38,0.34,0.34,0.32,0.31,0.33,0.29,0.32,0.29,0.3,0.28,0.27,0.27,0.27,0.25,0.27,0.23,0.25,0.25,0.2,0.21,0.2,0.2,0.18,0.19,0.19,0.2,0.18,0.17,0.18,0.16,0.18,0.18,0.18,0.17,0.17,0.21,0.15,0.15,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.14,0.13,0.15,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.84
07/19/2021,39.07,8.59,8.42,5.19,2.78,1.42,1.16,1.37,1.2,1.21,1.02,1.03,1.0,0.95,0.67,0.66,0.41,0.59,0.56,0.58,0.56,0.46,0.45,0.39,0.38,0.37,0.33,0.34,0.3,0.32,0.36,0.29,0.32,0.29,0.3,0.28,0.28,0.26,0.26,0.24,0.28,0.22,0.25,0.23,0.2,0.21,0.21,0.21,0.17,0.19,0.19,0.2,0.18,0.17,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.2,0.16,0.15,0.14,0.16,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.15,0.13,0.13,0.11,0.13,0.11,0.12,0.12,0.11,0.11,0.1,0.1,0.11,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.1,0.09,0.08,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.09,0.06,0.07,0.08,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.05,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8
07/20/2021,39.07,8.59,8.42,5.19,2.78,1.42,1.16,0.0,1.2,1.21,1.02,1.03,1.0,0.95,0.0,0.66,0.41,0.0,0.56,0.58,0.56,0.46,0.45,0.39,0.38,0.37,0.33,0.34,0.3,0.32,0.36,0.0,0.32,0.29,0.3,0.28,0.28,0.26,0.26,0.0,0.28,0.22,0.25,0.23,0.0,0.21,0.21,0.21,0.17,0.19,0.0,0.2,0.18,0.17,0.18,0.0,0.18,0.18,0.18,0.16,0.0,0.2,0.16,0.15,0.0,0.16,0.0,0.13,0.13,0.13,0.13,0.13,0.14,0.15,0.0,0.13,0.0,0.13,0.11,0.12,0.12,0.0,0.0,0.0,0.1,0.11,0.0,0.1,0.0,0.09,0.09,0.0,0.1,0.1,0.09,0.08,0.1,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.0,0.07,0.09,0.06,0.07,0.08,0.0,0.06,0.06,0.07,0.07,0.0,0.06,0.06,0.07,0.06,0.06,0.0,0.0,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.06,0.0,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.0,0.05,0.0,0.0,0.04,0.05,0.05,0.04,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.04,0.0,0.0,0.03,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.08,0.0,1.37,0.67,0.59,0.29,0.24,0.2,0.19,0.17,0.16,0.15,0.14,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8
07/22/2021,39.21,8.55,8.29,5.24,2.7,1.44,1.18,1.35,1.21,1.25,1.09,1.0,0.97,0.95,0.68,0.67,0.41,0.59,0.56,0.57,0.56,0.46,0.45,0.38,0.38,0.38,0.31,0.34,0.3,0.32,0.36,0.29,0.32,0.28,0.31,0.28,0.28,0.26,0.24,0.24,0.28,0.2,0.26,0.24,0.2,0.21,0.21,0.21,0.16,0.2,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.18,0.16,0.16,0.17,0.2,0.16,0.15,0.14,0.16,0.15,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.11,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.1,0.08,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.09,0.06,0.08,0.07,0.07,0.06,0.05,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.04,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,98.80000000000004
07/23/2021,39.53,8.44,8.3,5.29,2.69,1.42,1.2,1.34,1.2,1.24,1.07,1.01,0.94,0.96,0.67,0.66,0.41,0.59,0.57,0.59,0.56,0.45,0.45,0.38,0.37,0.39,0.31,0.34,0.31,0.31,0.36,0.29,0.32,0.28,0.32,0.28,0.29,0.27,0.26,0.24,0.28,0.21,0.25,0.24,0.19,0.21,0.21,0.2,0.16,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.18,0.16,0.16,0.16,0.16,0.2,0.17,0.15,0.14,0.16,0.15,0.13,0.13,0.14,0.12,0.14,0.13,0.14,0.13,0.13,0.11,0.13,0.11,0.11,0.13,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.11,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.08,0.09,0.08,0.07,0.07,0.08,0.07,0.09,0.06,0.07,0.07,0.07,0.06,0.05,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.05,0.07,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.06,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.0,0.04,0.0,0.04,0.04,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,98.88000000000002
07/26/2021,39.4,8.37,8.39,5.34,2.71,1.41,1.24,1.37,1.2,1.19,1.04,1.0,0.96,0.94,0.67,0.66,0.41,0.58,0.57,0.56,0.54,0.49,0.47,0.38,0.38,0.37,0.3,0.34,0.32,0.31,0.37,0.29,0.32,0.28,0.34,0.28,0.27,0.26,0.25,0.24,0.27,0.21,0.24,0.27,0.19,0.22,0.21,0.2,0.16,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.16,0.17,0.16,0.17,0.21,0.17,0.15,0.15,0.16,0.15,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.13,0.13,0.11,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.1,0.09,0.1,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.1,0.12,0.09,0.08,0.07,0.08,0.08,0.07,0.08,0.09,0.08,0.07,0.08,0.08,0.07,0.08,0.06,0.08,0.07,0.07,0.06,0.05,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.05,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,98.88
