,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,JPM,JNJ,UNH,HD,PG,DIS,BAC,XOM,CMCSA,NFLX,VZ,PFE,KO,ABT,T,PEP,CVX,ABBV,TMO,NKE,MRK,WMT,WFC,LLY,COST,MCD,DHR,MDT,PM,HON,UPS,LIN,BMY,UNP,C,NEE,AMGN,LOW,MS,SBUX,BA,RTX,GS,BLK,AMT,TGT,CAT,GE,MMM,DE,CVS,SCHW,ISRG,AXP,CHTR,SPGI,ANTM,BKNG,LMT,ZTS,PLD,MO,MDLZ,GILD,SYK,TMUS,CCI,COP,CI,TJX,PNC,USB,CME,DUK,GM,TFC,ATVI,EL,CSX,FDX,MMC,EQIX,CB,BDX,COF,ILMN,CL,ICE,NSC,SHW,ITW,EW,SO,APD,Cash,BSX,ETN,D,MCO,F,REGN,EMR,PGR,HUM,TWTR,HCA,WM,NOC,FCX,IDXX,AON,VRTX,BIIB,ECL,DG,NEM,ROP,JCI,EOG,DOW,IQV,PSA,KMB,EBAY,TROW,A,LHX,SLB,MET,CMG,ROST,TT,MSCI,ALGN,EXC,GD,SPG,APTV,DLR,INFO,CNC,AEP,SRE,DXCM,BK,EA,DD,AIG,ALXN,PPG,PRU,ORLY,BAX,SYY,CARR,PH,STZ,ALL,MPC,TRV,PXD,WBA,PSX,IFF,GIS,MAR,DFS,RMD,CMI,KMI,XEL,SBAC,TDG,MTD,YUM,WELL,CTAS,MNST,ADM,AFL,ROK,HLT,ZBH,SWK,FRC,OTIS,CTVA,WMB,AZO,VLO,LUV,AME,PCAR,PEG,MRNA,CBRE,AVB,MCK,FAST,DHI,VRSK,n/a,SIVB,KR,AMP,STT,EFX,AWK,WST,NUE,AJG,MTCH,WEC,ES,ETSY,WLTW,CPRT,O,ODFL,SUM
07/09/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/12/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/13/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/14/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/15/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/16/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/19/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/20/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/21/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
07/22/2021,5.58,3.15,2.77,2.71,1.99,1.98,1.78,1.64,1.43,1.28,1.25,1.21,1.18,1.01,0.99,0.89,0.88,0.83,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.75,0.74,0.73,0.71,0.69,0.66,0.65,0.65,0.63,0.58,0.58,0.57,0.57,0.56,0.55,0.55,0.54,0.53,0.52,0.52,0.5,0.5,0.49,0.49,0.47,0.47,0.45,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.38,0.38,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.97999999999999
