,MAR,HLT,AXP,BKNG,MC FP,DIS,EL,OR FP,ABNB,CTAS,LUV,4661 JP,4911 JP,DAL,CZR,CFR.SW,TXT,UBER,CLV.,AMS SM,EXPE,MGM,27.HK,MTN,9202 JP,LVS,UAL,HTHT,PENN,CAE.TO,9201.T,WH,HST,CCL,QAN AU,AAL,AOT TB,AENA SM,AIA NZ,ALK,RENT3 BZ,VAC,CHH,BYD,WYNN,MONC.MI,003490KS,BHJYC0,G9N.,CAR,FLT AU,IAG LN,TUI1 GR,ASR,SABR,780 HK,SIX2 GR,TRIP,SMWH LN,RYA ID,PBH CN,LYFT,JBLU,1055 HK,696 HK,AGYS,AM FP,ELIS FP,WIZZ LN,LTRPA,BYND,TRN LN,THULE SS,HYRE,n/a,TUIB GR,MIC,PAC,SUM
10/15/2021,5.09,4.93,4.86,4.7,4.15,4.12,4.07,3.83,3.72,3.66,2.97,2.97,2.89,2.31,2.24,2.17,2.01,1.95,1.67,1.65,1.64,1.54,1.49,1.48,1.31,1.25,1.24,1.23,1.22,1.17,1.1,1.06,1.05,0.9,0.87,0.87,0.85,0.71,0.71,0.7,0.68,0.67,0.66,0.61,0.59,0.57,0.55,0.45,0.42,0.41,0.3,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.21,0.21,0.16,0.13,0.03,0.02,0.0,100.0
10/18/2021,4.99,4.8,4.74,4.74,4.37,4.13,4.18,3.98,3.65,3.75,2.91,2.94,2.93,2.18,2.18,2.33,2.05,1.96,1.69,1.68,1.63,1.52,1.49,1.46,1.27,1.24,1.19,1.21,1.24,1.18,1.07,1.05,1.04,0.87,0.89,0.84,0.84,0.7,0.71,0.68,0.69,0.67,0.66,0.61,0.59,0.6,0.55,0.46,0.42,0.39,0.3,0.28,0.32,0.27,0.26,0.26,0.28,0.26,0.26,0.26,0.25,0.24,0.24,0.25,0.24,0.25,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.15,0.08,0.0,0.02,0.0,100.0
10/19/2021,5.11,4.86,4.82,4.78,4.32,4.15,4.17,3.95,3.6,3.72,2.83,2.94,2.91,2.15,2.09,2.35,2.06,1.99,1.7,1.68,1.65,1.49,1.44,1.45,1.26,1.23,1.18,1.2,1.26,1.2,1.06,1.05,1.05,0.87,0.9,0.85,0.84,0.71,0.71,0.68,0.71,0.67,0.66,0.6,0.58,0.59,0.55,0.47,0.43,0.4,0.31,0.29,0.31,0.28,0.27,0.26,0.28,0.27,0.26,0.26,0.24,0.25,0.24,0.25,0.26,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.15,0.04,0.0,0.02,0.0,100.0
10/21/2021,5.11,4.88,4.88,4.74,4.26,4.05,4.16,3.94,3.68,3.78,2.81,2.89,2.9,2.17,2.15,2.34,2.05,1.95,1.67,1.68,1.64,1.51,1.51,1.48,1.25,1.23,1.17,1.2,1.26,1.18,1.06,1.05,1.07,0.85,0.91,0.85,0.83,0.71,0.71,0.68,0.7,0.66,0.65,0.6,0.58,0.59,0.55,0.47,0.43,0.42,0.31,0.28,0.31,0.28,0.26,0.26,0.29,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.27,0.24,0.24,0.24,0.22,0.23,0.23,0.22,0.22,0.15,0.09,0.0,0.02,0.0,100.0
10/22/2021,5.01,4.8,4.93,4.7,4.27,4.08,4.11,3.94,3.68,3.84,2.81,2.91,2.9,2.15,2.18,2.36,2.07,1.96,1.65,1.69,1.61,1.5,1.52,1.53,1.24,1.25,1.15,1.22,1.34,1.17,1.04,1.03,1.06,0.83,0.92,0.84,0.83,0.71,0.73,0.68,0.66,0.66,0.65,0.6,0.59,0.6,0.55,0.47,0.45,0.43,0.32,0.27,0.29,0.28,0.26,0.25,0.3,0.26,0.26,0.25,0.25,0.24,0.24,0.25,0.26,0.24,0.24,0.25,0.22,0.23,0.23,0.23,0.22,0.15,0.09,0.0,0.02,0.0,100.0
10/25/2021,5.04,4.83,4.94,4.6,4.36,4.09,4.18,4.01,3.67,3.85,2.77,2.88,2.88,2.15,2.17,2.4,2.11,1.94,1.65,1.59,1.58,1.52,1.58,1.52,1.23,1.2,1.17,1.21,1.27,1.18,1.05,1.04,1.07,0.83,0.92,0.85,0.83,0.7,0.74,0.67,0.6,0.66,0.65,0.61,0.59,0.62,0.55,0.47,0.44,0.45,0.28,0.26,0.28,0.29,0.25,0.27,0.32,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.26,0.24,0.24,0.24,0.22,0.22,0.24,0.21,0.23,0.14,0.17,0.0,0.02,0.0,100.0
10/26/2021,5.0,4.83,5.19,4.56,4.41,4.03,4.3,4.21,3.58,3.86,2.71,2.89,2.91,2.11,2.14,2.44,2.1,1.9,1.61,1.57,1.56,1.51,1.59,1.55,1.24,1.18,1.16,1.2,1.23,1.17,1.06,1.04,1.07,0.83,0.92,0.82,0.83,0.7,0.76,0.64,0.59,0.66,0.65,0.6,0.57,0.63,0.55,0.45,0.43,0.45,0.28,0.25,0.28,0.28,0.24,0.26,0.32,0.24,0.25,0.25,0.25,0.23,0.23,0.24,0.27,0.24,0.23,0.24,0.22,0.21,0.21,0.21,0.25,0.14,0.17,0.0,0.02,0.0,100.0
10/27/2021,5.0,4.83,5.19,4.56,4.41,4.03,4.3,4.21,3.58,3.86,2.71,2.89,2.91,2.11,2.14,2.44,2.1,1.9,1.61,1.57,1.56,1.51,1.59,1.55,1.24,1.18,1.16,1.2,1.23,1.17,1.06,1.04,1.07,0.83,0.92,0.82,0.83,0.7,0.76,0.64,0.59,0.66,0.65,0.6,0.57,0.63,0.55,0.45,0.43,0.45,0.28,0.25,0.28,0.28,0.24,0.26,0.32,0.24,0.25,0.25,0.25,0.23,0.23,0.24,0.27,0.24,0.23,0.24,0.22,0.21,0.21,0.21,0.25,0.14,0.17,0.0,0.02,0.0,100.0
10/28/2021,5.01,4.85,5.07,4.61,4.36,4.11,4.35,4.17,3.65,3.88,2.7,2.87,2.94,2.1,2.14,2.44,2.1,1.91,1.54,1.56,1.57,1.52,1.57,1.54,1.23,1.18,1.17,1.17,1.22,1.19,1.05,1.03,1.07,0.82,0.9,0.83,0.82,0.69,0.76,0.64,0.61,0.66,0.64,0.61,0.58,0.63,0.57,0.46,0.43,0.47,0.28,0.25,0.28,0.28,0.23,0.25,0.32,0.25,0.25,0.24,0.25,0.23,0.24,0.23,0.26,0.24,0.23,0.24,0.22,0.22,0.21,0.21,0.26,0.14,0.18,0.0,0.02,0.0,100.0
10/29/2021,5.03,4.91,5.02,4.65,4.37,4.09,4.34,4.22,3.68,3.89,2.7,2.87,2.96,2.11,2.15,2.48,2.04,1.92,1.52,1.6,1.57,1.49,1.59,1.53,1.22,1.21,1.16,1.14,1.22,1.17,1.04,1.03,1.07,0.81,0.89,0.83,0.81,0.7,0.75,0.65,0.56,0.65,0.64,0.61,0.59,0.62,0.57,0.47,0.43,0.46,0.27,0.26,0.29,0.28,0.23,0.25,0.32,0.24,0.26,0.25,0.25,0.23,0.23,0.24,0.27,0.24,0.23,0.24,0.23,0.21,0.2,0.21,0.26,0.13,0.13,0.0,0.02,0.0,100.0
