,MSFT,AVGO,RTX,GE,ABT,PM,CMQXX,BKR,CMCSA,AAPL,EIX,GD,BATS.L,LIN,UNH,CNQ.TO,MCD,AIG,CARR,AMGN,JPM,CVX,EOG,GOOGL,FB,GILD,MDT,ABBV,AMZN,CCI,ITW,UNP,APTV,NFLX,GM,OMC,CSX,PEG,KO,BLD,TFII.TO,SWK,FCX,HAL,n/a,BURL,SUM
04/19/2022,6.62,6.34,5.67,4.44,4.38,4.14,3.74,3.69,3.6,3.24,3.19,2.79,2.61,2.6,2.45,2.26,2.15,2.14,2.14,1.96,1.89,1.77,1.76,1.65,1.59,1.57,1.45,1.35,1.27,1.25,1.2,1.18,1.13,1.1,1.09,1.04,1.0,0.99,0.98,0.94,0.92,0.92,0.91,0.83,0.05,0.0,99.98
04/28/2022,6.62,6.34,5.67,4.44,4.38,4.14,3.74,3.69,3.6,3.24,3.19,2.79,2.61,2.6,2.45,2.26,2.15,2.14,2.14,1.96,1.89,1.77,1.76,1.65,1.59,1.57,1.45,1.35,1.27,1.25,1.2,1.18,1.13,1.1,1.09,1.04,1.0,0.99,0.98,0.94,0.92,0.92,0.91,0.83,0.05,0.0,99.98
05/06/2022,6.62,6.34,5.67,4.44,4.38,4.14,3.74,3.69,3.6,3.24,3.19,2.79,2.61,2.6,2.45,2.26,2.15,2.14,2.14,1.96,1.89,1.77,1.76,1.65,1.59,1.57,1.45,1.35,1.27,1.25,1.2,1.18,1.13,1.1,1.09,1.04,1.0,0.99,0.98,0.94,0.92,0.92,0.91,0.83,0.05,0.0,99.98
06/02/2022,6.62,6.03,5.94,3.91,4.6,4.81,3.32,3.26,3.36,3.16,3.54,3.03,2.88,2.75,2.7,2.32,2.35,2.17,1.96,2.09,1.79,1.84,1.86,1.39,1.55,1.58,1.55,1.35,1.05,1.36,1.23,1.18,1.09,0.6,1.06,1.03,0.0,1.06,1.11,1.02,0.91,0.85,0.81,0.84,0.27,0.81,99.99
