,MSFT,GOOGL,AAPL,AMZN,TSLA,NVDA,MA,FB,CRM,PYPL,LOW,SHW,INTU,DXCM,NKE,COST,SQ,HZNP,ZTS,NOW,MS,ALGN,EPAM,LRCX,CARR,BURL,AZN,MTCH,CZR,SBUX,GNRC,EL,ZS,DE,AVTR,SCHW,MPWR,APTV,TWLO,ISRG,V,SNPS,NXPI,CMG,ZI,CRWD,VEEV,SHOP,MNST,n/a,COO,PANW,EW,RIVN,ABT,SUM
12/01/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/02/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/06/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/07/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/08/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/09/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/10/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/13/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/14/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/15/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/16/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/17/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/20/2021,12.3,6.82,5.73,5.43,4.54,4.43,3.73,3.51,2.65,2.41,1.97,1.94,1.92,1.91,1.8,1.77,1.75,1.66,1.57,1.56,1.46,1.44,1.43,1.42,1.41,1.38,1.37,1.27,1.18,1.16,1.15,1.12,1.1,1.09,1.08,1.07,1.01,0.86,0.85,0.83,0.81,0.72,0.69,0.68,0.67,0.65,0.61,0.56,0.52,0.51,0.48,0.0,0.0,0.0,0.0,99.98
12/21/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/22/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/23/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/24/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/27/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/28/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/29/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/30/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
12/31/2021,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/03/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/03/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/03/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/04/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/05/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/06/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/07/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/10/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/11/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/12/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/13/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/14/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/17/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/18/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/19/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/20/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/21/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/24/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/25/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/26/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/27/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
01/28/2022,12.3,7.03,6.21,5.53,4.83,5.18,3.72,3.51,2.52,1.74,2.07,1.87,2.01,1.73,1.99,1.93,1.44,1.44,1.62,1.51,1.35,1.41,1.35,1.77,1.47,1.46,1.21,1.1,0.9,0.64,0.97,1.15,1.2,0.91,1.06,1.01,1.3,0.91,0.86,0.76,0.0,0.84,0.77,0.63,0.88,0.5,0.54,0.58,0.52,0.65,0.19,0.54,0.26,0.13,0.01,100.01
