,1299.HK,388.HK,669.HK,16.HK,1.HK,823.HK,3.HK,27.HK,2.HK,11.HK,1113.HK,J36.SI,2388.HK,1997.HK,1928.HK,6.HK,66.HK,288.HK,17.HK,868.HK,12.HK,1821.HK,FUTU,H78.SI,1876.HK,6823.HK,83.HK,101.HK,1038.HK,MLCO,1972.HK,19.HK,2638.HK,1929.HK,1128.HK,23.HK,880.HK,HKD,XTSLA,UBFUT,MFSU1,MARGIN_HKD,USD,1308.HK,MFSZ1,SUM
07/09/2021,21.33,13.38,4.47,4.03,3.97,3.86,3.36,3.25,3.15,2.98,2.93,2.7,2.44,2.06,1.96,1.74,1.73,1.7,1.6,1.55,1.43,1.21,1.18,1.17,1.12,1.1,1.09,1.03,0.9,0.79,0.79,0.76,0.65,0.65,0.58,0.55,0.52,0.18,0.13,0.02,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,21.23,14.38,4.51,4.05,3.85,3.78,3.39,3.13,3.12,2.91,2.89,2.67,2.38,2.04,1.89,1.75,1.76,1.63,1.48,1.65,1.43,1.23,1.07,1.13,1.11,1.09,1.11,1.02,0.88,0.75,0.77,0.75,0.64,0.65,0.55,0.53,0.51,0.12,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,21.09,14.4,4.48,4.1,3.86,3.78,3.43,3.12,3.17,2.9,2.9,2.67,2.39,2.06,1.89,1.78,1.78,1.61,1.5,1.63,1.42,1.25,1.07,1.14,1.12,1.1,1.1,1.02,0.9,0.74,0.76,0.77,0.65,0.58,0.55,0.53,0.5,0.12,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,21.09,14.4,4.48,4.1,3.86,3.78,3.43,3.12,3.17,2.9,2.9,2.67,2.39,2.06,1.89,1.78,1.78,1.61,1.5,1.63,1.42,1.25,1.07,1.14,1.12,1.1,1.1,1.02,0.9,0.74,0.76,0.77,0.65,0.58,0.55,0.53,0.5,0.12,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.03
07/22/2021,20.63,15.04,4.48,4.07,3.84,3.79,3.45,3.08,3.18,2.88,2.89,2.62,2.38,2.03,1.85,1.78,1.78,1.57,1.49,1.64,1.42,1.32,1.08,1.16,1.12,1.11,1.14,1.01,0.88,0.69,0.78,0.75,0.65,0.61,0.54,0.53,0.48,0.12,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.03
07/23/2021,20.75,15.07,4.45,4.03,3.81,3.8,3.45,2.99,3.19,2.86,2.89,2.63,2.36,2.03,1.81,1.79,1.83,1.57,1.5,1.62,1.41,1.34,1.12,1.16,1.13,1.12,1.11,1.0,0.88,0.71,0.8,0.73,0.65,0.6,0.53,0.53,0.48,0.12,0.15,0.02,0.0,0.0,0.0,0.0,0.0,100.02
07/27/2021,20.9,15.27,4.52,4.01,3.77,3.78,3.45,3.07,3.15,2.83,2.83,2.61,2.32,2.04,1.83,1.76,1.84,1.55,1.48,1.64,1.39,1.34,1.06,1.15,1.11,1.09,1.08,1.01,0.87,0.71,0.79,0.73,0.64,0.6,0.52,0.51,0.48,0.12,0.15,0.01,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,21.07,14.59,4.78,4.02,3.85,3.85,3.6,2.87,3.34,2.9,2.92,2.59,2.39,2.05,1.67,1.87,1.88,1.64,1.51,1.49,1.39,1.36,0.84,1.15,1.03,1.12,1.08,1.12,0.92,0.68,0.77,0.71,0.67,0.62,0.49,0.52,0.45,0.1,0.14,0.01,0.0,0.0,0.0,0.0,0.0,100.05
08/04/2021,21.07,14.59,4.78,4.02,3.85,3.85,3.6,2.87,3.34,2.9,2.92,2.59,2.39,2.05,1.67,1.87,1.88,1.64,1.51,1.49,1.39,1.36,0.84,1.15,1.03,1.12,1.08,1.12,0.92,0.68,0.77,0.71,0.67,0.62,0.49,0.52,0.45,0.1,0.14,0.01,0.0,0.0,0.0,0.0,0.0,100.05
08/10/2021,20.83,15.57,5.04,4.02,3.92,3.82,3.63,2.6,3.22,2.85,2.89,2.53,2.4,1.79,1.64,1.83,1.83,1.6,1.52,1.58,1.39,1.22,0.87,1.12,1.0,1.13,1.12,1.17,0.93,0.64,0.77,0.72,0.68,0.57,0.44,0.51,0.41,0.09,0.14,0.01,0.0,0.0,0.0,0.0,0.0,100.04
