,2603.TW,8454.TW,BRKM5.SA,China Coal Energy Company Limited,US Dollar,CSNA3.SA,COSCO SHIPPING Holdings Company Limited (Class H),PKN.WA,Yanzhou Coal Mining Company Limited (Class H),GGRM.JK,HINDALCO.NS,PGN.WA,GAIL.NS,Jiangxi Copper Company Ltd. (Class H),HYDR.ME,3711.TW,AU Optronics Corp.,836.HK,2357.TW,3481.TW,MTN.JO,392.HK,Nan Ya Printed Circuit Board Corporation,CEMEXCPO.MX,IMP.JO,Inter RAO UES PJSC,SBIN.NS,JINDALSTEL.NS,"Zijin Mining Group Co., Ltd.",2474.TW,688.HK,586.HK,ENKAI.IS,Metallurgical Corporation of China Ltd. (Class H),NTPC.NS,2328.HK,TATASTEEL.NS,SOL.JO,GGBR4.SA,FROTO.IS,JBSS3.SA,1378.HK,SASA.IS,TATAMOTORS.NS,1114.HK,Centrais Eletricas Brasileiras S.A. (Electrobras),1313.HK,992.HK,China National Building Material Company Ltd. (Class H),144.HK,489.HK,HINDPETRO.NS,SSW.JO,916.HK,1030.HK,VALE3.SA,China Petroleum & Chemical Corporation (Sinopec) (Class H),CanSino Biologics Inc. (Class H),FUNO11.MX,Angang Steel Company Limited (Class H),3034.TW,1099.HK,VEDL.NS,2777.HK,"Huaxin Cement Co., Ltd. (Class B)",3888.HK,1208.HK,1102.TW,AMS.JO,Anhui Conch Cement Company Limited (Class H),3383.HK,EXX.JO,GRASIM.NS,148.HK,1918.HK,SRTRANSFIN.NS,Aluminum Corporation of China Limited (Class H),China Railway Group Ltd. (Class H),1585.HK,China Shenhua Energy Company Limited (Class H),TIMS3.SA,2317.TW,UNTR.JK,1508.HK,788.HK,"Micro-Star International Co., Ltd.",ANG.JO,Huadian Power International Corp. Ltd. (Class H),PetroChina Company Limited (Class H),ADANIENT.NS,2881.TW,UPL.NS,867.HK,3380.HK,135.HK,1813.HK,TATAPOWER.NS,Bank of Baroda,1101.TW,"Shanghai Junshi Biosciences Co., Ltd. (Class H)",CPS.WA,2379.TW,285.HK,"China Molybdenum Co., Ltd. (Class H)","Guangzhou Automobile Group Co., Ltd. (Class H)","Zoomlion Heavy Industry Science and Technology Co., Ltd. (Class H)",PTT Exploration and Production Pcl (Foreign),GFI.JO,6098.HK,"Bank of Communications Co., Ltd. (Class H)",KCHOL.IS,2454.TW,TENAGA.KL,4938.TW,Bank of China Ltd.,China Construction Bank Corporation (Class H),ASII.JK,Indorama Ventures Pcl (Foreign),NHM.JO,2013.HK,Dongfang Electric Corporation Limited (Class H),3898.HK,JSWSTEEL.NS,China Suntien Green Energy Corporation Limited (Class H),Bajaj Finserv Limited,MOTHERSUMI.NS,TEL.PM,2303.TW,656.HK,POWERGRID.NS,Magnitogorsk Iron & Steel Works OJSC,IDFCFIRSTB.NS,2382.TW,China CITIC Bank Corporation Limited (Class H),9921.TW,"Chongqing Rural Commercial Bank Co., Ltd. (Class H)",1359.HK,Agricultural Bank of China Limited (Class H),Charoen Pokphand Foods Pcl (Foreign),China Everbright Bank Co. Ltd. (Class H),2007.HK,3360.HK,FALABELLA.SN,TOPGLOV.KL,"Weichai Power Co., Ltd. (Class H)",1109.HK,1882.HK,"Xinjiang Goldwind Science & Technology Co., Ltd. (Class H)",884.HK,BSANTANDER.SN,SUM
07/09/2021,4.15,1.79,1.66,1.35,1.33,1.31,1.28,1.27,1.19,1.19,1.19,1.14,1.12,1.12,1.12,1.11,1.1,1.07,1.06,1.04,1.01,1.0,0.97,0.95,0.95,0.95,0.95,0.92,0.92,0.91,0.91,0.9,0.9,0.9,0.89,0.88,0.87,0.87,0.87,0.86,0.86,0.85,0.85,0.85,0.84,0.83,0.83,0.82,0.81,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.75,0.75,0.73,0.73,0.72,0.72,0.7,0.7,0.68,0.67,0.67,0.67,0.65,0.64,0.63,0.63,0.63,0.61,0.6,0.6,0.6,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.55,0.51,0.5,0.5,0.49,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.34,0.34,0.29,0.26,0.25,0.24,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,99.93
07/12/2021,3.5,1.87,1.65,1.28,1.4,1.31,1.18,1.27,1.18,1.19,1.22,1.17,1.11,1.14,1.08,1.1,1.13,1.06,1.07,1.04,1.06,0.97,1.01,1.0,0.93,0.97,0.95,0.94,0.93,0.91,0.92,0.89,0.91,0.93,0.91,0.86,0.94,0.91,0.87,0.9,0.88,0.86,0.83,0.83,0.85,0.84,0.84,0.85,0.83,0.81,0.81,0.73,0.8,0.79,0.78,0.78,0.75,0.7,0.78,0.79,0.73,0.73,0.73,0.69,0.69,0.68,0.69,0.71,0.68,0.64,0.63,0.69,0.64,0.61,0.61,0.63,0.61,0.6,0.62,0.59,0.6,0.59,0.55,0.58,0.58,0.57,0.56,0.56,0.52,0.57,0.56,0.52,0.5,0.48,0.49,0.48,0.49,0.46,0.47,0.44,0.46,0.44,0.42,0.51,0.49,0.44,0.4,0.41,0.4,0.39,0.41,0.4,0.4,0.39,0.39,0.36,0.39,0.36,0.37,0.36,0.35,0.35,0.3,0.25,0.27,0.24,0.22,0.22,0.21,0.22,0.21,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.19,0.17,0.18,0.17,0.17,0.17,0.16,0.16,99.99000000000001
