,DE,JPM,BAC,LRCX,TEL,SRE,AXP,CMCSA,EIX,BKNG,UNH,TRP.TO,BRK.B,JNJ,APD,DISH,ITW,SCHW,VRT,HON,JPMorgan 100% US Tr Sec MM Inst,OTIS,MSI,TMUS,UPS,AMT,CHTR,AMGN,HD,GOOGL,NXPI,PPG,MLM,COF,CSCO,PGR,MMC,TJX,QCOM,MSFT,n/a,JTSXX,SUM
07/09/2021,5.39,5.05,4.83,4.81,3.54,3.31,3.22,3.17,3.07,3.07,3.01,2.94,2.87,2.84,2.76,2.69,2.61,2.42,2.29,2.24,2.11,2.09,2.03,2.01,2.0,1.98,1.95,1.94,1.84,1.81,1.77,1.69,1.64,1.53,1.51,1.43,1.26,1.17,1.11,0.97,0.0,0.0,99.97
07/12/2021,5.39,5.05,4.83,4.81,3.54,3.31,3.22,3.17,3.07,3.07,3.01,2.94,2.87,2.84,2.76,2.69,2.61,2.42,2.29,2.24,2.11,2.09,2.03,2.01,2.0,1.98,1.95,1.94,1.84,1.81,1.77,1.69,1.64,1.53,1.51,1.43,1.26,1.17,1.11,0.97,0.0,0.0,99.97
07/13/2021,5.39,5.05,4.83,4.81,3.54,3.31,3.22,3.17,3.07,3.07,3.01,2.94,2.87,2.84,2.76,2.69,2.61,2.42,2.29,2.24,2.11,2.09,2.03,2.01,2.0,1.98,1.95,1.94,1.84,1.81,1.77,1.69,1.64,1.53,1.51,1.43,1.26,1.17,1.11,0.97,0.0,0.0,99.97
07/14/2021,5.39,5.05,4.83,4.81,3.54,3.31,3.22,3.17,3.07,3.07,3.01,2.94,2.87,2.84,2.76,2.69,2.61,2.42,2.29,2.24,2.11,2.09,2.03,2.01,2.0,1.98,1.95,1.94,1.84,1.81,1.77,1.69,1.64,1.53,1.51,1.43,1.26,1.17,1.11,0.97,0.0,0.0,99.97
07/15/2021,5.39,5.05,4.83,4.81,3.54,3.31,3.22,3.17,3.07,3.07,3.01,2.94,2.87,2.84,2.76,2.69,2.61,2.42,2.29,2.24,2.11,2.09,2.03,2.01,2.0,1.98,1.95,1.94,1.84,1.81,1.77,1.69,1.64,1.53,1.51,1.43,1.26,1.17,1.11,0.97,0.0,0.0,99.97
07/16/2021,5.39,5.05,4.83,4.81,3.54,3.31,3.22,3.17,3.07,3.07,3.01,2.94,2.87,2.84,2.76,2.69,2.61,2.42,2.29,2.24,2.11,2.09,2.03,2.01,2.0,1.98,1.95,1.94,1.84,1.81,1.77,1.69,1.64,1.53,1.51,1.43,1.26,1.17,1.11,0.97,0.0,0.0,99.97
07/19/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/20/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/21/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
07/22/2021,4.72,4.79,4.78,3.83,3.44,3.48,4.01,3.1,2.82,2.66,3.01,2.96,2.9,2.65,2.62,2.89,2.45,2.51,2.91,2.1,0.73,2.32,2.17,2.16,2.28,2.08,2.11,1.77,1.79,2.0,1.68,1.77,1.6,1.72,2.25,1.37,1.35,1.64,1.53,1.04,0.0,0.0,99.99
