,2330.TW,700.HK,9988.HK,005930.KS,3690.HK,RELIANCE.NS,939.HK,INFY.NS,NIO,JD,000660.KS,HDFC.NS,2318.HK,2317.TW,2454.TW,BIDU,035420.KS,ICICIBANK.NS,NTES,2269.HK,1810.HK,035720.KS,TCS.NS,PDD,006400.KS,051910.KS,1398.HK,M4B.,005380.KS,3988.HK,YUMC,2603.TW,HINDUNILVR.NS,2331.HK,2020.HK,600519.SS,BY6.,AXISBANK.NS,2303.TW,2382.HK,068270.KS,2308.TW,000270.KS,005490.KS,BBCA.JK,2313.HK,2319.HK,175.HK,105560.KS,HKD,TCOM,2881.TW,2002.TW,1303.TW,BAJFINANCE.NS,012330.KS,066570.KS,1301.TW,051900.KS,2882.TW,2412.TW,2688.HK,BBRI.JK,055550.KS,CHL.,PBBANK.KL,2891.TW,6098.HK,HCLTECH.NS,1216.TW,3711.TW,SNPMF,ASIANPAINT.NS,3034.TW,086790.KS,036570.KS,207940.KS,291.HK,096770.KS,PTT-R.BK,2333.HK,MARUTI.NS,1093.HK,1109.HK,EDU,SCVUF,ZTO,2886.TW,BILI,2884.TW,CPALL-R.BK,SBIN.NS,857.HK,3008.TW,960.HK,1326.TW,600036.SS,BGNE,028260.KS,TLKM.JK,ULTRACEMCO.NS,2379.TW,LT.NS,1177.HK,300750.SZ,5871.TW,2892.TW,1101.TW,WIPRO.NS,992.HK,HTHT,BHARTIARTL.NS,000858.SZ,009150.KS,384.HK,2357.TW,688.HK,2007.HK,1801.HK,5880.TW,2601.HK,033780.KS,2885.TW,M&M.NS,DRREDDY.NS,2382.TW,SMPH.PM,2899.HK,1288.HK,1918.HK,6488,003550.KS,268.HK,JSWSTEEL.NS,2359.HK,TITAN.NS,AOT-R.BK,034730.KS,ITC.NS,VIPS,2327.TW,ASII.JK,TAL,1193.HK,1590.TW,3481.TW,MAYBANK.KL,KOTAKBANK.NS,1919.HK,090430.KS,BDMS-R.BK,SUNPHARMA.NS,XTSLA,BMRI.JK,2883.TW,TATAMOTORS.NS,TATASTEEL.NS,NVAA.,2207.TW,2890.TW,586.HK,2018.HK,1088.HK,601318.SS,ZLAB,267.HK,2409.TW,TECHM.NS,2887.TW,HINDALCO.NS,968.HK,BJFIN.NS,2328.HK,000810.KS,GDS,015760.KS,POWERGRID.NS,788.HK,NESTLEIND.NS,018260.KS,PTTEP-R.BK,AQE.,2344.TW,UPL.NS,091990.KQ,916.HK,GRASIM.NS,017670.KS,DMART.NS,881.HK,1658.HK,316140.KS,1548.HK,ADANIPORTS.NS,3105,CIMB.KL,EICHERMOT.NS,SM.PM,GODREJCP.NS,601888.SS,BPCL.NS,5876.TW,TENAGA.KL,1066.HK,285.HK,TWD,KRW,INR,034220.KS,ALI.PM,3045.TW,009830.KS,168.HK,PCHEM.KL,DIVISLAB.NS,2912.TW,2880.TW,003670.KS,ANSGR.IS,2196.HK,3898.HK,CNH,2301.TW,2395.TW,5347,NVAM.,032830.KS,009540.KS,VEDL.NS,3323.HK,3606.HK,6030.HK,2202.HK,SBILIFE.NS,005935.KQ,PIDILITIND.NS,836.HK,BAJAJFINSV.NS,PTTGC-R.BK,HDFCLIFE.NS,028300.KQ,HAVELLS.NS,AC.PM,PMETAL.KL,1171.HK,003490.KS,ONGC.NS,CIPLA.NS,ICT.PM,010950.KS,CLV.,BDO.PM,SUM
07/09/2021,6.98,5.44,5.31,4.33,1.98,1.24,1.17,1.09,1.0,0.96,0.94,0.88,0.88,0.82,0.8,0.78,0.71,0.7,0.69,0.68,0.66,0.66,0.62,0.61,0.58,0.57,0.53,0.51,0.47,0.45,0.44,0.44,0.44,0.42,0.4,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.34,0.34,0.34,0.34,0.32,0.31,0.31,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.52000000000001
07/12/2021,7.07,5.27,5.13,4.31,1.88,1.25,1.09,1.12,0.93,0.97,0.92,0.91,0.86,0.83,0.81,0.75,0.74,0.7,0.68,0.71,0.66,0.69,0.64,0.6,0.57,0.57,0.53,0.5,0.46,0.46,0.45,0.42,0.44,0.43,0.4,0.39,0.38,0.39,0.39,0.38,0.37,0.36,0.34,0.34,0.34,0.32,0.32,0.32,0.3,0.38,0.27,0.3,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.22,0.24,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.16,0.19,0.19,0.2,0.18,0.19,0.19,0.18,0.17,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.19,0.18,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.1,0.11,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.36000000000001
07/13/2021,7.07,5.27,5.13,4.31,1.88,1.25,1.09,1.12,0.93,0.97,0.92,0.91,0.86,0.83,0.81,0.75,0.74,0.7,0.68,0.71,0.66,0.69,0.64,0.6,0.57,0.57,0.53,0.5,0.46,0.46,0.45,0.42,0.44,0.43,0.4,0.39,0.38,0.39,0.39,0.38,0.37,0.36,0.34,0.34,0.34,0.32,0.32,0.32,0.3,0.38,0.27,0.3,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.22,0.24,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.21,0.2,0.16,0.19,0.19,0.2,0.18,0.19,0.19,0.18,0.17,0.19,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.19,0.18,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.13,0.13,0.12,0.11,0.1,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.11,0.1,0.11,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.36000000000001
07/14/2021,7.01,5.38,5.09,4.27,1.96,1.24,1.08,1.12,0.93,1.01,0.9,0.9,0.86,0.82,0.81,0.77,0.74,0.7,0.7,0.75,0.7,0.67,0.63,0.62,0.58,0.55,0.53,0.5,0.45,0.46,0.45,0.38,0.44,0.45,0.43,0.39,0.38,0.39,0.38,0.38,0.36,0.35,0.33,0.34,0.34,0.33,0.32,0.31,0.29,0.36,0.27,0.3,0.28,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.22,0.24,0.25,0.24,0.24,0.23,0.22,0.21,0.22,0.21,0.2,0.2,0.22,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.16,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.19,0.17,0.17,0.18,0.17,0.19,0.18,0.16,0.16,0.16,0.16,0.15,0.17,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.28,0.14,0.14,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.11,0.11,0.1,0.1,0.1,0.39,0.31,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23
07/15/2021,7.01,5.38,5.09,4.27,1.96,1.24,1.08,1.12,0.93,1.01,0.9,0.9,0.86,0.82,0.81,0.77,0.74,0.7,0.7,0.75,0.7,0.67,0.63,0.62,0.58,0.55,0.53,0.5,0.45,0.46,0.45,0.38,0.44,0.45,0.43,0.39,0.38,0.39,0.38,0.38,0.36,0.35,0.33,0.34,0.34,0.33,0.32,0.31,0.29,0.36,0.27,0.3,0.28,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.22,0.24,0.25,0.24,0.24,0.23,0.22,0.21,0.22,0.21,0.2,0.2,0.22,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.16,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.19,0.17,0.17,0.18,0.17,0.19,0.18,0.16,0.16,0.16,0.16,0.15,0.17,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.14,0.14,0.28,0.14,0.14,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.11,0.11,0.1,0.1,0.1,0.39,0.31,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.23
07/16/2021,7.17,5.44,5.24,4.22,2.03,1.23,1.06,1.09,0.9,1.03,0.91,0.91,0.85,0.83,0.8,0.77,0.77,0.72,0.71,0.71,0.69,0.66,0.61,0.61,0.58,0.55,0.51,0.5,0.45,0.44,0.44,0.33,0.43,0.43,0.42,0.39,0.4,0.39,0.39,0.32,0.36,0.36,0.33,0.34,0.34,0.32,0.32,0.33,0.3,0.44,0.27,0.3,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.24,0.25,0.22,0.24,0.24,0.23,0.23,0.23,0.23,0.21,0.22,0.2,0.2,0.19,0.21,0.21,0.21,0.2,0.22,0.2,0.21,0.2,0.17,0.19,0.19,0.19,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.19,0.18,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.14,0.0,0.14,0.14,0.13,0.13,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.13,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.1,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.25,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.62
07/19/2021,7.32,5.53,5.4,4.3,1.98,1.22,1.06,1.1,0.87,1.02,0.91,0.9,0.86,0.84,0.79,0.77,0.75,0.71,0.72,0.74,0.69,0.66,0.61,0.6,0.58,0.53,0.51,0.51,0.45,0.44,0.43,0.25,0.42,0.45,0.43,0.39,0.36,0.39,0.39,0.32,0.36,0.38,0.33,0.34,0.34,0.31,0.31,0.31,0.29,0.29,0.26,0.31,0.27,0.29,0.27,0.27,0.25,0.26,0.25,0.28,0.26,0.27,0.24,0.24,0.22,0.23,0.24,0.24,0.25,0.23,0.24,0.21,0.21,0.21,0.2,0.2,0.22,0.22,0.2,0.19,0.21,0.19,0.22,0.2,0.17,0.18,0.19,0.22,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.19,0.17,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.14,0.14,0.14,0.15,0.15,0.14,0.12,0.13,0.11,0.1,0.12,0.13,0.13,0.11,0.13,0.13,0.14,0.34,0.14,0.14,0.13,0.13,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.1,0.11,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.0,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.24,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9
07/20/2021,7.32,5.53,5.4,4.3,1.98,1.22,1.06,1.1,0.87,1.02,0.91,0.9,0.86,0.84,0.79,0.77,0.75,0.71,0.72,0.74,0.69,0.66,0.61,0.6,0.58,0.53,0.51,0.51,0.45,0.44,0.43,0.25,0.42,0.45,0.43,0.39,0.36,0.39,0.39,0.32,0.36,0.38,0.33,0.34,0.34,0.31,0.31,0.31,0.29,0.29,0.26,0.31,0.27,0.29,0.27,0.27,0.25,0.26,0.25,0.28,0.26,0.27,0.24,0.24,0.22,0.23,0.24,0.24,0.25,0.23,0.24,0.21,0.21,0.21,0.2,0.2,0.22,0.22,0.2,0.19,0.21,0.19,0.22,0.2,0.17,0.18,0.19,0.22,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.19,0.17,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.14,0.14,0.14,0.15,0.15,0.14,0.12,0.13,0.11,0.1,0.12,0.13,0.13,0.11,0.13,0.13,0.14,0.34,0.14,0.14,0.13,0.13,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.0,0.0,0.11,0.11,0.11,0.0,0.1,0.11,0.0,0.11,0.11,0.11,0.12,0.11,0.11,0.12,0.11,0.0,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.24,0.0,0.0,0.1,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9
07/22/2021,7.05,5.49,5.31,4.28,1.93,1.25,1.07,1.1,0.88,1.01,0.9,0.89,0.87,0.84,0.78,0.75,0.76,0.71,0.72,0.77,0.73,0.64,0.62,0.58,0.58,0.54,0.51,0.51,0.45,0.44,0.43,0.29,0.43,0.44,0.43,0.39,0.36,0.39,0.38,0.32,0.36,0.37,0.33,0.33,0.34,0.3,0.31,0.31,0.29,0.29,0.24,0.33,0.27,0.29,0.27,0.27,0.25,0.26,0.26,0.29,0.27,0.27,0.24,0.24,0.22,0.24,0.25,0.24,0.24,0.23,0.23,0.21,0.22,0.21,0.2,0.21,0.23,0.22,0.2,0.19,0.22,0.19,0.22,0.2,0.14,0.19,0.19,0.22,0.2,0.19,0.18,0.19,0.16,0.18,0.18,0.18,0.17,0.18,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.19,0.16,0.16,0.17,0.15,0.15,0.17,0.17,0.16,0.17,0.15,0.16,0.14,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.16,0.14,0.14,0.14,0.15,0.14,0.14,0.12,0.12,0.11,0.11,0.12,0.13,0.13,0.12,0.13,0.13,0.14,0.36,0.14,0.15,0.13,0.13,0.12,0.11,0.13,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.1,0.11,0.0,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.11,0.1,0.13,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.58
07/23/2021,7.08,5.46,5.34,4.3,1.93,1.25,1.07,1.11,0.9,1.01,0.89,0.89,0.87,0.83,0.78,0.76,0.75,0.71,0.73,0.77,0.72,0.64,0.63,0.57,0.57,0.54,0.51,0.51,0.45,0.44,0.44,0.26,0.44,0.46,0.43,0.4,0.36,0.39,0.38,0.32,0.38,0.36,0.34,0.33,0.34,0.31,0.32,0.3,0.29,0.3,0.25,0.33,0.27,0.29,0.27,0.27,0.26,0.26,0.25,0.28,0.27,0.27,0.25,0.24,0.22,0.24,0.25,0.23,0.24,0.23,0.24,0.21,0.23,0.2,0.19,0.21,0.23,0.23,0.2,0.19,0.22,0.2,0.22,0.19,0.15,0.19,0.19,0.22,0.21,0.19,0.18,0.18,0.16,0.18,0.18,0.18,0.17,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.18,0.18,0.16,0.16,0.17,0.15,0.15,0.16,0.17,0.16,0.17,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.13,0.13,0.14,0.13,0.14,0.14,0.15,0.15,0.16,0.14,0.13,0.14,0.15,0.14,0.14,0.13,0.12,0.11,0.0,0.12,0.13,0.13,0.11,0.13,0.13,0.14,0.12,0.14,0.15,0.13,0.13,0.12,0.11,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.11,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.1,0.11,0.0,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.1,0.12,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.37
