,2IWM  220630C00001830,2IWM  220630P00229370,Cash&Other,2IWM  220630C00251500,2IWM  220630P00194960,SUM
07/09/2021,97.06,9.52,0.83,-3.26,-4.16,99.99
07/12/2021,97.31,9.21,0.8,-3.3,-4.03,99.99
07/13/2021,97.31,9.21,0.8,-3.3,-4.03,99.99
07/14/2021,97.31,9.21,0.8,-3.3,-4.03,99.99
07/15/2021,97.3,9.18,0.8,-3.27,-4.01,100.0
07/16/2021,95.91,10.59,0.8,-2.84,-4.47,99.99
07/19/2021,94.97,11.5,0.8,-2.19,-5.08,100.0
07/20/2021,94.32,12.24,0.8,-1.95,-5.41,100.0
07/21/2021,94.32,12.24,0.8,-1.95,-5.41,100.0
07/22/2021,93.74,13.15,0.8,-1.79,-5.92,99.98
07/23/2021,95.28,11.2,0.79,-2.3,-4.97,100.0
07/26/2021,95.38,11.15,0.77,-2.38,-4.93,99.99
07/27/2021,95.68,10.94,0.77,-2.54,-4.86,99.99
07/28/2021,95.68,10.94,0.77,-2.54,-4.86,99.99
07/29/2021,95.8,10.76,0.76,-2.57,-4.76,99.99000000000001
