,688202.SS,688202.SS.1,688202.SS.2,Cash,688202.SS.3,688202.SS.4,AMGN,MRNA,GILD,ILMN,688202.SS.5,REGN,BIIB,VRTX,ALXN,SGEN,AZN,HZNP,ALNY,INCY,BNTX,BGNE,RPRX,NVAX,BMRN,GH,CRSP,SNY,NTLA,ZLAB,JAZZ,DNLI,SYNH,NBIX,BBIO,ARWR,MRTX,ARGX,FATE,BEAM,UTHR,XLRN,PACB,ASND,TWST,HALO,RARE,MEDP,SRPT,VIR,ADPT,EXEL,IONS,IBRX,BPMC,APLS,KOD,ALLK,RETA,ARNA,SWTX,IOVA,ALKS,ACAD,EDIT,TPTX,ARVN,ALLO,AGIO,RLAY,KRTX,SAGE,ITCI,INSM,NKTR,PTCT,NSTG,DRNA,BCRX,RCKT,OPK,VCYT,IMAB,PCRX,FOLD,AXSM,FGEN,MYGN,RVMD,PRTA,ALXO,ZNTL,MCRB,LGND,GBT,RUBY,BLUE,IGMS,DCPH,RVNC,HCM,IRWD,TBIO,GRFS,XNCR,PTGX,GMAB,INO,CSTL,REPL,AMTI,LMNX,SGMO,AMRN,ALEC,AUP.TO,RGNX,SUPN,CNST,MDGL,MGNX,CRTX,GBIO,NGM,KRYS,YMAB,CDXS,CYTK,QURE,KURA,ARQT,MNKD,PGEN,IMGN,ATRA,ALVR,STOK,VNDA,FMTX,NRIX,PCVX,RPTX,PSNL,PETQ,ENDP,OCUL,CHRS,PLRX,NKTX,IMVT,LEGN,AFMD,SRRK,KROS,RYTM,ZGNX,AMPH,TBPH,MRSN,CCXI,INVA,RNA,OMER,GTHX,ITOS,ARCT,ENTA,TVTX,AKRO,RDUS,ANNX,STRO,EPZM,COLL,SNDX,RAPT,KPTI,XENE,AERI,ARDX,RIGL,SMMT,DTIL,PASG,CARA,ANAB,CRNX,VSTM,CGEN,IDYA,MGTX,KDMN,ICPT,MRNS,ORIC,KDNY,TCRR,PSTX,GOSS,CLVS,Nasdaq Biotechnology Index Swap Ubs Ag,Nasdaq Biotechnology Index Swap Goldman Sachs International,Nasdaq Biotechnology Index Swap Societe Generale,Nasdaq Biotechnology Index Swap Citibank Na,Nasdaq Biotechnology Index Swap Bank Of America Na,Nasdaq Biotechnology Index Swap Morgan Stanley & Co. International Plc,Genmab A/S ADR,ISEE,EGRX,ACIU,SPPI,KNSA,KALV,SUM
07/09/2021,33.95,25.69,23.23,16.3,15.32,13.96,6.41,6.23,5.7,4.56,4.05,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/12/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/13/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/14/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/15/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/16/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/19/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/20/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/21/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
07/22/2021,0.0,0.0,0.0,16.3,0.0,0.0,6.41,6.23,5.7,4.56,0.0,3.48,3.46,3.44,2.7,1.9,1.42,1.4,1.32,1.23,1.18,1.14,1.07,1.05,1.01,0.84,0.82,0.79,0.73,0.72,0.72,0.63,0.62,0.61,0.6,0.57,0.55,0.55,0.54,0.54,0.53,0.51,0.46,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.38,0.38,0.37,0.36,0.34,0.34,0.32,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,33.95,25.69,23.23,15.32,13.96,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.27
