,BDX,AVGO,PNC,QRTEV,CASH,USB,BAC,ATH,WFC,CNP,C,ET,SYF,GS,JPM,SCHW,NLY,MS,WCC,HIG,CEQP,HBAN,CHSINC,ALLY,RF,AGNC,C.1,SRE,MS.1,MS.2,FITB,MNR,ET.1,ETP 7 5/8 PERP,NLY.1,TDS,NLY.2,RGA,PBI,AGNC.1,NSUS,NRZ,C.2,RLJ,AGNC.2,"Becton, Dickinson and Co PRF PERPETUAL USD 50 - 1/20TH INT Ser B",GMAC Capital Trust I Pfd Secs 2011-15.2.40 Gtd Series 2,Broadcom Inc Broadcom Inc 8 % Mandatory Convertible Preferred Stock Ser A,PNC Financial Services Group Inc Perpetual Preferred Share class-P,QRTEA 8 03/15/31,U.S. Bancorp Shs Repr 1/1000th Non Cum Perp Pfd Shs Series-F,Bank of America Corp Pfd,Athene Holding Ltd FXDFR PRF PERPETUAL USD 25 - Ser A 1/1000 Int Dep,Wells Fargo & Co Deposit Shs Repr 1/1000th 6 5/8 % Non-Cum Perp Pfd Shs -A-,CenterPoint Energy Inc 7% PRF CONVERT 01/09/2021 USD 1000 - Ser B (1/20th i,C V0 10/30/40,Energy Transfer LP FXDFR PRF PERPETUAL USD 25 - Ser E,Synchrony Financial 5.625% PRF PERPETUAL USD 25 Ser A,JPMorgan Chase & Co 6% PRF PERPETUAL USD 25 - Dep rep 1/400 Ser EE,Goldman Sachs Group Inc DR,The Charles Schwab Corporation 0%,Annaly Capital Management Inc Cum Conv Red Pfd Registered Shs Series -F-,WCC V10.625 PERP A,Morgan Stanley Deposit Shs Repr 1/1000th Non-Cum Pfd Shs Series -I-,"The Hartford Financial Services Group, Inc. 0%",Crestwood Equity Partners LP 9.25 % Preferred Partnership Units -144A-,CHS Inc 7 1/2 % Cum Red Pfd Shs -B- Series -4-,Regions Financial Corp Deposit Shs Repr 1/40th Non-Cum Perp Pfd Shs Series,Citigroup Inc Deposit Shs Repr 1/1000th 6 7/8 % Non-Cum Perp Pfd Shs Series,AGNC Investment Corp FXDFR PRF PERPETUAL USD 25 Series F,Morgan Stanley Deposit Shs Repr 1/1000th Non-Cum Pfd Shs Series -E-,Morgan Stanley Deposit Shs Repr 1/1000th Non-Cum Pfd Shs Series -F-,Fifth Third Bancorp Deposit Shs Repr 1/1000th Non-Cum Perp Pfd Shs Series -,Monmouth Real Estate Investment Corp C,Energy Transfer LP FXDFR PRF PERPETUAL USD 25 - Ser C,Energy Transfer LP FXDFR PRF PERPETUAL USD 25 - Ser D,Telephone and Data Systems Inc 6.625% PRF PERPETUAL USD 25 - 1/1000 Int Ser,Annaly Capital Management Inc Pfd,Annaly Capital Management Inc FXDFR PRF PERPETUAL USD 25 - Ser G,Pitney Bowes,"Reinsurance Group of America, Incorporated 0%",AGNC Investment Corp FXDFR PRF PERPETUAL USD 25 Ser E 1/1000,"Nustar Logistics, L.P. 0%",New Residential Investment Corp FXDFR PRF PERPETUAL USD 25 - Ser C,Citigroup Inc Repr 1/100th 7 1/8 Non-Cum Perp Pfd Shs Series J,RLJ Lodging Trust USD 1.95 Cum Conv Pfd Registered Shs Series -A-,AGNC Investment Corp Deposit Shs Repr 1/1000th Cum Conv Red Pfd Shs Series,Cash,SUM
07/09/2021,5.5,5.39,4.81,4.15,3.74,3.53,3.35,3.1,2.95,2.69,2.6,2.55,2.5,2.47,2.46,2.32,2.28,2.01,1.99,1.97,1.93,1.86,1.85,1.83,1.78,1.77,1.77,1.75,1.72,1.68,1.61,1.55,1.44,1.44,1.41,1.4,1.35,1.31,1.3,1.27,1.23,1.15,1.11,1.07,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,5.75,5.61,4.92,4.3,3.65,3.44,3.21,3.07,2.83,2.7,2.68,2.57,2.52,2.51,2.42,2.37,2.07,2.06,2.03,1.99,1.92,1.84,1.84,1.84,1.78,1.73,1.67,1.62,1.5,1.5,1.46,1.46,1.39,1.38,1.34,1.31,1.27,1.18,1.15,1.12,1.08,0.14,99.97
