,2SPY  220429C00003340,2SPY  220429P00417300,Cash&Other,2SPY  220429P00354710,2SPY  220429C00453270,SUM
07/09/2021,99.71,5.25,0.66,-2.33,-3.29,100.0
07/12/2021,100.09,5.13,0.65,-2.27,-3.6,100.0
07/13/2021,100.09,5.13,0.65,-2.27,-3.6,100.0
07/14/2021,100.09,5.13,0.65,-2.27,-3.6,100.0
07/15/2021,100.35,5.01,0.64,-2.22,-3.78,100.0
07/16/2021,100.17,5.24,0.64,-2.36,-3.69,100.0
07/19/2021,100.01,5.34,0.63,-2.42,-3.56,100.0
07/20/2021,99.55,5.7,0.63,-2.58,-3.3,100.0
07/21/2021,99.55,5.7,0.63,-2.58,-3.3,100.0
07/22/2021,98.76,6.36,0.64,-2.93,-2.83,100.0
07/23/2021,99.63,5.72,0.63,-2.59,-3.39,100.0
07/26/2021,100.22,5.2,0.62,-2.34,-3.71,99.99
07/27/2021,100.8,4.91,0.62,-2.21,-4.12,100.0
07/28/2021,100.8,4.91,0.62,-2.21,-4.12,100.0
07/29/2021,101.05,4.85,0.62,-2.18,-4.34,100.0
07/30/2021,100.76,5.05,0.61,-2.31,-4.11,100.0
08/02/2021,100.86,4.83,0.61,-2.17,-4.13,100.0
08/03/2021,100.69,4.96,0.6,-2.23,-4.03,99.98999999999998
08/04/2021,100.69,4.96,0.6,-2.23,-4.03,99.98999999999998
08/05/2021,100.49,5.09,0.6,-2.29,-3.9,99.98999999999998
08/06/2021,100.89,4.77,0.6,-2.14,-4.12,100.0
08/10/2021,101.12,4.47,0.59,-1.97,-4.21,100.0
08/11/2021,101.12,4.47,0.59,-1.97,-4.21,100.0
08/13/2021,101.1,4.57,0.58,-2.01,-4.24,100.0
08/16/2021,101.49,4.34,0.56,-1.9,-4.49,100.0
08/17/2021,101.55,4.27,0.56,-1.84,-4.54,100.0
08/18/2021,101.55,4.27,0.56,-1.84,-4.54,100.0
08/19/2021,101.79,4.2,0.56,-1.81,-4.74,100.0
08/20/2021,101.41,4.5,0.56,-1.99,-4.48,100.0
08/23/2021,100.9,5.0,0.56,-2.25,-4.21,100.0
08/24/2021,101.29,4.61,0.56,-2.06,-4.4,100.0
08/25/2021,101.29,4.61,0.56,-2.06,-4.4,100.0
08/26/2021,101.91,4.19,0.56,-1.86,-4.8,100.0
08/27/2021,101.95,4.24,0.55,-1.88,-4.87,99.99
08/30/2021,101.76,4.36,0.54,-1.93,-4.73,100.0
08/31/2021,102.3,3.97,0.54,-1.75,-5.06,100.0
09/01/2021,102.3,3.97,0.54,-1.75,-5.06,100.0
