,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,Cboe Vix Future Jul21 - Cash Offset,Cboe Vix Future Aug21 - Cash Offset,Cboe Vix Future Aug21,Cboe Vix Future Jul21,SUM
07/09/2021,100.0,25.91,24.16,-24.16,-25.91,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/20/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/21/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/22/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/23/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/26/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/27/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
07/28/2021,100.0,0.0,0.0,0.0,0.0,25.91,24.16,-24.16,-25.91,100.0
