,n/a,FGXXX,SUM
01/12/2022,19.01,0.0,19.01
01/13/2022,19.01,0.0,19.01
01/14/2022,19.01,0.0,19.01
01/17/2022,19.01,0.0,19.01
01/18/2022,19.01,0.0,19.01
01/19/2022,19.01,0.0,19.01
01/20/2022,19.01,0.0,19.01
01/21/2022,19.01,0.0,19.01
01/24/2022,19.01,0.0,19.01
01/25/2022,19.01,0.0,19.01
01/26/2022,19.01,0.0,19.01
01/27/2022,19.01,0.0,19.01
01/28/2022,19.01,0.0,19.01
01/31/2022,19.01,0.0,19.01
02/01/2022,19.01,0.0,19.01
02/02/2022,19.01,0.0,19.01
02/03/2022,19.01,0.0,19.01
02/04/2022,19.01,0.0,19.01
02/07/2022,19.01,0.0,19.01
02/08/2022,-50.5,150.5,100.0
02/09/2022,-50.5,150.5,100.0
02/10/2022,-24.61,124.61,100.0
02/11/2022,-134.76,234.76,100.0
02/14/2022,-271.72,371.72,100.0
02/15/2022,-79.66,179.66,100.0
