,Cash,688202.SS,688202.SS.1,688202.SS.2,B 0 07/01/21,B 0 07/15/21,B 0 10/14/21,B 0 11/04/21,B 0 12/23/21,688202.SS.3,B 0 07/08/21,B 0 01/27/22,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,688202.SS.14,688202.SS.15,Russell 2000 Index Swap Goldman Sachs International - Cash Offset,Russell 2000 Index Swap Bnp Paribas - Cash Offset,Russell 2000 Index Swap Ubs Ag - Cash Offset,Russell 2000 Index Swap Citibank Na - Cash Offset,Russell 2000 Index Swap Societe Generale - Cash Offset,Russell 2000 09/17/2021 (Rtyu1) - Cash Offset,Russell 2000 Index Swap Morgan Stanley & Co. International Plc - Cash Offse,Russell 2000 Index Swap Bank Of America Na - Cash Offset,Russell 2000 Index Swap Bank Of America Na,Russell 2000 Index Swap Morgan Stanley & Co. International Plc,E-mini Russell 2000 Index Future Sept 21,Russell 2000 Index Swap Societe Generale,Russell 2000 Index Swap Citibank Na,Russell 2000 Index Swap Ubs Ag,Russell 2000 Index Swap Bnp Paribas,Russell 2000 Index Swap Goldman Sachs International,XIB 0 10/14/21,SUM
07/09/2021,61.56,25.34,11.12,9.43,5.82,5.82,5.82,5.82,5.82,5.06,4.66,4.66,4.22,3.74,1.9,0.76,-0.76,-1.9,-3.74,-4.22,-5.06,-9.43,-11.12,-25.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,61.56,0.0,0.0,0.0,5.82,5.82,5.82,5.82,5.82,0.0,4.66,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.34,11.12,9.43,5.06,4.22,3.74,1.9,0.76,-0.76,-1.9,-3.74,-4.22,-5.06,-9.43,-11.12,-25.34,0.0,99.98
07/15/2021,61.56,0.0,0.0,0.0,5.82,5.82,0.0,5.82,5.82,0.0,4.66,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.34,11.12,9.43,5.06,4.22,3.74,1.9,0.76,-0.76,-1.9,-3.74,-4.22,-5.06,-9.43,-11.12,-25.34,5.82,99.97999999999999
