,AMZN,HD,WMT,COST,LOW,TGT,TJX,JD,CVS,DG,ORLY,ROST,SYY,AZO,WBA,LULU,MCK,KR,BBY,DLTR,ABC,CAH,W,LB,Gap Inc,010950.KS,GPS,PTBL.TA,VSCO WI,BBWI WI,1379.T,SAR.AX,VSCO,LBEUR,n/a,SUM
07/09/2021,20.59,11.68,8.18,5.05,4.94,4.6,4.54,4.54,4.2,3.47,3.05,2.83,2.74,2.54,2.4,2.2,2.0,1.95,1.69,1.67,1.26,1.09,0.99,0.96,0.83,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/12/2021,21.54,11.64,8.1,5.09,4.91,4.59,4.48,4.31,4.12,3.5,3.05,2.77,2.66,2.52,2.35,2.24,1.95,1.91,1.6,1.66,1.24,1.06,1.01,0.93,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,21.54,11.64,8.1,5.09,4.91,4.59,4.48,4.31,4.12,3.5,3.05,2.77,2.66,2.52,2.35,2.24,1.95,1.91,1.6,1.66,1.24,1.06,1.01,0.93,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,21.57,11.53,8.1,5.16,4.88,4.59,4.5,4.34,4.1,3.47,3.07,2.77,2.69,2.53,2.33,2.23,1.94,1.93,1.6,1.66,1.23,1.06,0.99,0.94,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,21.58,11.52,8.09,5.11,4.88,4.66,4.49,4.32,4.13,3.45,3.07,2.76,2.66,2.56,2.34,2.18,1.95,1.93,1.61,1.65,1.24,1.07,0.98,0.98,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,21.58,11.52,8.09,5.11,4.88,4.66,4.49,4.32,4.13,3.45,3.07,2.76,2.66,2.56,2.34,2.18,1.95,1.93,1.61,1.65,1.24,1.07,0.98,0.98,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,21.13,11.59,8.2,5.17,4.9,4.69,4.5,4.55,4.15,3.5,3.11,2.75,2.58,2.6,2.28,2.23,1.95,1.96,1.63,1.65,1.22,1.06,0.94,0.96,0.0,0.0,0.73,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,20.96,11.64,8.26,5.2,4.95,4.69,4.49,4.51,4.17,3.53,3.16,2.68,2.56,2.63,2.29,2.22,1.96,2.0,1.62,1.65,1.22,1.07,0.92,0.94,0.0,0.0,0.7,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/21/2021,20.96,11.64,8.26,5.2,4.95,4.69,4.49,4.51,4.17,3.53,3.16,2.68,2.56,2.63,2.29,2.22,1.96,2.0,1.62,1.65,1.22,1.07,0.92,0.94,0.0,0.0,0.7,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/22/2021,20.96,11.64,8.26,5.2,4.95,4.69,4.49,4.51,4.17,3.53,3.16,2.68,2.56,2.63,2.29,2.22,1.96,2.0,1.62,1.65,1.22,1.07,0.92,0.94,0.0,0.0,0.7,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/23/2021,20.96,11.64,8.26,5.2,4.95,4.69,4.49,4.51,4.17,3.53,3.16,2.68,2.56,2.63,2.29,2.22,1.96,2.0,1.62,1.65,1.22,1.07,0.92,0.94,0.0,0.0,0.7,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000004
07/26/2021,21.03,11.66,8.13,5.21,4.9,4.73,4.41,4.46,4.15,3.53,3.15,2.68,2.54,2.57,2.28,2.33,2.03,1.99,1.59,1.65,1.28,1.09,0.94,0.98,0.0,0.0,0.71,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/27/2021,20.94,11.77,8.12,5.24,4.95,4.76,4.43,4.21,4.14,3.55,3.18,2.67,2.55,2.61,2.26,2.35,2.05,1.98,1.62,1.65,1.28,1.08,0.92,0.99,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,20.94,11.77,8.12,5.24,4.95,4.76,4.43,4.21,4.14,3.55,3.18,2.67,2.55,2.61,2.26,2.35,2.05,1.98,1.62,1.65,1.28,1.08,0.92,0.99,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,21.23,11.73,8.14,5.24,4.88,4.76,4.48,3.85,4.13,3.57,3.18,2.69,2.57,2.6,2.3,2.31,2.05,1.98,1.64,1.66,1.28,1.08,0.92,0.98,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98000000000002
07/30/2021,20.99,11.69,8.21,5.3,4.82,4.76,4.5,3.81,4.21,3.61,3.19,2.69,2.6,2.63,2.3,2.31,2.09,2.01,1.65,1.64,1.3,1.1,0.89,0.99,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,21.0,11.62,8.18,5.27,4.79,4.74,4.46,4.13,4.19,3.61,3.16,2.68,2.6,2.6,2.31,2.32,2.09,2.01,1.63,1.64,1.3,1.1,0.89,0.99,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/03/2021,21.0,11.62,8.18,5.27,4.79,4.74,4.46,4.13,4.19,3.61,3.16,2.68,2.6,2.6,2.31,2.32,2.09,2.01,1.63,1.64,1.3,1.1,0.89,0.99,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/04/2021,21.0,11.62,8.18,5.27,4.79,4.74,4.46,4.13,4.19,3.61,3.16,2.68,2.6,2.6,2.31,2.32,2.09,2.01,1.63,1.64,1.3,1.1,0.89,0.99,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/05/2021,21.0,11.62,8.18,5.27,4.79,4.74,4.46,4.13,4.19,3.61,3.16,2.68,2.6,2.6,2.31,2.32,2.09,2.01,1.63,1.64,1.3,1.1,0.89,0.99,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/06/2021,19.52,11.88,8.3,5.45,4.84,4.84,4.54,4.14,4.23,3.69,3.18,2.71,2.57,2.69,2.34,2.41,2.11,2.15,1.66,1.66,1.33,1.11,0.81,0.85,0.0,0.0,0.72,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,19.64,11.96,8.42,5.57,4.77,4.84,4.53,4.18,4.05,3.72,3.15,2.69,2.61,2.66,2.32,2.46,2.05,2.12,1.67,1.65,1.31,0.94,0.9,0.8,0.0,0.0,0.7,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,19.54,11.89,8.44,5.54,4.78,4.84,4.6,4.13,4.12,3.74,3.15,2.75,2.63,2.66,2.33,2.43,2.06,2.12,1.67,1.66,1.3,0.95,0.87,0.8,0.0,0.0,0.72,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,19.54,11.89,8.44,5.54,4.78,4.84,4.6,4.13,4.12,3.74,3.15,2.75,2.63,2.66,2.33,2.43,2.06,2.12,1.67,1.66,1.3,0.95,0.87,0.8,0.0,0.0,0.72,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,19.19,11.82,8.55,5.53,4.72,4.86,4.69,4.21,4.18,3.73,3.11,2.78,2.76,2.63,2.37,2.39,1.99,2.15,1.66,1.68,1.27,0.94,0.93,0.0,0.0,0.0,0.74,0.03,0.31,0.8,0.0,0.0,0.0,0.0,0.0,100.02
08/16/2021,19.03,11.88,8.55,5.54,4.76,4.8,4.68,4.13,4.26,3.69,3.08,2.77,2.77,2.62,2.41,2.4,2.01,2.13,1.7,1.68,1.28,0.96,1.03,0.0,0.0,0.0,0.73,0.03,0.3,0.8,0.0,0.0,0.0,0.0,0.0,100.02
08/17/2021,19.05,11.83,8.61,5.59,4.74,4.82,4.63,4.11,4.24,3.71,3.08,2.76,2.8,2.6,2.42,2.41,2.03,2.15,1.64,1.69,1.28,0.96,1.01,0.0,0.0,0.0,0.7,0.04,0.32,0.78,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,19.05,11.83,8.61,5.59,4.74,4.82,4.63,4.11,4.24,3.71,3.08,2.76,2.8,2.6,2.42,2.41,2.03,2.15,1.64,1.69,1.28,0.96,1.01,0.0,0.0,0.0,0.7,0.04,0.32,0.78,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,19.05,11.83,8.61,5.59,4.74,4.82,4.63,4.11,4.24,3.71,3.08,2.76,2.8,2.6,2.42,2.41,2.03,2.15,1.64,1.69,1.28,0.96,1.01,0.0,0.0,0.0,0.7,0.0,0.32,0.78,0.04,0.0,0.0,0.0,0.0,100.0
08/20/2021,19.01,11.92,8.64,5.63,4.8,4.83,4.6,3.9,4.28,3.71,3.11,2.75,2.79,2.63,2.4,2.39,2.04,2.17,1.66,1.69,1.28,0.97,0.97,0.0,0.0,0.0,0.68,0.04,0.31,0.79,0.0,0.0,0.0,0.0,0.0,99.99
08/23/2021,18.68,11.68,8.75,5.75,5.11,4.58,4.9,3.7,4.29,3.69,3.16,2.84,2.7,2.67,2.36,2.37,2.06,2.34,1.6,1.7,1.29,0.96,0.94,0.0,0.0,0.0,0.68,0.04,0.3,0.85,0.0,0.0,0.0,0.0,0.0,99.99
08/24/2021,18.54,11.77,8.73,5.74,5.19,4.67,4.87,3.75,4.27,3.69,3.14,2.73,2.71,2.65,2.37,2.35,2.05,2.36,1.63,1.71,1.28,0.95,0.95,0.0,0.0,0.0,0.69,0.0,0.3,0.85,0.0,0.04,0.0,0.0,0.0,99.98
08/25/2021,18.54,11.77,8.73,5.74,5.19,4.67,4.87,3.75,4.27,3.69,3.14,2.73,2.71,2.65,2.37,2.35,2.05,2.36,1.63,1.71,1.28,0.95,0.95,0.0,0.0,0.0,0.69,0.0,0.0,0.85,0.0,0.04,0.3,0.0,0.0,99.98
08/26/2021,18.85,11.67,8.64,5.67,5.12,4.64,4.92,3.85,4.24,3.67,3.11,2.75,2.73,2.61,2.37,2.38,2.06,2.34,1.61,1.71,1.28,0.96,0.93,0.0,0.0,0.0,0.69,0.0,0.0,0.86,0.0,0.04,0.28,0.0,0.0,99.98
08/27/2021,18.99,11.52,8.51,5.6,5.03,4.58,4.91,4.39,4.18,3.62,3.08,2.72,2.75,2.57,2.35,2.37,2.03,2.28,1.74,1.73,1.25,0.95,0.92,0.0,0.0,0.0,0.7,0.0,0.0,0.87,0.0,0.04,0.29,0.0,0.0,99.97
08/30/2021,19.2,11.49,8.49,5.62,5.12,4.59,4.85,4.53,4.18,3.54,3.11,2.64,2.79,2.57,2.35,2.38,2.02,2.27,1.71,1.55,1.25,0.95,0.95,0.0,0.0,0.0,0.64,0.0,0.0,0.87,0.0,0.04,0.3,0.0,0.0,100.0
08/31/2021,20.29,11.61,8.28,5.04,4.92,4.54,4.51,4.78,4.28,3.46,2.99,2.8,2.8,2.46,2.63,2.19,1.99,1.96,1.69,1.68,1.25,1.08,1.05,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,100.06
09/01/2021,20.29,11.61,8.28,5.04,4.92,4.54,4.51,4.78,4.28,3.46,2.99,2.8,2.8,2.46,2.63,2.19,1.99,1.96,1.69,1.68,1.25,1.08,1.05,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,100.06
