,ITW,MNST,WM,APH,MMC,MCO,EW,GD,TROW,A,SYK,ETN,EMR,PGR,ZTS,COF,ROP,SNPS,TFC,HCA,IDXX,IQV,CTSH,MSCI,CDNS,BK,CB,BAX,DOW,APD,CSGP,ALL,ICE,BF.A,NSC,AON,TRV,CNC,SON,ADP,SYY,FLO,DE,USB,KMI,CL,DAR,KMB,ACN,GIS,CME,PNC,CSX,FCNCA,BLK,LANC,CI,SCCO,EXPO,NATI,LSXMK,DCI,KMPR,ATR,BCPC,PM,NEOG,RLI,ADI,ROST,MET,CBU,UHAL,JCI,EWBC,TEL,ERIE,MSA,HLIO,GBCI,SF,TKR,NVT,PRTA,LBRDA,PNFP,ECL,AIG,SPGI,CBSH,ROLL,BWXT,LIN,BRO,LOB,ORLY,SLAB,DLB,NOVT,TTEK,IART,PFC,RUBY,SIGI,HEI.A,TRMK,TECH,FFIN,HAFC,HVT,AGCO,CCOI,CDMO,PEGA,DFIN,LECO,UFPI,MORN,BPOP,CHDN,LFUS,ARCB,ICUI,JOUT,TTEC,CNR,MMS,ANGO,NHC,PRI,MORF,VLY,LHX,PCTY,LAZ,RGP,NDSN,VRA,PPC,NGM,BRKR,GGG,CR,APOG,UBSI,ASGN,RS,JBT,ESGR,COHU,CNOB,RBC,NKTR,ACM,BHLB,STZ,MRCY,MANH,CTLT,CHE,VRTX,CWK,THG,GDEN,TRMB,ORBC,RILY,NG,AGYS,KDP,WMK,JOE,Y,HY,FBNC,POOL,FOX,VEEV,UNF,ENSG,SEB,CW,RARE,CCMP,SYNH,MKSI,IRDM,REVG,HRI,BLBD,CUBI,SRCL,LBRT,CCRN,NOC,ENS,CVLG,TFSL,RCKT,LORL,BX,TT,PB,ATNI,AVID,RCEL,HCKT,NVCR,CRNX,UVE,RMAX,GNK,CEIX,GTS,TRST,EBF,CLVT,HMHC,MYRG,CCF,CHH,LE,AMSWA,CRL,KBAL,WOW,NMRK,VVV,TGH,TMP,SSTI,FTDR,SLM,QADA,AXS,DNB,HWAU1,-,KRO,RECN,HFWA,SSB,NFE,PPG,AVNT.UN,UFPIZZZZ,MPLN,RDNT,EPAM,MPWR,GMED,PFC.UW,GTES,EME,TG,SUM
07/09/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/12/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/13/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/14/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/15/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/16/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/19/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/20/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/21/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
07/22/2021,1.32,1.11,0.97,0.96,0.95,0.89,0.83,0.8,0.76,0.74,0.74,0.73,0.71,0.69,0.68,0.67,0.66,0.66,0.65,0.64,0.61,0.59,0.59,0.58,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.48,0.46,0.44,0.42,0.42,0.41,0.39,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17
