,AAPL,MSFT,AMZN,TSLA,HON,GOOG,CMI,UNH,NVDA,DLR,PLD,V,JNJ,META,INTU,LLY,GLW,MCD,QCOM,SHW,JPM,MRK,HD,GOOGL,ADBE,ROK,DHR,XYL,EIX,TMO,MA,KO,SPGI,TXN,ACN,ECL,PFE,O,IBM,NOW,ITW,ADI,INTC,ABBV,BMY,ENPH,DIS,BAC,LBRDK,SEDG,CRM,SCHW,J,AMT,MDT,AME,RTX,BLK,MRVL,PSA,PNR,AFL,MTD,LOW,CCI,ZTS,CB,AVB,EW,ANTM,EQIX,CSCO,DRE,JNPR,MMC,CTXS,WST,WY,MSI,CMCSA,SBUX,MPWR,CME,TJX,AXP,VNO,SYK,TFC,UNP,AMGN,FRC,NFLX,ICE,AFG,PYPL,BXP,DG,VRTX,CL,PGR,SIVB,USB,ORLY,CHTR,REGN,ALLE,ISRG,PKI,FAST,VRSN,HUM,MPW,YUM,RMD,CBRE,WELL,EBAY,BSX,SNPS,GRMN,BX,ODFL,BK,MKL,LHX,ROP,AMD,CINF,TRMB,KLAC,KEYS,BRO,ACGL,TROW,AVGO,EXR,IDXX,BDX,NKE,MELI,HIG,EQR,MET,VRSK,BF.B,CSGP,ALL,UHAL,FTV,IEX,LULU,PNC,WTW,NTRS,KDP,ADSK,CPRT,n/a,MRNA,PAYX,TDG,NDAQ,SPG,CTAS,TWTR,FDS,COO,DXCM,MNST,HOLX,ILMN,FTNT,ETSY,ROST,BIIB,SGEN,JAZZ,ULTA,SEIC,NVR,VEEV,EFX,APO,MKTX,ZBH,CTLT,PLUG,WRB,HSY,IVZ,BMRN,SIRI,FWONK,KEY,MTB,ALNY,CBOE,UBER,VTR,CMG,ELV,KKR,DE,BIO,EL,SUM
07/04/2022,7.67,6.37,2.97,2.62,2.17,1.7,1.55,1.46,1.41,1.35,1.32,1.31,1.3,1.26,1.22,1.15,1.12,1.1,1.09,1.08,0.99,0.95,0.95,0.91,0.9,0.85,0.84,0.82,0.82,0.81,0.81,0.78,0.77,0.75,0.74,0.74,0.7,0.69,0.67,0.67,0.66,0.66,0.64,0.63,0.61,0.6,0.58,0.58,0.55,0.53,0.53,0.51,0.51,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.41,0.39,0.38,0.38,0.37,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,95.96
08/03/2022,8.16,6.26,3.35,3.11,2.2,1.61,1.61,1.39,1.5,1.28,1.34,1.27,1.17,1.12,1.3,1.07,1.16,1.07,1.1,1.06,0.9,0.84,0.95,0.86,0.91,1.01,0.88,0.88,0.8,0.83,0.8,0.73,0.79,0.79,0.74,0.72,0.63,0.67,0.57,0.57,0.69,0.7,0.57,0.53,0.53,0.85,0.58,0.56,0.48,0.66,0.52,0.5,0.51,0.48,0.45,0.49,0.43,0.47,0.53,0.43,0.43,0.41,0.46,0.41,0.4,0.39,0.36,0.4,0.37,0.0,0.37,0.36,0.38,0.32,0.34,0.32,0.36,0.34,0.34,0.28,0.33,0.35,0.28,0.29,0.29,0.26,0.27,0.26,0.26,0.24,0.27,0.3,0.25,0.23,0.28,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.23,0.19,0.2,0.22,0.23,0.22,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.18,0.2,0.18,0.2,0.17,0.19,0.19,0.17,0.17,0.16,0.18,0.19,0.13,0.19,0.19,0.18,0.18,0.15,0.16,0.16,0.16,0.16,0.14,0.16,0.17,0.14,0.15,0.13,0.15,0.14,0.15,0.12,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.13,0.14,0.14,0.0,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.12,0.11,0.14,0.12,0.11,0.1,0.1,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.12,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.0,0.09,0.09,0.0,0.1,0.34,0.09,0.09,0.09,0.09,96.11000000000001
