,IWF,RUSSELL 1000 GROWTH INDEX SWAP,GOLDMAN FINL SQ TRSRY INST 506,BANK OF NEW YORK CASH RESERVE,GOLDMAN FINL SQ TRSRY INS,RUSSELL 1000 VALUE INDEX SWAP,SUM
07/09/2021,93.53,55.01,2.13,1.79,0.06,-48.54,103.98
07/12/2021,93.67,55.07,2.12,4.27,0.06,-48.72,106.47000000000004
07/13/2021,93.67,55.07,2.12,4.27,0.06,-48.72,106.47000000000004
07/14/2021,93.67,55.07,2.12,4.27,0.06,-48.72,106.47000000000004
07/15/2021,93.74,55.13,2.12,4.27,0.06,-48.84,106.48000000000002
07/16/2021,93.48,54.95,2.12,4.26,0.06,-48.4,106.47
07/19/2021,93.78,54.84,1.86,3.75,0.05,-48.61,105.67000000000004
07/20/2021,93.72,54.82,1.87,3.78,0.05,-48.53,105.71
07/21/2021,93.72,54.82,1.87,3.78,0.05,-48.53,105.71
07/22/2021,93.36,54.59,1.89,4.46,0.05,-47.94,106.41
07/23/2021,93.42,54.63,1.86,4.4,0.05,-48.03,106.33000000000004
07/26/2021,93.06,54.44,1.83,4.32,0.05,-47.47,106.23000000000002
07/27/2021,92.7,54.23,1.79,4.24,0.05,-46.91,106.10000000000002
07/28/2021,92.7,54.23,1.79,4.24,0.05,-46.91,106.10000000000002
07/29/2021,92.83,54.32,1.8,4.25,0.05,-47.12,106.13000000000002
07/30/2021,93.28,54.56,1.82,5.59,0.05,-47.81,107.49000000000001
