,LIT,TSLA,NVDA,MSFT,n/a,MRNA,IIPR,LEN,MGP,HD,AAPL,SQ,BX,AMZN,ELY,PLD,GOOG,FLGT,NEE,DIS,CHWY,NKE,CCI,ZTS,MGM,SBUX,WOOF,PYPL,ILMN,ATVI,LOGN.SW,TMO,EA,TTWO,SEDG,SHOP,ASML,CRWD,DE,TGT,COIN,RBLX,SPWR,NFLX,FUV,1176.HK,PLLDA.AX,AXON,MSOS,SIVB,ATAI,U,PGNY,GGPI,SUM
08/20/2021,5.44,5.03,4.32,4.19,3.82,3.49,3.44,3.38,3.24,2.8,2.7,2.62,2.59,2.57,2.53,2.47,2.43,2.36,2.26,2.23,2.2,2.17,2.16,2.13,2.09,2.03,1.98,1.72,1.71,1.63,1.48,1.44,1.42,1.22,1.21,1.18,1.15,1.05,0.9,0.86,0.85,0.81,0.79,0.69,0.64,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,5.61,5.23,4.76,4.25,3.67,3.49,3.49,3.29,3.1,2.79,2.63,2.66,2.6,2.53,2.43,2.4,2.41,2.35,2.22,2.2,2.05,2.1,2.1,2.08,2.13,1.96,2.05,1.72,1.52,1.57,1.43,1.38,1.4,1.18,1.24,1.15,1.18,1.09,0.84,0.83,0.84,0.86,0.79,0.73,0.65,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/27/2021,5.08,5.22,4.7,4.2,3.72,3.09,3.51,3.36,2.93,2.75,2.62,2.65,2.63,2.55,2.49,2.34,2.66,2.32,2.2,2.06,2.13,2.1,2.06,2.05,2.19,1.95,2.11,1.72,1.52,1.56,1.41,1.61,1.39,1.06,1.23,1.19,1.49,1.17,1.0,0.82,1.06,0.89,0.78,0.73,0.69,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,5.01,5.2,4.79,4.17,3.68,3.15,3.49,3.35,3.0,2.74,2.59,2.58,2.73,2.57,2.46,2.35,2.67,2.38,2.21,2.04,2.08,2.07,2.04,2.05,2.26,1.95,2.09,1.7,1.5,1.55,1.39,1.62,1.39,1.04,1.24,1.17,1.51,1.23,1.04,0.82,1.02,0.86,0.77,0.73,0.66,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
08/31/2021,5.07,5.25,4.87,4.14,3.68,2.98,3.51,3.38,3.02,2.73,2.59,2.62,2.76,2.57,2.48,2.34,2.66,2.3,2.18,2.07,2.03,2.06,2.04,2.03,2.32,1.95,2.1,1.71,1.46,1.56,1.38,1.6,1.39,1.03,1.28,1.18,1.52,1.24,1.04,0.81,1.05,0.85,0.78,0.74,0.66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/01/2021,5.07,5.25,4.87,4.14,3.68,2.98,3.51,3.38,3.02,2.73,2.59,2.62,2.76,2.57,2.48,2.34,2.66,2.3,2.18,2.07,2.03,2.06,2.04,2.03,2.32,1.95,2.1,1.71,1.46,1.56,1.38,1.6,1.39,1.03,1.28,1.18,1.52,1.24,1.04,0.81,1.05,0.85,0.78,0.74,0.66,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,5.07,5.37,4.85,4.17,3.62,2.87,3.54,3.36,3.03,2.75,2.66,2.64,2.75,2.61,2.41,2.37,2.63,2.24,2.18,2.05,2.06,2.05,2.04,2.04,2.27,1.94,2.05,1.76,1.43,1.53,1.39,1.63,1.39,1.01,1.3,1.18,1.51,1.25,1.04,0.8,1.05,0.81,0.77,0.75,0.67,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/03/2021,5.07,5.37,4.85,4.17,3.62,2.87,3.54,3.36,3.03,2.75,2.66,2.64,2.75,2.61,2.41,2.37,2.63,2.24,2.18,2.05,2.06,2.05,2.04,2.04,2.27,1.94,2.05,1.76,1.43,1.53,1.39,1.63,1.39,1.01,1.3,1.18,1.51,1.25,1.04,0.8,1.05,0.81,0.77,0.75,0.67,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/06/2021,4.94,5.36,4.77,4.12,3.44,2.79,3.6,3.34,3.14,2.74,2.66,2.58,2.92,2.63,2.33,2.44,2.8,2.3,2.24,2.07,1.81,1.99,1.65,2.07,2.25,1.96,2.12,1.74,1.46,1.53,1.04,1.64,1.41,1.03,1.27,1.17,1.54,1.19,1.05,0.92,1.26,0.84,0.63,0.78,0.79,0.0,1.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/07/2021,4.85,5.35,4.85,4.11,1.0,2.91,3.63,3.27,3.16,2.76,2.66,2.61,2.92,2.64,2.34,2.45,2.81,2.29,2.21,2.05,1.75,1.98,1.65,2.07,2.25,1.95,2.09,1.75,1.45,1.52,1.05,1.64,1.41,1.02,1.24,1.18,1.53,1.21,1.06,0.91,1.31,0.82,0.62,0.78,0.76,0.0,0.0,0.65,3.49,0.0,0.0,0.0,0.0,0.0,100.01
09/08/2021,4.85,5.35,4.85,4.11,1.0,2.91,3.63,3.27,3.16,2.76,2.66,2.61,2.92,2.64,2.34,2.45,2.81,2.29,2.21,2.05,1.75,1.98,1.65,2.07,2.25,1.95,2.09,1.75,1.45,1.52,1.05,1.64,1.41,1.02,1.24,1.18,1.53,1.21,1.06,0.91,1.31,0.82,0.62,0.78,0.76,0.0,0.0,0.65,3.49,0.0,0.0,0.0,0.0,0.0,100.01
09/09/2021,4.85,5.35,4.85,4.11,1.0,2.91,3.63,3.27,3.16,2.76,2.66,2.61,2.92,2.64,2.34,2.45,2.81,2.29,2.21,2.05,1.75,1.98,1.65,2.07,2.25,1.95,2.09,1.75,1.45,1.52,1.05,1.64,1.41,1.02,1.24,1.18,1.53,1.21,1.06,0.91,1.31,0.82,0.62,0.78,0.76,0.0,0.0,0.65,3.49,0.0,0.0,0.0,0.0,0.0,100.01
09/10/2021,5.01,5.5,4.82,4.1,1.0,3.05,3.6,3.23,3.13,2.75,2.7,2.57,2.88,2.66,2.44,2.42,2.82,2.19,2.19,2.09,1.73,1.98,1.62,2.05,2.3,1.93,2.09,1.78,1.43,1.47,1.06,1.65,1.4,1.01,1.21,1.17,1.54,1.18,1.01,0.9,1.25,0.84,0.62,0.8,0.76,0.0,0.0,0.64,3.4,0.0,0.0,0.0,0.0,0.0,99.97
09/13/2021,5.04,5.56,4.76,4.1,1.01,3.22,3.55,3.13,3.0,2.8,2.68,2.45,2.96,2.67,2.41,2.39,2.84,2.24,2.24,2.13,1.76,2.0,1.61,2.05,2.28,2.0,2.2,1.76,1.44,1.48,1.04,1.66,1.39,1.01,1.21,1.15,1.54,1.17,1.0,0.92,1.21,0.86,0.62,0.8,0.77,0.0,0.0,0.64,3.26,0.0,0.0,0.0,0.0,0.0,100.01
09/14/2021,5.11,5.48,4.71,4.12,1.04,3.21,3.29,3.15,2.88,2.83,2.62,2.44,2.98,2.68,2.62,2.4,2.81,2.33,2.23,2.13,1.34,2.03,1.6,2.08,2.28,2.03,2.29,1.76,1.45,1.24,1.05,1.69,1.43,1.0,1.19,1.15,1.56,1.16,1.01,0.93,1.28,1.07,0.77,0.81,0.76,0.0,0.0,0.77,3.22,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/15/2021,5.11,5.48,4.71,4.12,1.04,3.21,3.29,3.15,2.88,2.83,2.62,2.44,2.98,2.68,2.62,2.4,2.81,2.33,2.23,2.13,1.34,2.03,1.6,2.08,2.28,2.03,2.29,1.76,1.45,1.24,1.05,1.69,1.43,1.0,1.19,1.15,1.56,1.16,1.01,0.93,1.28,1.07,0.77,0.81,0.76,0.0,0.0,0.77,3.22,0.0,0.0,0.0,0.0,0.0,100.01000000000002
09/17/2021,5.19,5.59,4.69,4.21,1.31,3.07,3.22,3.13,2.9,2.86,2.62,2.46,3.04,2.69,2.52,2.4,2.82,2.16,2.24,2.13,1.3,1.98,1.61,2.06,2.25,2.04,2.38,1.76,1.43,1.22,1.04,1.68,1.44,0.99,1.22,1.13,1.61,1.15,1.0,0.93,1.26,1.01,0.79,0.79,0.74,0.0,0.0,0.77,3.16,0.0,0.0,0.0,0.0,0.0,99.99
09/20/2021,5.03,5.62,4.64,4.23,1.8,2.83,3.04,3.15,2.61,2.85,2.61,2.51,3.11,2.69,2.85,2.37,2.81,2.13,2.2,2.11,1.01,1.94,1.6,2.03,2.22,1.94,2.53,1.74,1.42,1.23,1.02,1.65,1.33,0.98,1.2,1.14,1.9,1.17,0.99,0.93,1.25,0.99,0.93,0.79,0.74,0.0,0.0,0.77,3.37,0.0,0.0,0.0,0.0,0.0,100.0
09/21/2021,5.02,5.67,4.59,4.18,1.81,2.78,3.02,3.2,2.58,2.86,2.57,2.53,3.09,2.68,2.83,2.34,2.77,2.28,2.15,2.12,1.03,1.94,1.6,2.0,2.24,1.93,2.52,1.71,1.42,1.24,1.0,1.77,1.32,0.98,1.25,1.15,1.85,1.17,0.97,0.94,1.27,0.99,0.97,0.8,0.78,0.0,0.0,0.74,3.36,0.0,0.0,0.0,0.0,0.0,100.01
09/22/2021,5.02,5.67,4.59,4.18,1.81,2.78,3.02,3.2,2.58,2.86,2.57,2.53,3.09,2.68,2.83,2.34,2.77,2.28,2.15,2.12,1.03,1.94,1.6,2.0,2.24,1.93,2.52,1.71,1.42,1.24,1.0,1.77,1.32,0.98,1.25,1.15,1.85,1.17,0.97,0.94,1.27,0.99,0.97,0.8,0.78,0.0,0.0,0.74,3.36,0.0,0.0,0.0,0.0,0.0,100.01
09/23/2021,5.02,5.67,4.59,4.18,1.81,2.78,3.02,3.2,2.58,2.86,2.57,2.53,3.09,2.68,2.83,2.34,2.77,2.28,2.15,2.12,1.03,1.94,1.6,2.0,2.24,1.93,2.52,1.71,1.42,1.24,1.0,1.77,1.32,0.98,1.25,1.15,1.85,1.17,0.97,0.94,1.27,0.99,0.97,0.8,0.78,0.0,0.0,0.74,3.36,0.0,0.0,0.0,0.0,0.0,100.01
09/24/2021,4.96,5.64,4.55,4.2,1.85,2.86,3.09,3.16,2.63,2.91,2.58,2.54,3.02,2.65,2.83,2.36,2.79,2.28,2.2,2.03,1.04,1.96,1.63,2.07,2.23,1.95,2.52,1.71,1.41,1.16,1.02,1.81,1.28,0.96,1.23,1.14,1.87,1.16,0.96,0.94,1.26,0.99,0.93,0.8,0.74,0.0,0.0,0.77,3.35,0.0,0.0,0.0,0.0,0.0,100.01999999999998
10/18/2021,4.07,6.61,4.63,4.28,1.31,2.17,3.2,3.15,2.38,2.97,2.76,2.48,3.02,2.38,2.6,2.47,2.77,1.98,2.18,2.05,0.58,1.98,1.1,2.05,3.14,1.75,2.57,1.68,1.31,1.0,0.49,2.11,0.92,1.0,1.39,1.29,1.96,1.25,0.94,1.09,1.37,1.11,1.38,1.82,0.68,0.0,0.0,0.79,3.35,0.44,0.0,0.0,0.0,0.0,100.0
10/19/2021,4.1,6.77,4.63,4.28,1.36,2.11,3.13,3.1,2.37,3.01,2.76,2.49,3.03,2.45,2.56,2.48,2.76,1.96,2.17,2.06,0.58,1.98,1.08,2.06,3.09,1.74,2.53,1.68,1.31,1.0,0.48,2.12,0.91,1.0,1.35,1.3,1.97,1.23,0.94,1.1,1.47,1.14,1.38,1.79,0.67,0.0,0.0,0.78,3.29,0.44,0.0,0.0,0.0,0.0,99.99
10/20/2021,4.1,6.77,4.63,4.28,1.36,2.11,3.13,3.1,2.37,3.01,2.76,2.49,3.03,2.45,2.56,2.48,2.76,1.96,2.17,2.06,0.58,1.98,1.08,2.06,3.09,1.74,2.53,1.68,1.31,1.0,0.48,2.12,0.91,1.0,1.35,1.3,1.97,1.23,0.94,1.1,1.47,1.14,1.38,1.79,0.67,0.0,0.0,0.78,3.29,0.44,0.0,0.0,0.0,0.0,99.99
10/21/2021,4.16,6.9,4.64,4.26,1.34,2.15,3.11,3.15,2.36,3.01,2.76,2.48,3.01,2.44,2.57,2.5,2.75,1.99,2.12,1.97,0.6,1.97,1.06,2.03,3.06,1.74,2.63,1.67,1.29,0.99,0.48,2.11,0.9,0.99,1.36,1.31,1.94,1.27,0.93,1.12,1.51,1.14,1.35,1.79,0.67,0.0,0.0,0.79,3.17,0.44,0.0,0.0,0.0,0.0,99.98
10/22/2021,4.15,6.8,4.62,4.25,1.33,2.12,3.16,3.25,2.08,3.02,2.78,2.49,3.06,2.42,2.55,2.47,2.74,2.04,2.14,1.96,0.6,1.93,0.87,2.04,3.14,1.73,2.74,1.66,1.29,0.99,0.48,2.11,0.91,0.99,1.4,1.32,1.96,1.25,0.74,1.11,1.57,1.16,1.45,1.78,0.67,0.0,0.0,0.8,3.32,0.55,0.0,0.0,0.0,0.0,99.99
10/25/2021,4.07,6.94,4.64,4.23,1.45,2.13,3.25,3.25,2.05,3.03,2.75,2.56,3.16,2.38,2.52,2.54,2.69,2.06,2.15,1.94,0.58,1.96,0.88,2.05,3.14,1.72,2.74,1.47,1.27,1.0,0.47,2.14,0.92,1.03,1.35,1.32,1.9,1.24,0.73,1.1,1.52,1.2,1.44,1.8,0.65,0.0,0.0,0.78,3.26,0.55,0.0,0.0,0.0,0.0,100.0
10/26/2021,4.07,6.94,4.64,4.23,1.45,2.13,3.25,3.25,2.05,3.03,2.75,2.56,3.16,2.38,2.52,2.54,2.69,2.06,2.15,1.94,0.58,1.96,0.88,2.05,3.14,1.72,2.74,1.47,1.27,1.0,0.47,2.14,0.92,1.03,1.35,1.32,1.9,1.24,0.73,1.1,1.52,1.2,1.44,1.8,0.65,0.0,0.0,0.78,3.26,0.55,0.0,0.0,0.0,0.0,100.0
10/27/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
10/28/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
10/29/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
11/01/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
11/02/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
11/03/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
11/04/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
11/05/2021,4.07,7.09,4.66,4.22,1.46,2.06,3.3,3.23,2.06,3.05,2.75,2.45,3.29,2.32,2.5,2.53,2.62,2.04,2.18,1.92,0.58,1.98,0.89,2.05,3.15,1.73,2.75,1.46,1.27,1.01,0.47,2.16,0.93,1.03,1.33,1.26,1.94,1.24,0.73,1.11,1.52,1.21,1.43,1.84,0.62,0.0,0.0,0.78,3.17,0.58,0.0,0.0,0.0,0.0,100.02
11/08/2021,4.13,8.99,5.75,4.32,1.14,1.68,3.21,3.01,1.87,2.92,2.62,2.26,3.26,2.11,2.45,2.45,2.59,1.96,1.96,1.82,0.67,2.0,0.75,2.02,2.92,1.53,2.8,1.3,1.23,0.82,0.0,2.14,0.88,1.04,1.45,1.26,1.93,1.23,0.49,1.22,2.03,1.12,1.49,1.76,0.8,0.0,0.0,0.74,2.77,0.95,0.19,0.0,0.0,0.0,100.03
11/09/2021,4.08,8.96,5.76,4.33,1.19,1.4,3.3,3.11,1.91,2.9,2.64,2.17,3.22,2.15,2.51,2.43,2.61,1.78,1.99,1.88,0.63,2.03,0.75,2.02,3.12,1.61,2.82,1.29,1.19,0.82,0.0,2.07,0.87,1.01,1.43,1.25,1.93,1.21,0.5,1.19,1.99,1.06,1.49,1.7,0.78,0.0,0.0,0.74,3.04,0.94,0.19,0.0,0.0,0.0,99.99
11/10/2021,4.08,8.96,5.76,4.33,1.19,1.4,3.3,3.11,1.91,2.9,2.64,2.17,3.22,2.15,2.51,2.43,2.61,1.78,1.99,1.88,0.63,2.03,0.75,2.02,3.12,1.61,2.82,1.29,1.19,0.82,0.0,2.07,0.87,1.01,1.43,1.25,1.93,1.21,0.5,1.19,1.99,1.06,1.49,1.7,0.78,0.0,0.0,0.74,3.04,0.94,0.19,0.0,0.0,0.0,99.99
11/11/2021,4.08,8.96,5.76,4.33,1.19,1.4,3.3,3.11,1.91,2.9,2.64,2.17,3.22,2.15,2.51,2.43,2.61,1.78,1.99,1.88,0.63,2.03,0.75,2.02,3.12,1.61,2.82,1.29,1.19,0.82,0.0,2.07,0.87,1.01,1.43,1.25,1.93,1.21,0.5,1.19,1.99,1.06,1.49,1.7,0.78,0.0,0.0,0.74,3.04,0.94,0.19,0.0,0.0,0.0,99.99
11/12/2021,4.18,7.29,5.74,4.36,1.22,1.41,3.4,3.24,1.9,2.94,2.65,2.13,3.33,2.2,2.5,2.48,2.63,1.82,1.99,1.89,0.65,2.01,0.58,2.06,3.2,1.58,2.82,1.19,1.16,0.0,0.0,2.09,0.88,1.02,1.47,1.29,1.95,1.3,0.51,1.21,2.32,1.51,1.47,1.74,0.78,0.0,0.0,0.72,3.46,0.96,0.17,0.46,0.17,0.0,100.03000000000002
11/15/2021,4.14,7.73,5.6,4.36,1.49,1.39,3.34,3.21,1.91,2.97,2.64,2.13,3.23,2.18,2.59,2.53,2.62,1.87,2.03,1.91,0.62,1.97,0.58,2.06,3.17,1.59,2.78,1.2,1.15,0.0,0.0,2.15,0.89,1.01,1.46,1.24,1.9,1.27,0.51,1.22,2.16,1.33,1.47,1.75,0.76,0.0,0.0,0.7,3.41,0.96,0.17,0.48,0.17,0.0,100.0
