,CSL.AX,ASML.AS,7203.T,MC.PA,DGE.L,OR.PA,4502.T,7741.T,SAP.DE,1299.HK,PHIA.AS,6758.T,CBA.AX,HSBA.L,ALC.SW,TTE.PA,BHP.AX,2413.T,ALV.DE,ABI.BR,6098.T,SU.PA,SE,4543.T,6861.T,9984.T,RIO.L,BP.L,AI.PA,BN.PA,RDSA LN,DPW.DE,7974.T,ADYEN.AS,ABBN.SW,4578.T,BAS.DE,6594.T,RI.PA,4063.T,IBE.MC,388.HK,DAI.DE,RDSB LN,3382.T,ENEL.MI,BNP.PA,8306.T,8035.T,WBC.AX,6869.T,ADS.DE,DTE.DE,COLO B.CO,NAB.AX,SAN.MC,REL.L,SN.L,BHP.L,KER.PA,CFR SW,6367.T,SHL.DE,ZURN.SW,DG.PA,WOW.AX,ANZ.AX,UBSG.SW,7267.T,DSV.CO,AAL.L,9433.T,FME.DE,6981.T,CS.PA,AD.AS,EL.PA,RMS.PA,4452.T,IFX.DE,6954.T,INGA.AS,WES.AX,PRU.L,4507.T,4911.T,ISP.MI,NG.L,8316.T,GLEN.L,VWS.CO,8001.T,9983.T,ATCO A.ST,8058.T,HEIA.AS,LLOY.L,UCB.BR,EXPN.L,VOW3.DE,SHL.AX,6273.T,VOD.L,STLA.MI,VOLV B.ST,D05.SI,8267.T,BBVA.MC,TSCO.L,GIVN.SW,8031.T,INVE B.ST,FPH.NZ,AHT.L,CRH ID,MQG.AX,PRX.AS,FERG.L,ITX.MC,CPG.L,KNEBV.HE,BARC.L,VNA.DE,NDA SE.ST,2502.T,MUV2.DE,COH.AX,ASSA B.ST,O39.SI,8411.T,TEAM,TCL.AX,KRZ.IR,6902.T,9022.T,DSY FP,RIO.AX,LSEG.L,ERIC B.ST,6503.T,669.HK,6702.T,ESSITY B.ST,SAND.ST,BMW.DE,DB1.DE,4661.T,IMB.L,CLNX.MC,8766.T,AMS.MC,HEN3.DE,NOKIA.HE,CARL B.CO,4151.T,9020.T,6752.T,ENI.MI,HEXA B.ST,SPOT,FMG.AX,5108.T,8113.T,U11.SI,241.HK,6301.T,NESTE.HE,9432.T,COL.AX,6326.T,VIV.PA,FLTR ID,ORSTED.CO,2503.T,CASH,EVO.ST,7751.T,KBC.BR,MAERSK B.CO,RACE.MI,GMG.AX,2802.T,EOAN.DE,G.MI,SWMA.ST,UCG.MI,ENGI.PA,1.HK,STM IM,708.HK,4612.T,8591.T,SAMPO.HE,EQNR.OL,TEF.MC,6971.T,7309.T,SSE.L,LGEN.L,8801.T,DSY.PA,ATCOB SS,APT.AX,J36.SI,BT.A.L,AV.L,MT.AS,CCEP,823.HK,SEB A.ST,16.HK,ORA.PA,8802.T,RDSA.AS,RYDBF,RITN.,UG,CRH.L,DSYA.,FLTR.L,7342.T,STM.PA,ATCOB.ST,NIBE B.ST,n/a,REC.MI,CFR.SW,CRH.IR,ALL.AX,1925.T,7269.T,6645.T,9434.T,OCDO.L,6502.T,8750.T,KRX.IR,FLTR.IR,UMG.AS,RDSA.L,RDSB.L,CNHI.MI,6586.T,UMG NA,DNB.OL,ACA.PA,SUM
07/09/2021,2.16,2.01,1.62,1.42,1.32,1.24,1.24,1.19,1.09,1.05,0.99,0.94,0.9,0.82,0.8,0.77,0.76,0.73,0.72,0.7,0.7,0.69,0.69,0.68,0.67,0.64,0.61,0.59,0.58,0.57,0.56,0.55,0.54,0.54,0.53,0.52,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.06
07/12/2021,2.17,1.98,1.63,1.4,1.31,1.24,1.24,1.2,1.13,1.03,0.97,0.93,0.91,0.81,0.81,0.76,0.77,0.72,0.71,0.7,0.7,0.69,0.68,0.69,0.69,0.65,0.62,0.58,0.58,0.57,0.56,0.54,0.52,0.54,0.55,0.5,0.51,0.52,0.5,0.48,0.48,0.52,0.48,0.49,0.49,0.49,0.47,0.47,0.47,0.48,0.49,0.48,0.47,0.46,0.45,0.43,0.44,0.44,0.45,0.42,0.43,0.44,0.42,0.41,0.41,0.42,0.41,0.39,0.4,0.39,0.38,0.39,0.37,0.37,0.36,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.35,0.33,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.3,0.27,0.28,0.28,0.29,0.3,0.29,0.3,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.26,0.28,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.25,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03
07/13/2021,2.17,1.98,1.63,1.4,1.31,1.24,1.24,1.2,1.13,1.03,0.97,0.93,0.91,0.81,0.81,0.76,0.77,0.72,0.71,0.7,0.7,0.69,0.68,0.69,0.69,0.65,0.62,0.58,0.58,0.57,0.56,0.54,0.52,0.54,0.55,0.5,0.51,0.52,0.5,0.48,0.48,0.52,0.48,0.49,0.49,0.49,0.47,0.47,0.47,0.48,0.49,0.48,0.47,0.46,0.45,0.43,0.44,0.44,0.45,0.42,0.43,0.44,0.42,0.41,0.41,0.42,0.41,0.39,0.4,0.39,0.38,0.39,0.37,0.37,0.36,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.35,0.33,0.35,0.34,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.3,0.27,0.28,0.28,0.29,0.3,0.29,0.3,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.26,0.28,0.26,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.24,0.24,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.18,0.17,0.17,0.16,0.15,0.16,0.16,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.25,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03
07/14/2021,2.15,2.03,1.61,1.45,1.31,1.25,1.23,1.18,1.14,1.03,0.96,0.93,0.9,0.82,0.8,0.76,0.77,0.7,0.72,0.7,0.69,0.7,0.7,0.68,0.67,0.63,0.64,0.59,0.59,0.57,0.57,0.55,0.52,0.55,0.55,0.5,0.52,0.5,0.5,0.47,0.48,0.52,0.5,0.5,0.47,0.49,0.48,0.47,0.47,0.48,0.48,0.48,0.47,0.45,0.44,0.44,0.45,0.44,0.47,0.43,0.43,0.42,0.42,0.41,0.41,0.42,0.41,0.4,0.39,0.39,0.4,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.34,0.32,0.34,0.32,0.32,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.27,0.28,0.29,0.29,0.3,0.29,0.3,0.27,0.28,0.28,0.27,0.27,0.28,0.27,0.26,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.0,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.24,0.23,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.19,0.2,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.16,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.0,0.0,0.15,0.25,0.16,0.0,0.0,0.0,0.0,0.16,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.17
07/15/2021,2.15,2.04,1.62,1.44,1.31,1.25,1.23,1.18,1.13,1.02,0.97,0.95,0.9,0.81,0.8,0.76,0.78,0.71,0.71,0.68,0.7,0.7,0.69,0.67,0.69,0.65,0.64,0.58,0.59,0.56,0.56,0.55,0.52,0.55,0.55,0.5,0.52,0.51,0.5,0.48,0.49,0.53,0.49,0.49,0.48,0.5,0.48,0.46,0.47,0.48,0.48,0.48,0.47,0.46,0.44,0.44,0.45,0.43,0.46,0.43,0.44,0.43,0.42,0.41,0.41,0.41,0.41,0.39,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.34,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.34,0.32,0.34,0.32,0.32,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.32,0.31,0.3,0.3,0.29,0.3,0.27,0.28,0.28,0.29,0.3,0.29,0.3,0.27,0.29,0.27,0.27,0.27,0.28,0.27,0.25,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.0,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.22,0.21,0.22,0.22,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.22,0.19,0.2,0.19,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.16,0.0,0.15,0.15,0.25,0.16,0.0,0.0,0.15,0.15,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.18
07/16/2021,2.15,2.06,1.63,1.44,1.32,1.25,1.24,1.18,1.14,1.05,0.95,0.96,0.89,0.81,0.79,0.75,0.78,0.7,0.71,0.68,0.69,0.7,0.7,0.67,0.69,0.65,0.63,0.57,0.59,0.56,0.55,0.54,0.51,0.55,0.55,0.51,0.52,0.52,0.5,0.48,0.48,0.53,0.49,0.49,0.48,0.49,0.47,0.47,0.47,0.47,0.48,0.48,0.47,0.46,0.44,0.43,0.45,0.43,0.46,0.43,0.43,0.43,0.42,0.41,0.41,0.42,0.4,0.39,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.36,0.37,0.37,0.34,0.35,0.36,0.33,0.34,0.33,0.34,0.33,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.33,0.32,0.33,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.28,0.28,0.28,0.29,0.3,0.29,0.3,0.27,0.29,0.27,0.27,0.27,0.28,0.26,0.25,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.0,0.25,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.23,0.24,0.23,0.23,0.21,0.22,0.23,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.2,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.18,0.15,0.0,0.16,0.16,0.0,0.15,0.0,0.16,0.0,0.15,0.0,0.25,0.16,0.0,0.0,0.15,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.06
07/19/2021,2.13,2.08,1.64,1.44,1.33,1.25,1.27,1.18,1.14,1.05,0.96,0.96,0.89,0.81,0.78,0.74,0.79,0.68,0.71,0.68,0.7,0.7,0.68,0.66,0.68,0.65,0.64,0.56,0.59,0.56,0.54,0.54,0.52,0.56,0.55,0.52,0.52,0.52,0.51,0.48,0.48,0.53,0.5,0.48,0.48,0.49,0.48,0.47,0.47,0.47,0.48,0.48,0.47,0.46,0.44,0.44,0.45,0.42,0.47,0.44,0.44,0.44,0.42,0.41,0.4,0.42,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.34,0.35,0.35,0.34,0.35,0.34,0.35,0.33,0.33,0.33,0.32,0.34,0.3,0.32,0.32,0.33,0.32,0.33,0.32,0.3,0.32,0.31,0.31,0.3,0.29,0.28,0.3,0.28,0.28,0.28,0.29,0.3,0.29,0.3,0.28,0.29,0.27,0.27,0.28,0.27,0.25,0.25,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.23,0.0,0.26,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.24,0.23,0.23,0.21,0.22,0.23,0.21,0.2,0.2,0.21,0.21,0.22,0.2,0.23,0.18,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.18,0.0,0.0,0.16,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.26,0.16,0.0,0.0,0.15,0.15,0.16,0.16,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.20000000000002
07/20/2021,2.13,2.08,1.64,1.44,1.33,1.25,1.27,1.18,1.14,1.05,0.96,0.96,0.89,0.81,0.78,0.74,0.79,0.68,0.71,0.68,0.7,0.7,0.68,0.66,0.68,0.65,0.64,0.56,0.59,0.56,0.54,0.54,0.52,0.56,0.55,0.52,0.52,0.52,0.51,0.48,0.48,0.53,0.5,0.48,0.48,0.49,0.48,0.47,0.47,0.47,0.48,0.48,0.47,0.46,0.44,0.44,0.45,0.42,0.47,0.44,0.44,0.44,0.42,0.41,0.4,0.42,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.34,0.35,0.35,0.34,0.35,0.34,0.35,0.33,0.33,0.33,0.32,0.34,0.3,0.32,0.32,0.33,0.32,0.33,0.32,0.3,0.32,0.31,0.31,0.3,0.29,0.28,0.3,0.28,0.28,0.28,0.29,0.3,0.29,0.3,0.28,0.29,0.27,0.27,0.28,0.27,0.25,0.25,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.23,0.26,0.26,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.22,0.22,0.24,0.23,0.23,0.21,0.22,0.23,0.21,0.2,0.2,0.21,0.21,0.22,0.2,0.23,0.18,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.18,0.0,0.0,0.16,0.16,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.15,0.15,0.16,0.16,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.20000000000002
07/21/2021,2.15,2.05,1.66,1.43,1.34,1.26,1.26,1.16,1.14,1.05,0.96,0.94,0.89,0.8,0.79,0.74,0.8,0.69,0.71,0.69,0.7,0.69,0.68,0.66,0.69,0.65,0.62,0.55,0.59,0.56,0.54,0.55,0.52,0.57,0.55,0.52,0.52,0.52,0.51,0.48,0.49,0.56,0.49,0.48,0.48,0.49,0.47,0.47,0.47,0.47,0.48,0.47,0.48,0.47,0.44,0.43,0.46,0.42,0.46,0.43,0.44,0.44,0.42,0.41,0.4,0.42,0.4,0.4,0.4,0.4,0.38,0.39,0.38,0.37,0.37,0.37,0.37,0.37,0.35,0.34,0.35,0.33,0.35,0.34,0.34,0.32,0.33,0.34,0.33,0.33,0.3,0.32,0.31,0.34,0.32,0.33,0.31,0.3,0.32,0.31,0.31,0.3,0.29,0.28,0.3,0.28,0.28,0.28,0.29,0.3,0.29,0.31,0.28,0.29,0.27,0.27,0.28,0.27,0.26,0.25,0.27,0.26,0.27,0.26,0.26,0.26,0.27,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.23,0.0,0.25,0.23,0.22,0.24,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.24,0.23,0.23,0.21,0.22,0.23,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.23,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.19,0.17,0.17,0.16,0.18,0.17,0.18,0.0,0.0,0.16,0.16,0.15,0.0,0.0,0.16,0.0,0.15,0.0,0.26,0.16,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.15,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.13000000000001
07/22/2021,2.21,2.04,1.67,1.42,1.32,1.28,1.3,1.18,1.14,1.04,0.98,0.95,0.9,0.78,0.8,0.72,0.78,0.7,0.7,0.67,0.71,0.69,0.7,0.66,0.68,0.65,0.61,0.53,0.59,0.57,0.52,0.55,0.52,0.57,0.54,0.53,0.51,0.52,0.51,0.48,0.49,0.57,0.48,0.46,0.49,0.48,0.46,0.47,0.47,0.47,0.49,0.47,0.47,0.48,0.44,0.42,0.45,0.41,0.45,0.43,0.43,0.45,0.42,0.41,0.39,0.42,0.4,0.39,0.4,0.39,0.37,0.4,0.38,0.37,0.36,0.37,0.36,0.37,0.35,0.34,0.35,0.33,0.35,0.33,0.35,0.33,0.32,0.34,0.33,0.32,0.31,0.33,0.31,0.34,0.33,0.32,0.3,0.31,0.32,0.3,0.32,0.3,0.29,0.27,0.29,0.28,0.29,0.27,0.29,0.31,0.29,0.3,0.29,0.29,0.27,0.27,0.28,0.27,0.25,0.24,0.27,0.25,0.27,0.26,0.26,0.25,0.27,0.26,0.25,0.26,0.25,0.25,0.25,0.24,0.23,0.26,0.25,0.23,0.22,0.24,0.25,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.23,0.24,0.2,0.22,0.23,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.23,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.2,0.19,0.17,0.19,0.19,0.19,0.18,0.19,0.18,0.17,0.18,0.19,0.18,0.19,0.17,0.17,0.16,0.17,0.17,0.17,0.0,0.15,0.16,0.16,0.15,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.03
