,7203.T,TSLA,GM,DAI.DE,VOW3.DE,BYD Company Limited (Class H),175.HK,7201.T,7267.T,Subaru Corp.,000270.KS,F,7269.T,005380.KS,BMW.DE,PAH3.DE,Great Wall Motor Company Limited (Class H),RNO.PA,7261.T,FSR,1114.HK,"Guangzhou Automobile Group Co., Ltd. (Class H)",1585.HK,489.HK,7211.T,Aston Martin Lagonda Global Holdings Plc,C07.SI,RIDE,GOEV,"Chongqing Changan Automobile Co., Ltd. (Class B)",2201.TW,China Motor Corporation,1958.HK,7222.T,US Dollar,BY6.,2333.HK,7270.T,2238.HK,AML.L,018000.KQ,200625.SZ,2204.TW,n/a,688101.SS,688001.SS,SUM
07/09/2021,8.31,8.25,7.58,7.27,6.81,4.85,4.8,4.27,4.15,4.08,3.99,3.9,3.89,3.86,3.77,3.68,3.65,2.92,2.11,1.04,0.88,0.87,0.8,0.7,0.68,0.62,0.56,0.37,0.35,0.28,0.27,0.25,0.24,0.09,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,8.26,8.26,7.79,7.3,7.12,4.71,4.7,4.17,4.02,3.9,3.82,3.92,3.78,3.65,3.85,3.83,3.98,2.93,2.03,0.98,0.89,0.99,0.84,0.7,0.68,0.64,0.55,0.35,0.34,0.29,0.27,0.25,0.25,0.09,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,8.26,8.26,7.79,7.3,7.12,4.71,4.7,4.17,4.02,3.9,3.82,3.92,3.78,3.65,3.85,3.83,3.98,2.93,2.03,0.98,0.89,0.99,0.84,0.7,0.68,0.64,0.55,0.35,0.34,0.29,0.27,0.25,0.25,0.09,-0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,8.28,8.48,7.39,7.4,6.75,5.11,5.07,4.5,4.01,3.87,3.64,3.7,3.59,3.46,3.62,3.69,5.21,2.75,2.05,0.92,0.65,0.85,0.65,0.68,0.67,0.64,0.52,0.24,0.3,0.24,0.25,0.21,0.22,0.09,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/04/2021,8.28,8.48,7.39,7.4,6.75,5.11,5.07,4.5,4.01,3.87,3.64,3.7,3.59,3.46,3.62,3.69,5.21,2.75,2.05,0.92,0.65,0.85,0.65,0.68,0.67,0.64,0.52,0.24,0.3,0.24,0.25,0.21,0.22,0.09,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/05/2021,8.36,8.62,7.3,7.39,6.63,5.44,5.14,4.43,4.06,3.9,3.63,3.63,3.59,3.43,3.59,3.62,5.19,2.77,1.91,0.89,0.63,0.86,0.66,0.69,0.65,0.64,0.52,0.24,0.29,0.25,0.25,0.21,0.22,0.09,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,8.22,8.78,7.0,7.24,6.66,0.0,5.55,4.37,4.04,0.0,3.68,3.63,3.89,3.39,3.51,3.6,0.0,2.83,1.9,0.85,0.4,0.0,0.71,0.71,0.65,0.0,0.5,0.22,0.28,0.0,0.24,0.0,0.23,0.08,0.0,5.82,4.83,3.85,0.91,0.67,0.27,0.26,0.22,0.0,0.0,0.0,99.99
08/17/2021,8.34,8.77,6.91,7.32,6.71,0.0,5.49,4.37,4.07,0.0,3.61,3.57,3.93,3.35,3.53,3.61,0.0,2.85,1.93,0.81,0.38,0.0,0.72,0.72,0.66,0.0,0.5,0.21,0.26,0.0,0.24,0.0,0.23,0.09,0.0,5.79,4.77,3.94,0.9,0.68,0.28,0.26,0.22,0.0,0.0,0.0,100.02
08/18/2021,8.34,8.77,6.91,7.32,6.71,0.0,5.49,4.37,4.07,0.0,3.61,3.57,3.93,3.35,3.53,3.61,0.0,2.85,1.93,0.81,0.38,0.0,0.72,0.72,0.66,0.0,0.5,0.21,0.26,0.0,0.24,0.0,0.23,0.09,0.0,5.79,4.77,3.94,0.9,0.68,0.28,0.26,0.22,0.0,0.0,0.0,100.02
08/20/2021,8.59,8.57,6.85,7.37,6.76,0.0,5.2,4.32,4.18,0.0,3.69,3.6,3.94,3.45,3.57,3.6,0.0,2.87,1.94,0.83,0.37,0.0,0.71,0.73,0.66,0.0,0.52,0.22,0.25,0.0,0.24,0.0,0.22,0.09,0.0,5.63,4.61,4.01,0.92,0.69,0.3,0.27,0.22,0.0,0.0,0.0,99.99
