,OGZD.L,SBRCY,LUKOY,NILSY,NVTK.L,ATAD.L,TCS.L,OJS1.,YNDX,POLY.L,PLZL.L,5M71.,EVR.L,SGN.,ALRS.ME,SVST.L,MBT,FIVE.L,OZON,TRNFP.ME,N7MG.,MOEX.ME,MAIL.L,PHOR.L,IRAO.ME,KYM1.,VEON,RTKM.ME,HOLM B.ST,HOLM B.ST.1,HOLM B.ST.2,GVMXX,IESK,SUM
07/09/2021,8.17,7.71,7.25,6.11,6.09,5.64,5.42,5.13,4.71,4.23,3.97,3.15,2.83,2.78,2.7,2.59,2.59,2.45,2.43,2.32,2.23,1.93,1.72,1.51,1.42,1.27,0.99,0.93,0.0,0.0,-0.25,0.0,0.0,100.02
08/31/2021,8.09,7.7,7.24,6.14,5.95,5.61,5.46,5.21,4.7,4.16,3.97,3.2,2.78,2.79,2.9,2.61,2.5,2.45,2.47,2.32,2.26,1.94,1.73,1.53,1.43,1.3,0.88,0.92,0.0,0.0,0.0,2.42,0.0,102.66
09/01/2021,8.09,7.7,7.24,6.14,5.95,5.61,5.46,5.21,4.7,4.16,3.97,3.2,2.78,2.79,2.9,2.61,2.5,2.45,2.47,2.32,2.26,1.94,1.73,1.53,1.43,1.3,0.88,0.92,0.0,0.0,0.0,2.42,0.0,102.66
09/02/2021,8.09,7.7,7.24,6.14,5.95,5.61,5.46,5.21,4.7,4.16,3.97,3.2,2.78,2.79,2.9,2.61,2.5,2.45,2.47,2.32,2.26,1.94,1.73,1.53,1.43,1.3,0.88,0.92,0.0,0.0,0.0,2.42,0.0,102.66
