,ACN,UNP,UPS,HON,CAT,CARR,RTX,MMM,TT,FDX,PH,CMI,CSX,URI,NSC,DE,PCAR,DHI,INFO,ADP,SWK,GE,BA,AME,ROK,ITW,ETN,WM,PAYX,EMR,NOC,LMT,KSU,LEN,ODFL,JCI,OTIS,RSG,FAST,TDG,CTAS,GD,CDW,DOV,EXPD,GNRC,VRSK,GWW,FTV,NVR,XYL,ROP,JBHT,J,APTV,BR,LHX,POOL,IR,TXT,CBI.MI,IEX,PHM,XPO,ENPH,TDY,LDOS,PWR,SNA,MAS,WAB,GGG,CHRW,PNR,BWA,RHI,HUBB,CSL,MIDD,OSK,TTC,NDSN,LEA,ACM,ITT,LEG,ARMK,HII,ARW,TREX,LII,LECO,HWM,AOS,RUN,AGCO,EME,DCI,LUV,BKI,G,GNTX,ALV,WSO,MAN,MHK,LSTR,HEI.A,WWD,CACI,TOL,AXON,UHAL,BLDR,IAA,KNX,SRCL,BLD,UAL,TKR,VNT,TTEK,DAL,MTZ,BWXT,MMS,RXN,AL,WSC,MSA,RBC,SAIC,TNET,HEI,CFX,WMS,SPCE,SAIA,GLOB,AAL,ALK,EXPO,ADT,SHLS,LEN.B,JBLU,CBI.MI.1,7839989D1010,SUM
07/09/2021,2.52,2.07,1.89,1.86,1.84,1.78,1.72,1.69,1.61,1.6,1.59,1.57,1.48,1.46,1.43,1.41,1.38,1.37,1.35,1.35,1.33,1.32,1.32,1.31,1.31,1.28,1.27,1.26,1.25,1.25,1.22,1.19,1.06,1.04,1.03,1.02,1.0,0.99,0.98,0.96,0.94,0.93,0.91,0.87,0.86,0.85,0.81,0.78,0.76,0.76,0.75,0.73,0.71,0.71,0.7,0.69,0.68,0.67,0.66,0.66,0.65,0.65,0.64,0.63,0.62,0.59,0.57,0.56,0.55,0.54,0.53,0.53,0.51,0.47,0.47,0.47,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.42,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.16,0.16,0.15,0.14,0.14,0.12,0.11,0.1,0.1,0.06,0.04,0.04,0.0,0.0,99.95
10/04/2021,2.68,2.02,1.72,1.98,1.73,2.02,1.72,1.66,1.75,1.5,1.6,1.47,1.48,1.47,1.37,1.42,1.26,1.42,1.37,1.42,1.26,1.3,1.23,1.33,1.38,1.27,1.34,1.3,1.3,1.29,1.17,1.15,0.98,1.09,1.05,1.06,1.08,1.06,1.01,0.91,0.95,0.94,0.95,0.96,0.86,0.85,0.86,0.76,0.78,0.82,0.78,0.75,0.72,0.7,0.75,0.74,0.69,0.67,0.65,0.66,0.0,0.66,0.63,0.61,0.61,0.63,0.58,0.55,0.54,0.54,0.54,0.54,0.48,0.51,0.47,0.51,0.48,0.48,0.48,0.43,0.46,0.46,0.42,0.41,0.43,0.37,0.37,0.37,0.39,0.36,0.37,0.38,0.35,0.35,0.33,0.36,0.34,0.35,0.32,0.35,0.35,0.33,0.32,0.3,0.3,0.32,0.28,0.27,0.27,0.29,0.27,0.29,0.3,0.25,0.28,0.27,0.23,0.26,0.2,0.22,0.22,0.23,0.2,0.2,0.2,0.21,0.23,0.19,0.2,0.19,0.21,0.17,0.2,0.16,0.15,0.16,0.08,0.14,0.14,0.11,0.1,0.13,0.1,0.05,0.04,0.03,0.0,0.36,100.27000000000001
