,2SPY  220630C00003420,2SPY  220630P00428060,Cash&Other,2SPY  220630C00461450,2SPY  220630P00363850,SUM
07/09/2021,98.49,6.94,0.79,-3.04,-3.19,99.99
07/12/2021,99.05,6.72,0.79,-3.42,-3.14,100.0
07/13/2021,99.05,6.72,0.79,-3.42,-3.14,100.0
07/14/2021,99.05,6.72,0.79,-3.42,-3.14,100.0
07/15/2021,98.93,6.7,0.79,-3.43,-2.99,100.0
07/16/2021,99.09,6.83,0.79,-3.48,-3.23,100.0
07/19/2021,98.96,6.97,0.78,-3.41,-3.31,99.99
07/20/2021,98.29,7.41,0.77,-3.04,-3.43,100.0
07/21/2021,98.29,7.41,0.77,-3.04,-3.43,100.0
07/22/2021,97.55,8.24,0.76,-2.65,-3.9,100.0
07/23/2021,98.46,7.39,0.76,-3.08,-3.53,100.0
07/26/2021,98.98,6.88,0.75,-3.34,-3.28,99.99
07/27/2021,99.55,6.46,0.76,-3.74,-3.04,99.99
07/28/2021,99.55,6.46,0.76,-3.74,-3.04,99.99
07/29/2021,99.89,6.39,0.76,-4.01,-3.03,100.0
07/30/2021,99.51,6.7,0.76,-3.77,-3.2,100.00000000000001
