,FMG.AX,303.HK,6.HK,MIN.AX,SPK.NZ,8.HK,JBH.AX,MFG.AX,AST.AX,683.HK,12.HK,535.HK,1038.HK,1808.T,17.HK,RIO.AX,PPT.AX,8725.T,83.HK,2388.HK,1113.HK,8316.T,1.HK,5857.T,8411.T,8308.T,8306.T,7167.T,8058.T,6703.T,Z74.SI,8591.T,8053.T,9503.T,H78.SI,8593.T,14.HK,8309.T,19.HK,5019.T,8354.T,1861.T,2768.T,16.HK,11.HK,9513.T,665.HK,9506.T,1972.HK,2588.HK,HKD,XTSLA,JPY,SGD,AUD,NZD,SGAFT,SGAFT.1,MARGIN_AUD,TMIU1,QZN1,SUM
07/09/2021,4.62,2.89,2.84,2.73,2.7,2.65,2.49,2.47,2.37,2.35,2.33,2.26,2.26,2.2,2.1,2.08,2.07,2.07,2.07,2.07,1.99,1.97,1.96,1.92,1.9,1.86,1.81,1.75,1.75,1.74,1.74,1.72,1.7,1.68,1.67,1.64,1.64,1.61,1.61,1.61,1.59,1.58,1.58,1.55,1.54,1.46,1.46,1.39,1.34,1.31,0.22,0.04,0.04,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.0,100.06
07/14/2021,4.81,2.96,2.84,2.8,2.78,2.68,2.47,2.4,2.41,2.32,2.36,2.25,2.23,2.17,2.0,2.11,2.09,2.06,2.13,2.05,1.97,1.93,1.92,1.92,1.91,1.83,1.81,1.79,1.76,1.75,1.74,1.72,1.69,1.7,1.69,1.64,1.66,1.59,1.61,1.56,1.57,1.6,1.59,1.56,1.53,1.5,1.43,1.43,1.32,1.26,0.03,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
