,JNJ,LLY,PFE,ABBV,MRK,MRNA,BMY,GILD,AMGN,REGN,VRTX,BIIB,ZTS,ALXN,ALNY,SGEN,HZNP,BMRN,XTSLA,NVAX,JAZZ,NVCR,NBIX,IQV,NTLA,VTRS,UTHR,XLRN,INCY,MRTX,CTLT,CRL,DNLI,BAX,FATE,HALO,EXAS,ELAN,BBIO,DXCM,ARWR,BHC.TO,EXEL,IONS,SRPT,RARE,BPMC,RGEN,APLS,ARNA,GH,AGIO,TXG,ALKS,IOVA,RETA,TGTX,OGN,NKTR,RMD,BCRX,INSM,PRGO,BHVN,COO,SAGE,ACAD,ITCI,TPTX,EDIT,ALEC,KOD,BLUE,OLED,FOLD,BEAM,ALLK,PTCT,VIR,SYNH,LGND,DRNA,AXSM,ICLR,KRTX,GBT,RVNC,ABT,EBS,ADPT,PRTA,SRNE,CORT,NTRA,ABC,FGEN,PODD,PCRX,NVRO,ALLO,IDXX,GKOS,INSP,PTGX,XNCR,INO,DCPH,IRWD,MGNX,ISRG,ARVN,RCUS,MEDP,SGMO,USD,CDNA,TBIO,SUPN,LNTH,KURA,ATRA,PEN,BIO,IART,RCKT,HRTX,MCRB,IMGN,RGNX,ZGNX,VCEL,MRSN,VNDA,RUBY,CDXS,ICUI,REPL,CHRS,CYTK,OCUL,MYGN,NSTG,RDUS,INVA,CERS,PBH,HAE,KDMN,RYTM,RIGL,OPK,CNST,SRRK,MDGL,SNDX,CRTX,KPTI,YMAB,KRYS,ESPR,COLL,EGRX,IDCC,ICPT,ENDP,STOK,AMPH,ATRS,TBPH,AMRX,OMER,CLDX,ARCT,ENTA,AERI,ALBO,CCXI,EPZM,AKBA,CRNX,TVTX,ARDX,MEIP,BTAI,AGLE,GTHX,CUE,AGEN,GOSS,RLMD,ACRS,VXRT,DVAX,CARA,PBYI,PGEN,FIXX,KALA,AXGN,FREQ,ANAB,CLVS,SYRS,FLXN,ATNX,PRVB,MTEM,127.HK,CPRX,ANIK,SPPI,VKTX,KNSA,ZIOP,XENT,CBAY,ATHX,AZN,APLT,n/a,PIRS,URGN,LXRX,BISXX,ANIP,TSVTV,CTMX,SUM
07/09/2021,9.54,5.86,5.84,5.83,5.75,5.18,4.61,4.37,4.11,3.64,2.97,2.89,2.51,1.85,1.37,1.28,1.25,0.96,0.83,0.74,0.7,0.65,0.63,0.59,0.53,0.53,0.5,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.37,0.37,0.37,0.36,0.35,0.35,0.34,0.33,0.31,0.28,0.26,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4
07/12/2021,9.62,5.92,5.85,5.87,5.77,5.18,4.62,4.33,4.13,3.61,2.95,3.09,2.55,1.84,1.36,1.25,1.22,0.94,0.89,0.66,0.7,0.67,0.64,0.58,0.54,0.51,0.49,0.45,0.46,0.47,0.46,0.46,0.43,0.44,0.42,0.41,0.39,0.41,0.41,0.41,0.41,0.36,0.36,0.37,0.36,0.36,0.35,0.34,0.31,0.31,0.28,0.26,0.25,0.24,0.24,0.25,0.24,0.22,0.23,0.23,0.22,0.21,0.21,0.24,0.21,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.12,0.12,0.1,0.09,0.04,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.06,0.05,0.05,0.05,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.02,0.0,0.0,0.02,0.02,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.44
07/13/2021,9.62,5.92,5.85,5.87,5.77,5.18,4.62,4.33,4.13,3.61,2.95,3.09,2.55,1.84,1.36,1.25,1.22,0.94,0.89,0.66,0.7,0.67,0.64,0.58,0.54,0.51,0.49,0.45,0.46,0.47,0.46,0.46,0.43,0.44,0.42,0.41,0.39,0.41,0.41,0.41,0.41,0.36,0.36,0.37,0.36,0.36,0.35,0.34,0.31,0.31,0.28,0.26,0.25,0.24,0.24,0.25,0.24,0.22,0.23,0.23,0.22,0.21,0.21,0.24,0.21,0.2,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.15,0.16,0.17,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.11,0.12,0.12,0.1,0.09,0.04,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.06,0.05,0.05,0.05,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.02,0.0,0.0,0.02,0.02,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.44
07/14/2021,9.62,5.84,5.88,5.85,5.73,5.15,4.63,4.35,4.12,3.62,2.94,2.99,2.55,1.84,1.38,1.24,1.24,0.94,0.88,0.65,0.7,0.67,0.64,0.59,0.54,0.53,0.5,0.45,0.47,0.48,0.46,0.46,0.42,0.43,0.44,0.41,0.4,0.41,0.41,0.4,0.42,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.32,0.31,0.28,0.27,0.25,0.24,0.25,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.24,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.18,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.1,0.1,0.04,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.02,0.0,0.0,0.02,0.02,0.03,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.46
07/15/2021,9.62,5.84,5.88,5.85,5.73,5.15,4.63,4.35,4.12,3.62,2.94,2.99,2.55,1.84,1.38,1.24,1.24,0.94,0.88,0.65,0.7,0.67,0.64,0.59,0.54,0.53,0.5,0.45,0.47,0.48,0.46,0.46,0.42,0.43,0.44,0.41,0.4,0.41,0.41,0.4,0.42,0.37,0.36,0.37,0.36,0.35,0.35,0.34,0.32,0.31,0.28,0.27,0.25,0.24,0.25,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.21,0.24,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.18,0.15,0.16,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.1,0.1,0.04,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.02,0.0,0.0,0.02,0.02,0.03,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.46
07/16/2021,9.67,5.89,5.93,5.97,5.75,5.25,4.69,4.37,4.15,3.63,2.96,2.96,2.59,1.87,1.38,1.21,1.26,0.93,0.89,0.64,0.7,0.66,0.63,0.59,0.51,0.52,0.49,0.44,0.46,0.49,0.47,0.46,0.39,0.44,0.4,0.41,0.39,0.41,0.4,0.41,0.4,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.31,0.3,0.28,0.26,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.21,0.22,0.21,0.25,0.21,0.2,0.19,0.18,0.19,0.16,0.17,0.18,0.16,0.17,0.17,0.13,0.15,0.16,0.14,0.14,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.11,0.12,0.12,0.1,0.09,0.04,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.06,0.06,0.04,0.06,0.05,0.05,0.05,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.0,0.03,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.02,0.02,0.0,0.02,0.02,0.03,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.48
07/19/2021,9.66,5.82,6.02,5.96,5.8,5.82,4.71,4.41,4.2,3.73,3.0,2.77,2.62,1.82,1.36,1.22,1.25,0.91,0.89,0.63,0.69,0.64,0.61,0.58,0.49,0.52,0.5,0.44,0.46,0.46,0.45,0.46,0.38,0.44,0.38,0.39,0.38,0.41,0.38,0.41,0.4,0.36,0.36,0.34,0.34,0.33,0.33,0.33,0.3,0.29,0.26,0.26,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.23,0.21,0.21,0.21,0.25,0.2,0.18,0.18,0.17,0.17,0.16,0.15,0.17,0.16,0.17,0.17,0.13,0.15,0.16,0.14,0.14,0.14,0.15,0.13,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.08,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.12,0.1,0.09,0.16,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.0,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.02,0.0,0.02,0.02,0.03,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.51
07/20/2021,9.66,5.82,6.02,5.96,5.8,5.82,4.71,4.41,4.2,3.73,3.0,2.77,2.62,1.82,1.36,1.22,1.25,0.91,0.89,0.63,0.69,0.64,0.61,0.58,0.49,0.52,0.5,0.44,0.46,0.46,0.45,0.46,0.38,0.44,0.38,0.39,0.38,0.41,0.38,0.41,0.4,0.36,0.36,0.34,0.34,0.33,0.33,0.33,0.3,0.29,0.26,0.26,0.23,0.23,0.22,0.23,0.23,0.22,0.23,0.23,0.21,0.21,0.21,0.25,0.2,0.18,0.18,0.17,0.17,0.16,0.15,0.17,0.16,0.17,0.17,0.13,0.15,0.16,0.14,0.14,0.14,0.15,0.13,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.11,0.12,0.08,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.12,0.1,0.09,0.16,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.0,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.06,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.02,0.0,0.02,0.02,0.03,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.51
07/21/2021,9.58,5.81,6.02,5.93,5.76,6.37,4.67,4.4,4.19,3.66,3.02,2.72,2.59,1.81,1.4,1.23,1.23,0.9,0.89,0.65,0.67,0.64,0.62,0.58,0.48,0.51,0.5,0.44,0.45,0.47,0.45,0.46,0.38,0.44,0.38,0.38,0.38,0.4,0.38,0.41,0.4,0.35,0.34,0.35,0.33,0.33,0.34,0.33,0.3,0.29,0.27,0.26,0.23,0.23,0.21,0.23,0.23,0.21,0.22,0.23,0.21,0.21,0.21,0.26,0.2,0.18,0.19,0.16,0.17,0.16,0.15,0.17,0.15,0.16,0.17,0.13,0.16,0.16,0.14,0.14,0.14,0.15,0.12,0.15,0.13,0.14,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.08,0.12,0.12,0.12,0.11,0.12,0.08,0.12,0.12,0.11,0.11,0.11,0.11,0.09,0.11,0.11,0.12,0.1,0.09,0.0,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.0,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.55000000000004
07/22/2021,9.5,5.84,5.98,5.82,5.69,6.97,4.6,4.37,4.17,3.67,2.97,2.72,2.56,1.8,1.38,1.21,1.21,0.89,0.94,0.73,0.66,0.64,0.61,0.57,0.49,0.51,0.49,0.45,0.44,0.47,0.45,0.45,0.38,0.43,0.39,0.38,0.39,0.4,0.36,0.4,0.42,0.34,0.33,0.34,0.32,0.32,0.34,0.33,0.31,0.28,0.27,0.26,0.23,0.22,0.22,0.22,0.23,0.21,0.22,0.23,0.21,0.2,0.2,0.25,0.2,0.17,0.18,0.16,0.17,0.16,0.14,0.17,0.15,0.16,0.17,0.13,0.15,0.16,0.15,0.14,0.15,0.15,0.13,0.15,0.14,0.13,0.13,0.14,0.15,0.13,0.13,0.12,0.13,0.12,0.13,0.07,0.12,0.12,0.12,0.11,0.12,0.08,0.11,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.12,0.1,0.09,0.1,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.08,0.06,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.05,0.06,0.05,0.05,0.06,0.05,0.06,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.0,0.06,0.05,0.04,0.05,0.05,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.0,0.0,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.56000000000002
