,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,TSLA,JNJ,NVDA,UNH,V,HD,PG,DIS,BAC,MA,PYPL,CMCSA,XOM,ADBE,VZ,INTC,CSCO,NFLX,CRM,PFE,KO,T,ABT,PEP,CVX,ABBV,WMT,WFC,AVGO,MRK,TMO,ACN,TXN,MCD,NKE,MDT,COST,C,DHR,HON,LLY,LIN,UPS,QCOM,UNP,PM,BMY,ORCL,NEE,LOW,AMGN,MS,BA,RTX,SBUX,CAT,IBM,GS,AMAT,BLK,GE,INTU,MMM,AMT,TGT,CVS,DE,S+p500 Emini Fut Jun21 Xcme 20210618,SCHW,AXP,ISRG,CHTR,ANTM,AMD,BKNG,LMT,MU,NOW,LRCX,FIS,MO,SPGI,CI,MDLZ,PLD,ZTS,ADP,SYK,TFC,USB,GILD,TMUS,PNC,CCI,TJX,SSJXX,CME,DUK,FDX,CB,CSX,COP,ATVI,GM,COF,CL,NSC,EL,MMC,BDX,FISV,SHW,SO,ITW,APD,EQIX,ICE,ADSK,FCX,D,ADI,BSX,EW,ILMN,NEM,NXPI,PGR,ETN,EMR,AON,GPN,HCA,F,NOC,HUM,WM,VRTX,MCO,ECL,REGN,DOW,DG,MET,KLAC,JCI,IDXX,ROP,EOG,TWTR,IQV,AIG,DD,ROST,TEL,LHX,TT,KMB,EXC,GD,SLB,TROW,PSA,CNC,AEP,SRE,DLR,PPG,ALGN,PRU,MCHP,SPG,A,BK,BAX,ALL,SYY,EA,STZ,BIIB,APTV,APH,TRV,MPC,PH,EBAY,INFO,ALXN,SNPS,MSCI,CMG,GIS,MAR,State Street Instl Treasury MMkt Instl,S+p500 Emini Fut Sep21 Xcme 20210917,DXCM,CARR,ORLY,GE.,MRNA,TOD.MI,CDNS,RMD,YUM,300888.SZ,n/a,FTNT,MSI,CTSH,SBAC,MTCH,SUM
07/09/2021,5.49,5.26,3.85,2.21,1.98,1.94,1.54,1.4,1.34,1.24,1.13,1.09,1.08,0.96,0.93,0.91,0.9,0.88,0.85,0.73,0.69,0.68,0.65,0.65,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.98
07/12/2021,5.49,5.26,3.85,2.21,1.98,1.94,1.54,1.4,1.34,1.24,1.13,1.09,1.08,0.96,0.93,0.91,0.9,0.88,0.85,0.73,0.69,0.68,0.65,0.65,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.98
07/13/2021,5.49,5.26,3.85,2.21,1.98,1.94,1.54,1.4,1.34,1.24,1.13,1.09,1.08,0.96,0.93,0.91,0.9,0.88,0.85,0.73,0.69,0.68,0.65,0.65,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.98
07/14/2021,5.49,5.26,3.85,2.21,1.98,1.94,1.54,1.4,1.34,1.24,1.13,1.09,1.08,0.96,0.93,0.91,0.9,0.88,0.85,0.73,0.69,0.68,0.65,0.65,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.98
07/15/2021,5.49,5.26,3.85,2.21,1.98,1.94,1.54,1.4,1.34,1.24,1.13,1.09,1.08,0.96,0.93,0.91,0.9,0.88,0.85,0.73,0.69,0.68,0.65,0.65,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.98
07/16/2021,5.49,5.26,3.85,2.21,1.98,1.94,1.54,1.4,1.34,1.24,1.13,1.09,1.08,0.96,0.93,0.91,0.9,0.88,0.85,0.73,0.69,0.68,0.65,0.65,0.62,0.62,0.61,0.6,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.54,0.54,0.54,0.52,0.5,0.49,0.49,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.4,0.4,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.0,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.98
07/19/2021,5.9,5.6,4.05,2.29,2.02,1.96,1.45,1.29,1.44,1.19,1.37,1.04,1.09,0.93,0.91,0.88,0.85,0.88,0.94,0.72,0.73,0.77,0.64,0.62,0.61,0.64,0.62,0.6,0.58,0.56,0.57,0.56,0.56,0.55,0.53,0.51,0.53,0.54,0.54,0.51,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.42,0.41,0.39,0.39,0.38,0.38,0.37,0.36,0.35,0.36,0.33,0.36,0.35,0.36,0.34,0.32,0.37,0.32,0.34,0.33,0.3,0.3,0.0,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.25,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.2,0.21,0.24,0.23,0.22,0.23,0.22,0.0,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.18,0.18,0.17,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.13,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.15,0.16,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31000000000002
07/20/2021,5.9,5.6,4.05,2.29,2.02,1.96,1.45,1.29,1.44,1.19,1.37,1.04,1.09,0.93,0.91,0.88,0.85,0.88,0.94,0.72,0.73,0.77,0.64,0.62,0.61,0.64,0.62,0.6,0.58,0.56,0.57,0.56,0.56,0.55,0.53,0.51,0.53,0.54,0.54,0.51,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.42,0.41,0.39,0.39,0.38,0.38,0.37,0.36,0.35,0.36,0.33,0.36,0.35,0.36,0.34,0.32,0.37,0.32,0.34,0.33,0.3,0.3,0.0,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.25,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.2,0.21,0.24,0.23,0.22,0.23,0.22,0.0,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.18,0.18,0.17,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.13,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.15,0.16,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31000000000002
07/21/2021,5.9,5.6,4.05,2.29,2.02,1.96,1.45,1.29,1.44,1.19,1.37,1.04,1.09,0.93,0.91,0.88,0.85,0.88,0.94,0.72,0.73,0.77,0.64,0.62,0.61,0.64,0.62,0.6,0.58,0.56,0.57,0.56,0.56,0.55,0.53,0.51,0.53,0.54,0.54,0.51,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.42,0.41,0.39,0.39,0.38,0.38,0.37,0.36,0.35,0.36,0.33,0.36,0.35,0.36,0.34,0.32,0.37,0.32,0.34,0.33,0.3,0.3,0.0,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.25,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.2,0.21,0.24,0.23,0.22,0.23,0.22,0.0,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.18,0.18,0.17,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.13,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.15,0.16,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31000000000002
07/22/2021,5.9,5.6,4.05,2.29,2.02,1.96,1.45,1.29,1.44,1.19,1.37,1.04,1.09,0.93,0.91,0.88,0.85,0.88,0.94,0.72,0.73,0.77,0.64,0.62,0.61,0.64,0.62,0.6,0.58,0.56,0.57,0.56,0.56,0.55,0.53,0.51,0.53,0.54,0.54,0.51,0.49,0.47,0.54,0.46,0.48,0.4,0.47,0.42,0.5,0.41,0.41,0.44,0.4,0.42,0.41,0.39,0.39,0.38,0.38,0.37,0.36,0.35,0.36,0.33,0.36,0.35,0.36,0.34,0.32,0.37,0.32,0.34,0.33,0.3,0.3,0.0,0.3,0.3,0.3,0.27,0.26,0.31,0.25,0.25,0.26,0.3,0.25,0.24,0.24,0.27,0.22,0.24,0.24,0.24,0.23,0.23,0.2,0.21,0.24,0.23,0.22,0.23,0.22,0.0,0.21,0.21,0.2,0.2,0.2,0.23,0.2,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.18,0.18,0.17,0.2,0.18,0.18,0.15,0.16,0.17,0.17,0.18,0.19,0.14,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.14,0.16,0.14,0.16,0.13,0.14,0.12,0.14,0.13,0.15,0.14,0.13,0.15,0.13,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.12,0.11,0.0,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.0,0.0,0.15,0.16,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.31000000000002
