,ASML,BNTX,DAC,LVMUY,SBSW,LOGN.SW,HIMX,CX,ERJ,SID,PKX,TX,NXPI,TTM,RIO,MT,TLV.,ABJA.,IBN,KT,HTHT,CRH,BBVA,CBD,SONY,TS,ING,SSL,HDB,SKM,SQM,RYAAY,BCYC,BCS,VWDRY,Koninklijke Philips NV ADR,Invesco Govt Agency Priv 1903,Cash,LVMH Moet Hennessy Louis Vuitton SE ADR,Sibanye Stillwater Ltd ADR,Cemex SAB de CV ADR,Embraer SA ADR,Companhia Siderurgica Nacional ADR,POSCO ADR,Rio Tinto PLC ADR,ABB Ltd ADR,KT Corp ADR,ArcelorMittal SA ADR,CRH PLC ADR,Grupo Televisa SAB ADR,Banco Bilbao Vizcaya Argentaria SA ADR,Tata Motors Ltd ADR,HDFC Bank Ltd ADR,Sony Group Corp ADR,Sasol Ltd ADR,ING Groep NV ADR,Companhia Brasileira De Distribuicao ADR (Ordinary Shares),Tenaris SA ADR,Vestas Wind Systems A/S ADR,Barclays PLC ADR,Volkswagen AG ADR,CLB,EBR,ASML Holding NV ADR,ICICI Bank Ltd ADR,Centrais Eletricas Brasileiras SA ADR,SK Telecom Co Ltd ADR,Ryanair Holdings PLC ADR,SUM
07/09/2021,5.49,4.57,4.39,4.16,3.66,3.58,3.36,3.19,3.02,2.88,2.83,2.72,2.65,2.63,2.63,2.61,2.59,2.51,2.49,2.48,2.48,2.46,2.45,2.31,2.27,2.26,2.25,2.25,2.24,2.23,2.19,2.14,1.82,1.71,1.67,1.55,1.25,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,5.6,4.41,4.14,0.0,0.0,3.82,3.52,0.0,0.0,0.0,0.0,2.93,2.66,0.0,0.0,0.0,0.0,0.0,2.58,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.16,2.12,1.85,0.0,0.0,1.54,1.3,-0.07,4.17,3.66,3.25,2.92,2.81,2.79,2.7,2.67,2.57,2.56,2.49,2.44,2.42,2.37,2.34,2.31,2.26,2.22,2.19,2.19,1.75,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,5.6,4.41,4.14,0.0,0.0,3.82,3.52,0.0,0.0,0.0,0.0,2.93,2.66,0.0,0.0,0.0,0.0,0.0,2.58,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.16,2.12,1.85,0.0,0.0,1.54,1.3,-0.07,4.17,3.66,3.25,2.92,2.81,2.79,2.7,2.67,2.57,2.56,2.49,2.44,2.42,2.37,2.34,2.31,2.26,2.22,2.19,2.19,1.75,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,5.57,4.47,4.24,0.0,0.0,3.69,3.48,0.0,0.0,0.0,0.0,2.94,2.64,0.0,0.0,0.0,0.0,0.0,2.53,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,2.19,2.09,1.79,0.0,0.0,0.0,1.18,0.0,4.19,3.68,3.24,2.87,2.8,2.8,2.72,2.64,2.51,2.61,2.47,2.44,2.46,2.35,2.27,0.0,2.32,2.24,2.15,2.2,1.65,1.74,2.26,2.05,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,5.67,4.41,4.28,0.0,0.0,3.63,3.51,0.0,0.0,0.0,0.0,2.98,2.67,0.0,0.0,0.0,0.0,0.0,2.56,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.3,2.07,1.81,0.0,0.0,0.0,0.77,0.0,4.19,3.67,3.19,3.07,2.93,2.81,2.71,2.62,2.51,2.58,2.44,2.45,2.45,2.33,2.25,0.0,2.31,2.21,2.14,2.18,1.69,1.72,2.32,2.05,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,5.82,4.37,4.18,0.0,0.0,3.66,3.51,0.0,0.0,0.0,0.0,3.05,2.74,0.0,0.0,0.0,0.0,0.0,2.65,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,2.08,1.93,0.0,0.0,0.0,0.79,0.0,4.3,3.75,3.11,3.07,3.02,2.85,2.76,2.68,2.6,2.6,2.49,2.43,2.45,2.4,2.31,0.0,2.3,2.22,2.18,2.2,0.0,1.74,2.33,2.17,2.59,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,5.73,4.59,3.91,0.0,0.0,3.53,3.31,0.0,0.0,0.0,0.0,3.13,2.58,0.0,0.0,0.0,0.0,0.0,2.64,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.04,1.97,0.0,0.0,0.0,2.31,0.0,4.21,3.76,3.11,2.92,2.97,2.84,2.76,2.64,2.59,2.63,2.44,2.4,2.44,2.39,2.34,0.0,2.15,2.19,2.1,2.11,0.0,1.7,2.28,2.0,2.63,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,5.69,4.89,3.76,0.0,0.0,3.55,3.31,0.0,0.0,0.0,0.0,3.13,2.57,0.0,0.0,0.0,0.0,0.0,2.64,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,2.03,2.01,0.0,0.0,0.0,2.27,0.0,4.22,3.63,3.13,2.86,2.93,2.81,2.7,2.66,2.64,2.54,2.46,2.45,2.41,2.41,2.37,0.0,2.19,2.17,2.17,2.11,0.0,1.67,2.29,1.97,2.69,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,5.69,4.89,3.76,0.0,0.0,3.55,3.31,0.0,0.0,0.0,0.0,3.13,2.57,0.0,0.0,0.0,0.0,0.0,2.64,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,2.03,2.01,0.0,0.0,0.0,2.27,0.0,4.22,3.63,3.13,2.86,2.93,2.81,2.7,2.66,2.64,2.54,2.46,2.45,2.41,2.41,2.37,0.0,2.19,2.17,2.17,2.11,0.0,1.67,2.29,1.97,2.69,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,5.69,4.89,3.76,0.0,0.0,3.55,3.31,0.0,0.0,0.0,0.0,3.13,2.57,0.0,0.0,0.0,0.0,0.0,2.64,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,2.03,2.01,0.0,0.0,0.0,2.27,0.0,4.22,3.63,3.13,2.86,2.93,2.81,2.7,2.66,2.64,2.54,2.46,2.45,2.41,2.41,2.37,0.0,2.19,2.17,2.17,2.11,0.0,1.67,2.29,1.97,2.69,0.0,0.0,0.0,0.0,0.0,99.99
