,MAPS,TLRY,WEED.TO,VFF.TO,39342L108 TRS 050322,GRWG,AFCG,HYFM,IIPR,23126M102 TRS 050322,89788C104 TRS 050322,22587M106 TRS 050322,CRON.TO,RIV.TO,VLNS.TO,Cash&Other,CWEB.TO,GNLN,JAZZ,CARA,CLVR,OGI.TO,NEPT.TO,05475P109 TRS 050322,YCBD,ZYNE,197309107 TRS 050322,PKI,LABS.TO,KERN,XLY.TO,IMCC.CN,ARNA,AH.TO,GTBIF,CURLF,TCNNF,CRLBF,AYRWF,CCHWF,92338D101 TRS 050322,CGC,VFF,VLNS CN,RIV CN,CRON,CWEB CN,OGI,NEPT,LABS CN,XLY CN,IMCC CN,AH CN,RIV.CN,SUM
07/09/2021,7.73,7.59,6.23,6.17,5.81,5.55,5.04,5.02,4.95,4.37,4.33,3.87,3.31,3.12,3.0,2.84,2.73,2.73,2.36,1.84,1.75,1.63,1.19,1.01,0.95,0.88,0.82,0.79,0.78,0.63,0.42,0.31,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/12/2021,7.74,7.42,6.1,6.19,5.98,4.99,5.03,5.01,5.04,4.5,4.49,4.12,3.34,3.1,2.76,2.86,2.7,2.75,2.4,1.81,1.69,1.65,1.26,1.03,1.03,0.89,0.93,0.79,0.77,0.64,0.43,0.3,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/13/2021,7.74,7.42,6.1,6.19,5.98,4.99,5.03,5.01,5.04,4.5,4.49,4.12,3.34,3.1,2.76,2.86,2.7,2.75,2.4,1.81,1.69,1.65,1.26,1.03,1.03,0.89,0.93,0.79,0.77,0.64,0.43,0.3,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/14/2021,7.74,7.42,6.1,6.19,5.98,4.99,5.03,5.01,5.04,4.5,4.49,4.12,3.34,3.1,2.76,2.86,2.7,2.75,2.4,1.81,1.69,1.65,1.26,1.03,1.03,0.89,0.93,0.79,0.77,0.64,0.43,0.3,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,7.43,7.51,6.16,6.29,5.91,5.07,5.12,5.05,5.18,4.47,4.37,4.08,3.35,3.17,2.65,2.89,2.65,2.73,2.43,1.82,1.64,1.67,1.27,1.05,0.96,0.85,0.97,0.8,0.81,0.65,0.44,0.31,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/16/2021,7.55,7.5,6.1,6.1,0.0,5.0,5.11,4.8,5.16,0.0,0.0,0.0,3.36,3.37,2.74,2.87,2.77,2.79,2.39,1.75,1.62,1.84,1.27,0.0,0.93,0.85,0.0,0.79,0.81,0.65,0.45,0.3,0.22,0.02,5.97,4.54,4.32,4.03,1.06,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,7.65,7.04,5.97,6.24,5.88,4.62,5.21,4.58,5.38,4.66,4.51,4.22,3.32,3.32,2.74,3.05,2.77,2.51,2.48,1.79,1.77,1.78,1.25,1.1,0.95,0.86,0.97,0.84,0.84,0.67,0.45,0.33,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,6.8,7.06,5.96,6.34,5.83,4.59,5.25,4.62,5.72,4.55,4.32,4.18,3.28,3.29,2.69,4.0,2.76,2.57,2.53,1.86,1.76,1.74,1.01,1.08,0.95,0.87,0.93,0.87,0.85,0.67,0.47,0.34,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,6.8,7.06,5.96,6.34,5.83,4.59,5.25,4.62,5.72,4.55,4.32,4.18,3.28,3.29,2.69,4.0,2.76,2.57,2.53,1.86,1.76,1.74,1.01,1.08,0.95,0.87,0.93,0.87,0.85,0.67,0.47,0.34,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,7.44,7.0,5.99,6.21,5.75,4.7,5.34,4.63,5.62,4.41,4.31,4.08,3.32,3.25,2.57,4.06,2.72,2.55,2.51,1.9,1.77,1.77,0.91,1.08,0.96,0.89,0.89,0.89,0.8,0.67,0.45,0.32,0.23,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
