,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,NVDA,TSLA,JPM,JNJ,V,UNH,BRK.B,NESN.SW,HD,PG,MA,PYPL,DIS,BAC,ASML.AS,ADBE,ROG.SW,CMCSA,XOM,NFLX,VZ,CRM,INTC,CSCO,KO,WMT,PFE,MC.PA,ABT,T,ABBV,PEP,NKE,NOVN.SW,TMO,CVX,MRK,AVGO,LLY,ACN,COST,WFC,DHR,TXN,MCD,SHOP,MDT,QCOM,AZN.L,ULVR.L,ORCL,PM,UPS,HON,1299.HK,LIN,BMY,NOVO B.CO,RY.TO,NEE,SAP.DE,UNP,LOW,C,AMGN,INTU,SBUX,BLK,GS,CBA.AX,RTX,BA,TD.TO,MS,IBM,AMAT,TGT,AMT,SIE.DE,TTE.PA,MMM,DGE.L,GE,AMD,SAN.PA,AXP,CAT,HSBA.L,ISRG,NOW,BHP.AX,OR.PA,SCHW,ALV.DE,DE,CVS,SPGI,CHTR,GSK.L,PLD,ZTS,RIO.L,SYK,MU,BKNG,SQ,LMT,ANTM,CSL.AX,TMUS,BP.L,FIS,XTSLA,MDLZ,SU.PA,LRCX,CCI,ADP,MO,GILD,BATS.L,RDSA.AS,PNC,USB,ENB.TO,TJX,AI.PA,ZM,CI,COP,CSX,EQIX,CME,TFC,GM,MRNA,DUK,ENEL.MI,BNS.TO,AIR.PA,RYDBF,NSC,ITW,DPW.DE,WBC.AX,388.HK,COF,SHW,ILMN,MELI,IBE.MC,DTE.DE,BAS.DE,ADS.DE,MMC,ATVI,BDX,CNR.TO,CB,FDX,EL,DAI.DE,BAM.A.TO,BHP.L,MCO,APD,RKT.L,TWLO,KER.PA,SAN.MC,BMO.TO,ADI,NAB.AX,CL,SO,ICE,BNP.PA,EW,BX,FISV,SNAP,ADSK,ETN,BAYN.DE,NOC,PGR,HUM,WM,HCA,REGN,ABBN.SW,ZURN.SW,ANZ.AX,BSX,UBER,EMR,D,RITN.,GPN,IDXX,USD,ANSGR.IS,UBSG.SW,AON,AAL.L,LONN.SW,GE.,NXPI,GIVN.SW,ADYEN.AS,CAD,RMS.PA,DG,PRX.AS,BAM,PRU.L,SNOW,DG.PA,CFR.SW,IFX.DE,INGA.AS,DXCM,REL.L,EL.PA,CMG,KLAC,DSV.CO,LULU,MSCI,CS.PA,F,MRVL,ECL,n/a,PSA,FCX,CP.TO,VRTX,CM.TO,CNQ.TO,EOG,LLOY.L,GD,NG.L,AIG,SLB,JCI,TRP.TO,MET,EXC,SHEL.L,GLEN.L,PANW,NEM,MBG.DE,NTR.TO,SUM
07/09/2021,4.37,3.65,2.89,1.55,1.4,1.39,0.94,0.93,0.86,0.81,0.74,0.71,0.7,0.66,0.63,0.61,0.61,0.6,0.58,0.57,0.53,0.52,0.5,0.48,0.48,0.44,0.43,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.34000000000001
07/12/2021,4.44,3.67,2.95,1.53,1.4,1.39,0.91,0.92,0.85,0.82,0.74,0.72,0.69,0.67,0.63,0.62,0.61,0.6,0.58,0.55,0.52,0.54,0.5,0.49,0.47,0.43,0.43,0.41,0.42,0.42,0.41,0.4,0.41,0.39,0.39,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.35,0.36,0.36,0.33,0.32,0.33,0.32,0.32,0.3,0.32,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.2,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33000000000001
07/13/2021,4.44,3.67,2.95,1.53,1.4,1.39,0.91,0.92,0.85,0.82,0.74,0.72,0.69,0.67,0.63,0.62,0.61,0.6,0.58,0.55,0.52,0.54,0.5,0.49,0.47,0.43,0.43,0.41,0.42,0.42,0.41,0.4,0.41,0.39,0.39,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.35,0.36,0.36,0.33,0.32,0.33,0.32,0.32,0.3,0.32,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.27,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.22,0.2,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33000000000001
07/14/2021,4.44,3.63,2.91,1.53,1.39,1.38,0.9,0.92,0.87,0.81,0.74,0.71,0.7,0.66,0.63,0.61,0.61,0.61,0.59,0.57,0.53,0.53,0.5,0.48,0.47,0.43,0.42,0.41,0.42,0.41,0.41,0.4,0.41,0.4,0.39,0.37,0.38,0.37,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.36,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.29,0.29,0.29,0.31,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.20000000000001
07/15/2021,4.44,3.63,2.91,1.53,1.39,1.38,0.9,0.92,0.87,0.81,0.74,0.71,0.7,0.66,0.63,0.61,0.61,0.61,0.59,0.57,0.53,0.53,0.5,0.48,0.47,0.43,0.42,0.41,0.42,0.41,0.41,0.4,0.41,0.4,0.39,0.37,0.38,0.37,0.38,0.38,0.37,0.37,0.36,0.35,0.35,0.36,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.29,0.29,0.29,0.31,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.26,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.20000000000001
07/16/2021,4.46,3.67,2.87,1.54,1.41,1.4,0.91,0.93,0.86,0.81,0.75,0.72,0.7,0.66,0.62,0.61,0.62,0.61,0.61,0.56,0.55,0.53,0.5,0.48,0.47,0.44,0.42,0.41,0.42,0.41,0.41,0.4,0.41,0.4,0.38,0.37,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.36,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.29,0.29,0.29,0.31,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.29,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.2,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.360000000000014
07/19/2021,4.56,3.69,2.85,1.52,1.42,1.4,0.86,0.91,0.87,0.81,0.77,0.73,0.7,0.66,0.63,0.63,0.64,0.6,0.61,0.55,0.55,0.53,0.5,0.48,0.46,0.44,0.43,0.4,0.42,0.42,0.42,0.41,0.41,0.4,0.38,0.37,0.38,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.36,0.34,0.34,0.33,0.32,0.32,0.3,0.31,0.29,0.28,0.29,0.3,0.28,0.28,0.3,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.22,0.2,0.22,0.21,0.21,0.19,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.18,0.17,0.17,0.15,0.17,0.0,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.16,0.13,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.540000000000006
07/20/2021,4.56,3.69,2.85,1.52,1.42,1.4,0.86,0.91,0.87,0.81,0.77,0.73,0.7,0.66,0.63,0.63,0.64,0.6,0.61,0.55,0.55,0.53,0.5,0.48,0.46,0.44,0.43,0.4,0.42,0.42,0.42,0.41,0.41,0.4,0.38,0.37,0.38,0.39,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.36,0.34,0.34,0.33,0.32,0.32,0.3,0.31,0.29,0.28,0.29,0.3,0.28,0.28,0.3,0.28,0.28,0.28,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.26,0.25,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.24,0.23,0.22,0.23,0.23,0.22,0.2,0.22,0.21,0.21,0.19,0.21,0.22,0.21,0.21,0.2,0.2,0.21,0.21,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.18,0.17,0.17,0.15,0.17,0.0,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.16,0.13,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.540000000000006
07/21/2021,4.53,3.71,2.82,1.51,1.43,1.41,0.83,0.91,0.85,0.81,0.77,0.73,0.7,0.67,0.64,0.64,0.64,0.6,0.6,0.54,0.54,0.54,0.51,0.48,0.45,0.43,0.43,0.4,0.41,0.42,0.42,0.41,0.42,0.39,0.38,0.37,0.38,0.39,0.38,0.38,0.38,0.35,0.37,0.35,0.35,0.36,0.34,0.34,0.34,0.31,0.32,0.3,0.31,0.29,0.28,0.29,0.31,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.27,0.28,0.28,0.27,0.27,0.26,0.26,0.25,0.26,0.24,0.23,0.24,0.23,0.22,0.23,0.24,0.23,0.22,0.23,0.23,0.22,0.2,0.21,0.21,0.2,0.19,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.18,0.19,0.19,0.2,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.18,0.17,0.17,0.15,0.17,0.0,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.14,0.14,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.13,0.17,0.14,0.14,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.15,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.13,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.0,0.12,0.11,0.11,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.470000000000006
07/22/2021,4.48,3.72,2.85,1.52,1.43,1.41,0.87,0.93,0.84,0.82,0.76,0.73,0.7,0.68,0.64,0.65,0.61,0.61,0.59,0.54,0.54,0.54,0.51,0.48,0.44,0.44,0.43,0.41,0.42,0.42,0.43,0.41,0.42,0.39,0.4,0.37,0.38,0.4,0.38,0.38,0.38,0.35,0.37,0.35,0.36,0.37,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.29,0.28,0.29,0.31,0.29,0.29,0.29,0.27,0.28,0.28,0.28,0.26,0.28,0.28,0.27,0.27,0.25,0.27,0.26,0.26,0.24,0.23,0.24,0.23,0.22,0.22,0.24,0.23,0.22,0.24,0.23,0.21,0.19,0.22,0.21,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.18,0.18,0.19,0.2,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.17,0.17,0.18,0.18,0.17,0.15,0.16,0.0,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.15,0.14,0.14,0.15,0.14,0.15,0.16,0.14,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.19,0.15,0.14,0.14,0.14,0.12,0.12,0.13,0.13,0.12,0.15,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.610000000000014
