,QQQ,VCR,VOO,BLV,80ML.L,n/a,QQQM,VGT,VDE,VHT,AAAU,VGLT,SUM
09/03/2021,36.71,27.27,26.26,9.7,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/06/2021,36.7,27.26,26.31,9.66,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,36.81,27.23,26.29,9.6,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/08/2021,36.81,27.23,26.29,9.6,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0
09/09/2021,36.81,27.23,26.29,9.6,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/24/2021,36.74,28.52,25.66,8.99,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/25/2021,36.74,28.52,25.66,8.99,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/26/2021,36.74,28.52,25.66,8.99,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/29/2021,0.0,0.0,0.0,4.99,0.0,0.4,49.69,39.83,5.09,0.0,0.0,0.0,100.0
11/30/2021,0.0,0.0,0.0,5.16,0.0,0.41,49.74,39.72,4.97,0.0,0.0,0.0,100.0
12/01/2021,0.0,0.0,0.0,5.16,0.0,0.41,49.74,39.72,4.97,0.0,0.0,0.0,100.0
12/02/2021,0.0,0.0,0.0,5.06,0.0,0.4,49.81,39.82,4.91,0.0,0.0,0.0,100.0
12/06/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/07/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/08/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/09/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/10/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/13/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/14/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/15/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/16/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/17/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/20/2021,0.0,0.0,0.0,5.21,0.0,0.41,49.55,39.88,4.94,0.0,0.0,0.0,99.99
12/21/2021,0.0,0.0,0.0,5.24,0.0,0.27,49.49,40.15,4.84,0.0,0.0,0.0,99.99
12/22/2021,0.0,0.0,0.0,5.24,0.0,0.27,49.49,40.15,4.84,0.0,0.0,0.0,99.99
12/23/2021,0.0,0.0,0.0,5.28,0.0,0.27,49.51,40.11,4.82,0.0,0.0,0.0,99.99
12/24/2021,0.0,0.0,0.0,5.13,0.0,0.4,49.39,40.22,4.86,0.0,0.0,0.0,100.0
12/27/2021,0.0,0.0,0.0,5.03,0.0,0.39,49.54,40.23,4.81,0.0,0.0,0.0,100.0
12/28/2021,0.0,0.0,0.0,5.03,0.0,0.39,49.54,40.23,4.81,0.0,0.0,0.0,100.0
12/29/2021,0.0,0.0,0.0,5.03,0.0,0.39,49.54,40.23,4.81,0.0,0.0,0.0,100.0
12/30/2021,0.0,0.0,0.0,4.95,0.0,0.39,49.47,40.36,4.84,0.0,0.0,0.0,100.01
12/31/2021,0.0,0.0,0.0,4.96,0.0,0.39,49.51,40.29,4.85,0.0,0.0,0.0,100.0
01/03/2022,0.0,0.0,0.0,4.97,0.0,0.41,49.55,40.27,4.8,0.0,0.0,0.0,100.0
01/03/2022,0.0,0.0,0.0,4.97,0.0,0.41,49.55,40.27,4.8,0.0,0.0,0.0,100.0
01/03/2022,0.0,0.0,0.0,4.97,0.0,0.41,49.55,40.27,4.8,0.0,0.0,0.0,100.0
01/04/2022,0.0,0.0,0.0,4.97,0.0,0.41,49.55,40.27,4.8,0.0,0.0,0.0,100.0
01/05/2022,0.0,0.0,0.0,4.97,0.0,0.41,49.55,40.27,4.8,0.0,0.0,0.0,100.0
01/06/2022,0.0,0.0,0.0,4.97,0.0,0.41,49.55,40.27,4.8,0.0,0.0,0.0,100.0
01/07/2022,0.0,0.0,0.0,4.92,0.0,0.3,49.41,40.17,5.2,0.0,0.0,0.0,100.0
01/13/2022,0.0,0.0,0.0,5.06,0.0,0.26,49.27,39.85,5.56,0.0,0.0,0.0,100.0
01/14/2022,0.0,0.0,0.0,5.01,0.0,0.26,49.25,39.81,5.67,0.0,0.0,0.0,100.0
01/17/2022,0.0,0.0,0.0,5.13,0.0,0.27,49.25,39.59,5.76,0.0,0.0,0.0,100.0
01/18/2022,0.0,0.0,0.0,5.03,0.0,0.26,49.18,39.65,5.87,0.0,0.0,0.0,99.99
01/19/2022,0.0,0.0,0.0,5.03,0.0,0.26,49.18,39.65,5.87,0.0,0.0,0.0,99.99
01/20/2022,0.0,0.0,0.0,5.03,0.0,0.26,49.18,39.65,5.87,0.0,0.0,0.0,99.99
01/21/2022,0.0,0.0,0.0,5.07,0.0,0.27,49.13,39.52,6.01,0.0,0.0,0.0,100.0
01/24/2022,0.0,0.0,0.0,5.23,0.0,0.28,49.05,39.41,6.02,0.0,0.0,0.0,99.99
