,AAPL,MSFT,AMZN,OTIS,MRK,EVR,ABBV,JEF,BAH,ACI,PLTK,FB,HD,TGT,JNJ,MSCI,LLY,WMT,BMY,CRWD,VZ,LAZ,VRSN,PG,KR,AMGN,AMCR,PM,TXN,ALL,AZPN,FTNT,ALLY,QCOM,COST,TSLA,OMF,NVDA,CTXS,DPZ,UPS,FICO,KMB,VST,TREX,LMT,RS,SPGI,SGFY,GOOG,TEAM,HPE,MSI,AMP,GOOGL,EBAY,CDNS,SMG,FCN,MA,BBY,HCA,PRI,BPOP,EXPD,ALSN,QRVO,NOC,ADBE,HLF,ORCL,LESL,TER,DVA,LII,INTC,WSM,STT,CVS,MANH,CHE,CSCO,SYF,LOW,BPYU,YUM,INTU,STNE,POOL,AFL,MS,XRX,HUBS,DVN,TTWO,MRNA,FLO,COF,MCFE,UI,BHF,HPQ,EQH,CNXC,WTM,SLG,CARR,LRCX,VRTX,ZM,AFG,AM,EL,ZS,MTCH,TMO,AMAT,VNT,DKS,ZBRA,AVGO,LUMN,PFE,VER,KLAC,DG,GS,MAS,LITE,AZO,W,DNB,EA,NRG,NVT,AMED,BIIB,NTAP,ATVI,CRUS,MTD,IDXX,QRTEA,PFG,SEE,VEEV,GO,DBX,XLRN,ABT,V,PHM,JBL,CACI,GWW,SBUX,CIEN,AN,DOV,ORLY,MOH,CPB,ETR,DT,FAF,VIRT,WU,ENPH,RL,ATH,CDW,QDEL,LULU,RHI,CLX,SLGN,SHC,MO,RPRX,MCK,UPST,WORK,TPX,CAH,SHLS,FNF,XTSLA,CHTR,OKTA,COLM,HIG,HSY,PAYX,LDOS,RJF,HRB,UNM,SMAR,GDDY,LPLA,SNPS,AKAM,MRO,LB,DTM WI,LPX,OGN,SF,DECK,NKE,CL,BRX,GILD,CMCSA,UNH,PYPL,SJM,BLD,MCD,SBAC,MCY,AMD,ANET,RSG,127.HK,USD,n/a,MXIM,FDX,GIS,ZTS,BBWI WI,NWL,AVY,MDLZ,GGG,OMC,AA,HE,GPK,BEN,AZEK,SNDR,NTNX,PEP,TT,WM,688185.SS,SUM
07/09/2021,5.9,5.7,3.52,1.82,1.56,1.46,1.44,1.36,1.35,1.25,1.14,1.12,1.1,1.09,1.03,0.97,0.93,0.9,0.84,0.84,0.79,0.78,0.75,0.75,0.74,0.73,0.73,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.7,0.68,0.67,0.65,0.64,0.63,0.63,0.61,0.61,0.6,0.59,0.59,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.49,0.48,0.47,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.51
07/12/2021,5.99,5.73,3.59,1.85,1.56,1.4,1.45,1.27,1.37,1.28,1.13,1.1,1.1,1.11,1.04,0.98,0.94,0.91,0.84,0.84,0.78,0.78,0.76,0.76,0.76,0.74,0.74,0.72,0.71,0.71,0.71,0.72,0.7,0.7,0.71,0.68,0.67,0.63,0.65,0.63,0.63,0.61,0.61,0.61,0.59,0.59,0.57,0.57,0.58,0.57,0.57,0.56,0.56,0.54,0.55,0.55,0.54,0.53,0.54,0.51,0.51,0.51,0.5,0.48,0.48,0.47,0.45,0.45,0.46,0.45,0.47,0.44,0.43,0.44,0.43,0.42,0.41,0.4,0.41,0.41,0.41,0.41,0.39,0.4,0.38,0.4,0.39,0.36,0.38,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.34,0.33,0.33,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.25,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.24,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.49,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.95
07/13/2021,5.99,5.73,3.59,1.85,1.56,1.4,1.45,1.27,1.37,1.28,1.13,1.1,1.1,1.11,1.04,0.98,0.94,0.91,0.84,0.84,0.78,0.78,0.76,0.76,0.76,0.74,0.74,0.72,0.71,0.71,0.71,0.72,0.7,0.7,0.71,0.68,0.67,0.63,0.65,0.63,0.63,0.61,0.61,0.61,0.59,0.59,0.57,0.57,0.58,0.57,0.57,0.56,0.56,0.54,0.55,0.55,0.54,0.53,0.54,0.51,0.51,0.51,0.5,0.48,0.48,0.47,0.45,0.45,0.46,0.45,0.47,0.44,0.43,0.44,0.43,0.42,0.41,0.4,0.41,0.41,0.41,0.41,0.39,0.4,0.38,0.4,0.39,0.36,0.38,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.32,0.34,0.33,0.33,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.24,0.25,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.25,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.24,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.49,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.95
07/14/2021,5.99,5.67,3.54,1.84,1.54,1.39,1.44,1.3,1.37,1.31,1.14,1.11,1.1,1.1,1.03,0.98,0.92,0.9,0.84,0.83,0.78,0.78,0.75,0.75,0.75,0.74,0.73,0.72,0.71,0.72,0.7,0.72,0.73,0.7,0.71,0.67,0.68,0.63,0.64,0.63,0.63,0.61,0.6,0.62,0.6,0.59,0.58,0.56,0.55,0.56,0.56,0.57,0.56,0.55,0.54,0.55,0.54,0.53,0.53,0.51,0.51,0.52,0.51,0.5,0.48,0.48,0.46,0.45,0.45,0.44,0.48,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.41,0.4,0.4,0.38,0.4,0.38,0.35,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.36,0.34,0.35,0.33,0.34,0.34,0.33,0.3,0.3,0.3,0.3,0.29,0.28,0.3,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.24,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.24,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.64
07/15/2021,5.99,5.67,3.54,1.84,1.54,1.39,1.44,1.3,1.37,1.31,1.14,1.11,1.1,1.1,1.03,0.98,0.92,0.9,0.84,0.83,0.78,0.78,0.75,0.75,0.75,0.74,0.73,0.72,0.71,0.72,0.7,0.72,0.73,0.7,0.71,0.67,0.68,0.63,0.64,0.63,0.63,0.61,0.6,0.62,0.6,0.59,0.58,0.56,0.55,0.56,0.56,0.57,0.56,0.55,0.54,0.55,0.54,0.53,0.53,0.51,0.51,0.52,0.51,0.5,0.48,0.48,0.46,0.45,0.45,0.44,0.48,0.45,0.44,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.41,0.4,0.4,0.38,0.4,0.38,0.35,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.36,0.34,0.35,0.33,0.34,0.34,0.33,0.3,0.3,0.3,0.3,0.29,0.28,0.3,0.3,0.28,0.28,0.27,0.27,0.26,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.2,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.24,0.16,0.16,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.24,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.64
07/16/2021,6.04,5.76,3.51,1.85,1.54,1.44,1.44,1.3,1.37,1.28,1.15,1.12,1.09,1.12,1.04,0.98,0.93,0.91,0.85,0.82,0.78,0.79,0.74,0.76,0.75,0.74,0.74,0.71,0.72,0.72,0.7,0.73,0.73,0.71,0.71,0.69,0.68,0.64,0.63,0.64,0.63,0.61,0.6,0.61,0.59,0.59,0.57,0.56,0.55,0.57,0.55,0.54,0.56,0.56,0.55,0.55,0.54,0.53,0.53,0.53,0.51,0.52,0.51,0.49,0.48,0.47,0.46,0.44,0.45,0.43,0.47,0.43,0.44,0.44,0.42,0.43,0.42,0.42,0.41,0.39,0.4,0.41,0.41,0.4,0.38,0.4,0.39,0.34,0.38,0.37,0.38,0.35,0.34,0.37,0.35,0.35,0.34,0.36,0.34,0.34,0.33,0.32,0.34,0.34,0.3,0.3,0.31,0.3,0.3,0.28,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.22,0.24,0.24,0.24,0.23,0.22,0.24,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.16,0.17,0.17,0.24,0.15,0.17,0.16,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6
07/19/2021,5.92,5.56,3.57,1.37,1.3,1.4,1.35,1.16,1.11,1.11,0.94,1.2,1.04,1.01,1.03,0.85,0.83,0.87,0.73,0.69,0.74,0.8,0.61,0.98,0.68,0.66,0.61,0.72,0.67,0.58,0.68,0.63,0.72,0.73,0.65,0.51,0.72,0.83,0.68,0.58,0.59,0.51,0.55,0.46,0.4,0.53,0.46,0.57,0.42,0.76,0.49,0.56,0.48,0.4,0.83,0.5,0.46,0.54,0.48,0.51,0.52,0.48,0.43,0.49,0.41,0.39,0.39,0.38,0.6,0.42,0.45,0.41,0.39,0.39,0.35,0.37,0.43,0.42,0.48,0.34,0.33,0.44,0.34,0.32,0.44,0.33,0.36,0.3,0.27,0.35,0.39,0.34,0.32,0.0,0.29,0.38,0.33,0.24,0.23,0.3,0.32,0.32,0.3,0.29,0.26,0.54,0.24,0.3,0.28,0.24,0.27,0.21,0.25,0.22,0.23,0.34,0.29,0.22,0.24,0.23,0.33,0.3,0.27,0.41,0.26,0.31,0.29,0.17,0.18,0.25,0.22,0.22,0.19,0.2,0.22,0.18,0.24,0.23,0.21,0.21,0.26,0.24,0.29,0.14,0.19,0.18,0.16,0.17,0.19,0.27,0.37,0.0,0.16,0.2,0.17,0.16,0.16,0.19,0.14,0.15,0.14,0.21,0.23,0.0,0.2,0.21,0.13,0.0,0.0,0.1,0.1,0.0,0.12,0.0,0.22,0.14,0.15,0.18,0.11,0.15,0.16,0.1,0.0,0.15,0.0,0.0,0.12,0.15,0.0,0.0,0.0,0.13,0.12,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.17,0.99,0.61,0.54,0.38,0.27,0.19,0.19,0.18,0.18,0.18,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8
07/20/2021,5.92,5.56,3.57,1.37,1.3,1.4,1.35,1.16,1.11,1.11,0.94,1.2,1.04,1.01,1.03,0.85,0.83,0.87,0.73,0.69,0.74,0.8,0.61,0.98,0.68,0.66,0.61,0.72,0.67,0.58,0.68,0.63,0.72,0.73,0.65,0.51,0.72,0.83,0.68,0.58,0.59,0.51,0.55,0.46,0.4,0.53,0.46,0.57,0.42,0.76,0.49,0.56,0.48,0.4,0.83,0.5,0.46,0.54,0.48,0.51,0.52,0.48,0.43,0.49,0.41,0.39,0.39,0.38,0.6,0.42,0.45,0.41,0.39,0.39,0.35,0.37,0.43,0.42,0.48,0.34,0.33,0.44,0.34,0.32,0.44,0.33,0.36,0.3,0.27,0.35,0.39,0.34,0.32,0.0,0.29,0.38,0.33,0.24,0.23,0.3,0.32,0.32,0.3,0.29,0.26,0.54,0.24,0.3,0.28,0.24,0.27,0.21,0.25,0.22,0.23,0.34,0.29,0.22,0.24,0.23,0.33,0.3,0.27,0.41,0.26,0.31,0.29,0.17,0.18,0.25,0.22,0.22,0.19,0.2,0.22,0.18,0.24,0.23,0.21,0.21,0.26,0.24,0.29,0.14,0.19,0.18,0.16,0.17,0.19,0.27,0.37,0.0,0.16,0.2,0.17,0.16,0.16,0.19,0.14,0.15,0.14,0.21,0.23,0.0,0.2,0.21,0.13,0.0,0.0,0.1,0.1,0.0,0.12,0.0,0.22,0.14,0.15,0.18,0.11,0.15,0.16,0.1,0.0,0.15,0.0,0.0,0.12,0.15,0.0,0.0,0.0,0.13,0.12,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.17,0.99,0.61,0.54,0.38,0.27,0.19,0.19,0.18,0.18,0.18,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8
07/21/2021,5.87,5.59,3.53,1.37,1.31,1.38,1.37,1.15,1.12,1.12,0.96,1.2,1.04,1.01,1.03,0.86,0.84,0.87,0.73,0.7,0.74,0.79,0.62,0.99,0.7,0.67,0.61,0.72,0.67,0.59,0.69,0.64,0.71,0.72,0.65,0.5,0.71,0.8,0.69,0.58,0.59,0.52,0.56,0.47,0.41,0.53,0.46,0.58,0.45,0.77,0.49,0.55,0.48,0.4,0.84,0.51,0.46,0.55,0.49,0.51,0.51,0.48,0.43,0.48,0.41,0.39,0.38,0.38,0.6,0.42,0.46,0.4,0.38,0.39,0.35,0.37,0.42,0.44,0.48,0.34,0.33,0.44,0.34,0.32,0.44,0.33,0.36,0.29,0.27,0.35,0.39,0.33,0.33,0.0,0.3,0.42,0.34,0.24,0.24,0.29,0.31,0.32,0.29,0.28,0.26,0.53,0.24,0.29,0.28,0.24,0.28,0.2,0.25,0.22,0.23,0.35,0.28,0.22,0.23,0.23,0.33,0.29,0.28,0.41,0.25,0.31,0.29,0.17,0.18,0.25,0.22,0.22,0.19,0.2,0.21,0.18,0.24,0.22,0.22,0.21,0.27,0.24,0.29,0.14,0.19,0.18,0.17,0.17,0.19,0.27,0.37,0.0,0.16,0.2,0.17,0.16,0.16,0.19,0.14,0.15,0.14,0.21,0.23,0.1,0.2,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.23,0.14,0.16,0.18,0.11,0.15,0.16,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.12,0.11,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.14,0.95,0.61,0.53,0.38,0.27,0.19,0.19,0.18,0.18,0.18,0.14,0.14,0.13,0.13,0.12,0.12,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.82
07/22/2021,5.77,5.58,3.55,1.37,1.31,1.35,1.36,1.12,1.11,1.17,0.96,1.2,1.05,1.02,1.04,0.86,0.86,0.88,0.73,0.7,0.74,0.78,0.62,1.01,0.73,0.68,0.61,0.72,0.68,0.58,0.7,0.64,0.68,0.73,0.66,0.51,0.7,0.83,0.69,0.58,0.6,0.52,0.57,0.45,0.41,0.53,0.45,0.58,0.46,0.77,0.5,0.55,0.48,0.39,0.83,0.52,0.47,0.55,0.5,0.49,0.51,0.48,0.42,0.47,0.42,0.39,0.39,0.37,0.6,0.42,0.46,0.4,0.39,0.39,0.35,0.37,0.43,0.42,0.48,0.35,0.33,0.44,0.33,0.32,0.44,0.32,0.36,0.29,0.27,0.34,0.38,0.33,0.33,0.0,0.3,0.47,0.34,0.24,0.24,0.3,0.3,0.32,0.29,0.28,0.26,0.52,0.24,0.29,0.28,0.24,0.27,0.2,0.24,0.23,0.22,0.35,0.28,0.22,0.23,0.23,0.33,0.29,0.28,0.41,0.26,0.32,0.28,0.17,0.18,0.25,0.22,0.22,0.19,0.2,0.21,0.18,0.24,0.22,0.22,0.21,0.27,0.25,0.29,0.14,0.19,0.18,0.17,0.17,0.2,0.28,0.36,0.0,0.16,0.2,0.17,0.16,0.16,0.2,0.14,0.15,0.14,0.22,0.23,0.0,0.2,0.21,0.13,0.0,0.0,0.1,0.1,0.11,0.12,0.0,0.23,0.14,0.15,0.18,0.11,0.15,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.13,0.12,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.14,0.93,0.62,0.52,0.38,0.27,0.19,0.18,0.19,0.18,0.18,0.14,0.15,0.13,0.13,0.12,0.12,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86
