,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,S&P Smallcap 600 Index Swap Citibank Na - Cash Offset,S&P Smallcap 600 Index Swap Morgan Stanley & Co. International Plc - Cash O,S&P Smallcap 600 Index Swap Bank Of America Na - Cash Offset,S&P Smallcap 600 Index Swap Societe Generale - Cash Offset,S&P Smallcap 600 Index Swap Ubs Ag - Cash Offset,S&P Smallcap 600 Index Swap Ubs Ag,S&P Smallcap 600 Index Swap Societe Generale,S&P Smallcap 600 Index Swap Bank Of America Na,S&P Smallcap 600 Index Swap Morgan Stanley & Co. International Plc,S&P Smallcap 600 Index Swap Citibank Na,SUM
07/09/2021,100.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/13/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/14/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/15/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/16/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/19/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/20/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/21/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
07/22/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,24.44,19.51,19.31,12.21,-12.21,-19.31,-19.51,-24.44,-24.5,100.0
