,n/a,B 0 04.21.22,B 0 05.12.22,WIB 0 04.21.22,SUM
11/08/2021,60.21,39.79,0.0,0.0,100.0
11/09/2021,60.21,39.79,0.0,0.0,100.0
11/10/2021,60.22,39.78,0.0,0.0,100.0
11/11/2021,60.22,39.78,0.0,0.0,100.0
11/12/2021,60.22,39.78,0.0,0.0,100.0
11/15/2021,56.07,33.63,10.29,0.0,99.99
11/16/2021,56.07,33.63,10.29,0.0,99.99
11/17/2021,56.07,33.63,10.29,0.0,99.99
11/18/2021,55.49,34.08,10.43,0.0,100.0
11/19/2021,55.26,34.26,10.49,0.0,100.01
11/22/2021,52.01,36.74,11.25,0.0,100.0
11/23/2021,52.01,36.74,11.25,0.0,100.0
11/24/2021,53.2,35.83,10.97,0.0,100.0
11/25/2021,53.2,35.83,10.97,0.0,100.0
11/26/2021,53.2,35.83,10.97,0.0,100.0
11/29/2021,54.42,34.9,10.68,0.0,100.0
11/30/2021,54.42,34.9,10.68,0.0,100.0
12/01/2021,54.42,34.9,10.68,0.0,100.0
12/02/2021,51.47,37.16,11.37,0.0,100.0
12/06/2021,53.88,35.31,10.81,0.0,100.0
12/07/2021,53.88,35.31,10.81,0.0,100.0
12/08/2021,53.88,35.31,10.81,0.0,100.0
12/09/2021,53.88,35.31,10.81,0.0,100.0
12/10/2021,53.88,35.31,10.81,0.0,100.0
12/13/2021,53.88,35.31,10.81,0.0,100.0
12/14/2021,53.88,35.31,10.81,0.0,100.0
12/15/2021,53.88,35.31,10.81,0.0,100.0
12/16/2021,53.88,35.31,10.81,0.0,100.0
12/17/2021,53.88,35.31,10.81,0.0,100.0
12/20/2021,53.88,35.31,10.81,0.0,100.0
12/21/2021,46.63,40.86,12.51,0.0,100.0
12/22/2021,46.63,40.86,12.51,0.0,100.0
12/23/2021,43.69,43.11,13.2,0.0,100.0
12/24/2021,46.97,40.6,12.43,0.0,100.0
12/27/2021,47.42,40.26,12.32,0.0,100.0
12/28/2021,47.42,40.26,12.32,0.0,100.0
12/29/2021,49.79,38.45,11.77,0.0,100.01
12/30/2021,50.03,38.26,11.71,0.0,100.0
12/31/2021,45.78,41.52,12.71,0.0,100.01000000000002
01/03/2022,44.95,42.15,12.9,0.0,100.0
01/03/2022,44.95,42.15,12.9,0.0,100.0
01/03/2022,44.95,42.15,12.9,0.0,100.0
01/04/2022,44.95,42.15,12.9,0.0,100.0
01/05/2022,44.95,42.15,12.9,0.0,100.0
01/06/2022,44.95,42.15,12.9,0.0,100.0
01/07/2022,33.92,50.6,15.49,0.0,100.01
01/10/2022,35.12,61.73,3.15,0.0,100.0
01/11/2022,34.19,62.62,3.19,0.0,100.0
01/12/2022,36.5,60.08,3.41,0.0,99.99
01/13/2022,36.3,60.28,3.42,0.0,100.0
01/14/2022,39.99,56.78,3.23,0.0,100.0
01/17/2022,41.51,55.35,3.14,0.0,100.0
01/18/2022,40.25,0.0,3.21,56.54,100.0
01/19/2022,40.25,0.0,3.21,56.54,100.0
01/20/2022,40.25,0.0,3.21,56.54,100.0
01/21/2022,40.49,56.31,3.2,0.0,100.0
01/24/2022,41.29,55.56,3.16,0.0,100.00999999999999
