,KIO.JO,ARI.JO,CHG.BK,5609,042700.KS,2108.TW,ISMEN.IS,CHMF.ME,TRU.JO,IMP.JO,3014.TW,GAZP.ME,3515.TW,BHP.L,LKOH.ME,DHAMPURSUG.NS,3026.TW,6203,8081.TW,NLMK.ME,HSIL.NS,BALRAMCHIN.NS,REDINGTON.NS,Us Dollars,SIBN.ME,PHILIPCARB.NS,POLYPLEX.NS,3679.TW,VEDL.NS,9979.HK,8016.TW,083420.KS,EREGL.IS,069260.KS,MAGN.ME,2428.TW,347.HK,1171.HK,096240.KQ,003070.KS,003410.KS,VALE3.SA,RLO.JO,MTH.JO,3044.TW,SBER.ME,2377.TW,5434.TW,TELEC.PR,AFE.JO,6176.TW,1378.HK,2478.TW,046440.KQ,RBP.JO,011780.KS,FEES.ME,6214.TW,8210.TW,OGKB.ME,ECZYT.IS,TOASO.IS,009680.KS,867.HK,CAML3.SA,2198.HK,3808.HK,2548.TW,DOAS.IS,2385.TW,337.HK,3339.HK,1088.HK,548.HK,3328.HK,UPRO.ME,2357.TW,2451.TW,TISCO.BK,1234.HK,2474.TW,ENJSA.IS,BELU.ME,BOGOTA.BC,576.HK,468.HK,IRAO.ME,EXX.JO,2376.TW,2421.TW,6198.HK,AQE.,819.HK,SNP.L,CHG.BK.1,028260.KS,546.HK,3413.TW,SHI,3323.HK,CHG.BK.2,CHG.BK.3,CHG.BK.4,CHG.BK.5,CHG.BK.6,CHG.BK.7,ISMEN.E.IS,EREGL.E.IS,TOASO.E.IS,ECZYT.E.IS,DOAS.E.IS,ENJSA.E.IS,3617.TW,SECLEND,SUM
07/09/2021,2.4,2.39,1.95,1.9,1.87,1.79,1.79,1.58,1.57,1.48,1.47,1.43,1.41,1.4,1.38,1.33,1.29,1.28,1.27,1.24,1.24,1.22,1.22,1.2,1.18,1.17,1.17,1.16,1.16,1.16,1.15,1.14,1.12,1.1,1.1,1.1,1.09,1.09,1.06,1.06,1.05,1.05,1.04,1.02,1.0,1.0,0.94,0.94,0.94,0.93,0.93,0.92,0.91,0.89,0.88,0.88,0.86,0.84,0.83,0.82,0.82,0.81,0.81,0.8,0.8,0.79,0.79,0.79,0.74,0.73,0.72,0.7,0.7,0.7,0.7,0.69,0.69,0.68,0.67,0.67,0.67,0.67,0.66,0.65,0.64,0.61,0.61,0.6,0.6,0.59,0.57,0.54,0.54,0.52,0.48,0.47,0.46,0.44,0.41,0.36,0.23,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,1.38,2.72,0.0,1.53,1.92,1.62,0.0,1.83,1.7,1.6,1.52,1.45,1.27,1.54,1.29,1.24,1.18,1.22,1.54,1.42,1.25,1.32,1.39,0.0,1.14,1.38,1.3,0.99,1.36,1.1,1.45,1.16,0.0,1.17,1.29,1.24,1.22,1.25,1.09,1.05,1.02,1.0,0.98,0.97,0.9,1.02,0.92,0.98,0.95,0.99,0.8,0.93,0.9,0.87,0.96,0.82,0.79,0.82,0.84,0.76,0.0,0.0,0.74,0.64,0.73,0.75,0.68,0.8,0.0,0.76,0.55,0.71,0.7,0.7,0.61,0.7,0.66,0.66,0.65,0.66,0.7,0.0,0.65,0.62,0.62,0.63,0.58,0.64,0.57,0.58,0.54,0.5,0.61,0.47,0.0,0.5,0.47,0.44,0.38,0.34,0.0,0.0,0.0,0.0,0.0,0.0,1.74,1.3,0.89,0.86,0.8,0.68,0.45,0.0,96.6
