,PTLC,PTBD,PTMC,PTNQ,Pacer Trendpilot International ETF,URC.V,PTIN,Pacer Trendpilot™ US Mid Cap ETF,ELPE.AT,n/a,BIDI11.SA,USBFS03,SUM
07/09/2021,20.07,20.04,20.02,19.97,19.79,0.11,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,20.18,20.05,0.0,20.07,0.0,0.0,19.83,19.81,0.06,0.0,0.0,0.0,100.0
07/13/2021,20.18,20.05,0.0,20.07,0.0,0.0,19.83,19.81,0.06,0.0,0.0,0.0,100.0
07/14/2021,20.12,20.12,0.0,20.12,0.0,0.0,19.8,19.78,0.06,0.0,0.0,0.0,100.0
07/15/2021,20.22,19.93,0.0,20.04,0.0,0.0,19.91,19.84,0.06,0.0,0.0,0.0,100.0
07/16/2021,20.22,19.93,0.0,20.04,0.0,0.0,19.91,19.84,0.06,0.0,0.0,0.0,100.0
07/19/2021,20.24,19.98,0.0,20.12,0.0,0.0,19.92,19.68,0.06,0.0,0.0,0.0,100.0
07/20/2021,20.25,20.06,0.0,20.11,0.0,0.0,19.8,19.72,0.06,0.0,0.0,0.0,100.0
07/21/2021,20.19,20.16,0.0,20.14,0.0,0.0,19.76,19.68,0.06,0.0,0.0,0.0,99.99
07/22/2021,20.19,20.16,0.0,20.14,0.0,0.0,19.76,19.68,0.06,0.0,0.0,0.0,99.99
07/23/2021,20.19,20.16,0.0,20.14,0.0,0.0,19.76,19.68,0.06,0.0,0.0,0.0,99.99
07/26/2021,20.23,19.98,19.83,20.14,19.77,0.0,0.0,0.0,0.06,0.0,0.0,0.0,100.01
07/27/2021,20.23,19.98,19.83,20.14,19.77,0.0,0.0,0.0,0.06,0.0,0.0,0.0,100.01
07/28/2021,20.34,19.95,0.0,20.2,0.0,0.0,19.78,19.67,0.06,0.0,0.0,0.0,100.0
07/29/2021,20.34,19.95,0.0,20.2,0.0,0.0,19.78,19.67,0.06,0.0,0.0,0.0,100.0
07/30/2021,20.39,19.9,0.0,20.21,0.0,0.0,19.76,19.69,0.06,0.0,0.0,0.0,100.01
08/02/2021,20.32,19.94,0.0,20.17,0.0,0.0,19.78,19.72,0.06,0.0,0.0,0.0,99.99
08/03/2021,20.32,19.94,0.0,20.17,0.0,0.0,19.78,19.72,0.06,0.0,0.0,0.0,99.99
08/04/2021,20.32,19.94,0.0,20.17,0.0,0.0,19.78,19.72,0.06,0.0,0.0,0.0,99.99
08/05/2021,20.32,19.94,0.0,20.17,0.0,0.0,19.78,19.72,0.06,0.0,0.0,0.0,99.99
08/06/2021,20.3,19.9,0.0,20.08,0.0,0.0,19.93,19.73,0.06,0.0,0.0,0.0,100.0
08/09/2021,20.31,19.81,0.0,20.15,0.0,0.0,19.98,0.0,0.06,19.7,0.0,0.0,100.01
