,2SPY  211231C00003000,2IWM  211231C00196070,2QQQ  211231C00313750,Cash&Other,2SPY  211231C00396690,2QQQ  211231C00332880,2IWM  211231C00208020,SUM
07/09/2021,101.54,15.36,15.3,0.48,-10.72,-10.96,-11.01,99.99
07/12/2021,102.14,15.69,15.5,0.47,-11.3,-11.15,-11.36,99.98999999999998
07/13/2021,102.14,15.69,15.5,0.47,-11.3,-11.15,-11.36,99.98999999999998
07/14/2021,102.14,15.69,15.5,0.47,-11.3,-11.15,-11.36,99.98999999999998
07/15/2021,102.33,15.64,15.86,0.47,-11.62,-11.44,-11.24,100.0
07/16/2021,102.43,14.17,15.93,0.47,-11.47,-11.55,-9.99,99.99
07/19/2021,102.4,12.27,15.38,0.46,-11.22,-11.01,-8.28,100.0
07/20/2021,102.14,11.35,14.9,0.46,-10.72,-10.6,-7.53,100.00000000000004
07/21/2021,102.14,11.35,14.9,0.46,-10.72,-10.6,-7.53,100.00000000000004
07/22/2021,101.43,10.77,14.43,0.46,-9.85,-10.2,-7.05,99.99
07/23/2021,101.96,12.75,15.22,0.46,-10.84,-10.87,-8.69,99.99
07/26/2021,102.51,12.83,16.34,0.44,-11.46,-11.86,-8.81,99.99
