,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,TREASURY NOTE.3,TREASURY NOTE.4,TREASURY BOND,TREASURY NOTE.5,TREASURY NOTE.6,TREASURY NOTE.7,BLK CSH FND TREASURY SL AGENCY,T 2.25 08/15/27,T 0.5 08/31/27,T 1.5 01/31/27,T 2.25 11/15/27,T 2.25 02/15/27,T 2.375 05/15/27,T 0.625 11/30/27,T 0.625 12/31/27,United States Treasury Notes 0.5%,XTSLA,4282.T,n/a,T 0.5 05/31/27,SUM
07/09/2021,30.48,29.6,17.12,9.35,4.77,3.16,2.67,2.35,0.39,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
07/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.48,29.61,10.15,10.1,9.34,4.76,2.68,2.35,0.39,0.16,-0.03,0.0,0.0,99.99
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.49,29.62,10.15,10.1,9.34,4.76,2.68,2.35,0.39,0.12,0.01,0.0,0.0,100.01
08/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.52,29.64,10.08,10.11,9.35,4.77,2.68,2.35,0.0,0.09,0.03,0.39,0.0,100.01
09/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22,29.57,9.96,10.11,9.26,4.91,2.68,2.57,0.0,0.31,0.0,0.01,0.39,99.99
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,29.56,10.07,10.06,9.25,4.74,2.67,2.35,0.0,0.09,0.0,0.0,0.39,99.38
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22,29.57,9.97,10.11,9.27,4.92,2.68,2.56,0.0,0.31,0.0,0.01,0.39,100.01000000000002
