,QQQ,YSS.V,YSS.V.1,YSS.V.2,YSS.V.3,YSS.V.4,YSS.V.5,YSS.V.6,YSS.V.7,YSS.V.8,YSS.V.9,YSS.V.10,QQQ 12/15/23 C470 Equity,QQQ 12/16/22 C470 Equity,QQQ 12/16/22 P170 Equity,NDX 09/16/22 C19200 Index,NDX 09/16/22 P7000 Index,NDX 12/17/21 C16000 Index,NDX 03/18/22 C17000 Index,QQQ 06/17/22 P100 Equity,NDX 03/18/22 P7000 Index,QQQ 10/13/21 P345 Equity,NDX 12/17/21 P4000 Index,n/a,QQQ 12/16/22 P130 Equity,QQQ 10/20/21 P352 Equity,QQQ 10/27/21 P365 Equity,QQQ 11/03/21 P370 Equity,QQQ 11/19/21 P380 Equity,SUM
07/09/2021,98.63,0.42,0.37,0.17,0.14,0.11,0.07,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/14/2021,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.31,0.25,0.2,0.15,0.14,0.1,0.07,0.02,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,99.98
10/15/2021,98.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.29,0.25,0.19,0.15,0.11,0.09,0.07,0.02,0.0,0.0,-0.02,-0.09,0.04,0.0,0.0,0.0,100.0
10/18/2021,98.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.36,0.2,0.23,0.11,0.2,0.13,0.06,0.01,0.0,0.0,0.02,-0.07,0.0,0.0,0.0,0.0,99.99000000000002
10/19/2021,98.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.36,0.2,0.23,0.11,0.2,0.13,0.06,0.01,0.0,0.0,0.02,-0.07,0.0,0.0,0.0,0.0,99.99000000000002
10/20/2021,98.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.36,0.2,0.23,0.11,0.2,0.13,0.06,0.01,0.0,0.0,0.02,-0.07,0.0,0.0,0.0,0.0,99.99000000000002
10/21/2021,97.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.44,0.19,0.3,0.11,0.32,0.18,0.05,0.01,0.0,0.0,0.11,-0.07,0.0,0.0,0.0,0.0,99.98000000000002
10/22/2021,97.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.46,0.18,0.31,0.11,0.38,0.2,0.05,0.01,0.0,0.0,0.09,-0.08,0.0,0.02,0.0,0.0,100.01
10/25/2021,97.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.45,0.18,0.31,0.11,0.37,0.2,0.05,0.01,0.0,0.0,0.08,-0.07,0.0,0.02,0.0,0.0,100.0
10/26/2021,97.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.45,0.18,0.31,0.11,0.37,0.2,0.05,0.01,0.0,0.0,0.08,-0.07,0.0,0.02,0.0,0.0,100.0
10/27/2021,97.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.39,0.17,0.27,0.1,0.29,0.16,0.04,0.01,0.0,0.0,0.26,-0.07,0.0,0.01,0.0,0.0,99.99000000000002
10/28/2021,97.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.47,0.16,0.3,0.09,0.39,0.19,0.05,0.01,0.0,0.0,0.21,-0.06,0.0,0.0,0.0,0.0,100.02
10/29/2021,97.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.5,0.15,0.32,0.08,0.42,0.2,0.05,0.01,0.0,0.0,0.17,-0.06,0.0,0.0,0.03,0.0,100.0
11/01/2021,97.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.57,0.15,0.38,0.08,0.57,0.26,0.05,0.01,0.0,0.0,0.04,-0.06,0.0,0.0,0.01,0.0,100.0
11/02/2021,97.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.57,0.15,0.38,0.08,0.57,0.26,0.05,0.01,0.0,0.0,0.04,-0.06,0.0,0.0,0.01,0.0,100.0
11/03/2021,97.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.62,0.14,0.42,0.08,0.71,0.3,0.04,0.01,0.0,0.0,0.04,-0.06,0.0,0.0,0.0,0.0,99.99
11/04/2021,97.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.61,0.13,0.41,0.07,0.72,0.3,0.04,0.01,0.0,0.0,0.04,-0.05,0.0,0.0,0.0,0.0,100.0
11/05/2021,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.64,0.13,0.44,0.07,0.79,0.33,0.04,0.01,0.0,0.0,0.04,-0.05,0.0,0.0,0.0,0.0,100.01000000000002
11/08/2021,96.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.12,0.12,0.63,0.07,0.0,0.49,0.04,0.01,0.0,0.0,0.1,-0.05,0.0,0.0,0.0,0.0,100.01000000000002
11/09/2021,96.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,1.12,0.12,0.63,0.07,0.0,0.49,0.04,0.01,0.0,0.0,0.1,-0.05,0.0,0.0,0.0,0.0,100.01000000000002
11/10/2021,96.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.17,0.13,0.67,0.07,0.0,0.53,0.04,0.01,0.0,0.0,0.09,-0.06,0.0,0.0,0.0,0.02,100.01
11/11/2021,96.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.15,0.13,0.65,0.07,0.0,0.52,0.04,0.01,0.0,0.0,0.09,-0.06,0.0,0.0,0.0,0.01,99.99000000000002
11/12/2021,96.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.07,0.13,0.6,0.08,0.0,0.47,0.04,0.01,0.0,0.0,0.09,-0.06,0.0,0.0,0.0,0.02,100.0
11/15/2021,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.97,0.14,0.53,0.08,0.0,0.39,0.04,0.01,0.0,0.0,0.09,-0.06,0.0,0.0,0.0,0.02,100.02
11/16/2021,96.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.97,0.14,0.53,0.08,0.0,0.39,0.04,0.01,0.0,0.0,0.09,-0.06,0.0,0.0,0.0,0.02,100.02
11/17/2021,96.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,1.06,0.13,0.58,0.07,0.0,0.44,0.04,0.01,0.0,0.0,0.08,-0.06,0.0,0.0,0.0,0.01,100.00000000000001
