,IBM,CVX,VZ,DOW,MRK,KO,MMM,CSCO,WBA,AMGN,HD,MCD,PG,JNJ,JPM,TRV,INTC,HON,CAT,WMT,UNH,GS,AXP,MSFT,NKE,AAPL,V,Cash/Receivables/Payables,AGPXX,Securities Lending - Bnym,Interest/Overdraft,n/a,688008.SS,KD WI,SUM
07/09/2021,8.19,6.6,6.32,6.24,5.15,5.04,4.95,4.92,4.8,4.54,4.09,3.76,3.72,3.68,3.29,3.07,2.8,2.57,2.44,2.42,2.38,2.28,1.99,1.56,1.28,1.09,0.88,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/12/2021,8.27,6.55,6.22,6.3,5.09,5.05,5.0,4.94,4.73,4.52,4.09,3.77,3.72,3.68,3.31,3.09,2.76,2.61,2.46,2.41,2.37,2.27,2.0,1.54,1.27,1.1,0.87,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,8.27,6.55,6.22,6.3,5.09,5.05,5.0,4.94,4.73,4.52,4.09,3.77,3.72,3.68,3.31,3.09,2.76,2.61,2.46,2.41,2.37,2.27,2.0,1.54,1.27,1.1,0.87,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,8.27,6.55,6.22,6.29,5.09,5.04,5.0,4.94,4.73,4.52,4.09,3.77,3.72,3.68,3.31,3.09,2.76,2.61,2.46,2.41,2.37,2.26,2.0,1.54,1.27,1.1,0.87,0.0,0.02,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,8.22,6.55,6.23,6.3,5.06,5.04,4.97,4.89,4.74,4.5,4.08,3.77,3.72,3.67,3.36,3.11,2.8,2.62,2.47,2.4,2.39,2.32,2.02,1.54,1.28,1.1,0.87,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.04
07/16/2021,8.21,6.55,6.23,6.27,5.07,5.1,4.97,4.91,4.73,4.52,4.03,3.79,3.72,3.68,3.32,3.09,2.81,2.61,2.44,2.41,2.41,2.29,2.01,1.56,1.28,1.11,0.89,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,8.2,6.37,6.27,6.17,5.08,5.22,5.03,4.93,4.61,4.55,4.09,3.79,3.77,3.65,3.3,3.14,2.75,2.71,2.39,2.43,2.41,2.27,2.01,1.56,1.27,1.13,0.91,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.02999999999996
07/20/2021,8.17,6.25,6.31,6.03,5.13,5.26,5.0,4.97,4.62,4.61,4.11,3.79,3.84,3.67,3.26,3.18,2.73,2.7,2.37,2.44,2.43,2.24,1.99,1.57,1.27,1.12,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,8.17,6.25,6.31,6.03,5.13,5.26,5.0,4.97,4.62,4.61,4.11,3.79,3.84,3.67,3.26,3.18,2.73,2.7,2.37,2.44,2.43,2.24,1.99,1.57,1.27,1.12,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,8.17,6.25,6.31,6.03,5.13,5.26,5.0,4.97,4.62,4.61,4.11,3.79,3.84,3.67,3.26,3.18,2.73,2.7,2.37,2.44,2.43,2.24,1.99,1.57,1.27,1.12,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,99.98
07/23/2021,8.29,6.16,6.26,5.93,5.04,5.25,5.07,5.0,4.66,4.62,4.19,3.8,3.84,3.71,3.23,3.09,2.77,2.71,2.39,2.47,2.4,2.25,1.99,1.57,1.28,1.12,0.9,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,8.27,6.25,6.25,6.07,5.03,5.26,4.98,5.04,4.66,4.54,4.17,3.84,3.76,3.71,3.23,3.0,2.78,2.73,2.38,2.44,2.4,2.28,2.0,1.6,1.3,1.12,0.9,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,8.27,6.25,6.25,6.07,5.03,5.26,4.98,5.04,4.66,4.54,4.17,3.84,3.76,3.71,3.23,3.0,2.78,2.73,2.38,2.44,2.4,2.28,2.0,1.6,1.3,1.12,0.9,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,8.27,6.23,6.21,6.01,5.07,5.29,4.99,5.08,4.65,4.58,4.23,3.89,3.8,3.73,3.21,2.99,2.62,2.67,2.37,2.44,2.4,2.28,2.02,1.61,1.31,1.13,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,8.3,6.32,6.16,6.16,5.02,5.26,5.0,5.08,4.69,4.5,4.19,3.89,3.79,3.71,3.21,2.99,2.67,2.66,2.38,2.43,2.36,2.28,2.0,1.6,1.3,1.13,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,8.31,6.31,6.21,6.15,5.06,5.28,4.96,5.06,4.65,4.51,4.15,3.94,3.81,3.74,3.22,3.01,2.62,2.68,2.36,2.43,2.37,2.27,2.0,1.58,1.29,1.11,0.91,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
