,Payb Spdr S&P500 Etf Trus,Payb Spdr S&P 500 Etf Sw Ml,ULTR,Future on MSCI EAFE Index Future,Payb Ishares Msci Eafe Index Fund Swap,Dreyfus Instl Preferred Govt MMkt Instl,BHP.AX,1088.HK,HRL,IP,ECL,UPM.HE,TSN,RIO.L,NEM,2899.HK,STERV.HE,ABX.TO,SVT.L,AWK,TECK,FMG.AX,XOM,GLEN.L,XYL,HOLM B.ST,DOV,FCX,WPM.TO,VIE.PA,SCCO,CVX,NCM.AX,IEX,VALMT.HE,3861.T,SEV.PA,LPX,AEM.TO,RYDBF,NTR.TO,AWI,SPX.L,ADM,GIS,BLDR,WFG.TO,1898.HK,GGG,SSD,PPC,FBU.NZ,WTRG,POLY.L,SOL.AX,TTE.PA,836.HK,KL.TO,PNR,270.HK,SEB,MT.AS,UFPI,SAFM,KRZ.IR,2282.T,FRES.L,UU.L,F34.SI,K,BP.L,857.HK,K.TO,NUE,ANTO.L,PAAS.TO,CWK.L,1717.HK,ENB.TO,NVG.LS,EVN.AX,NST.AX,FM.TO,CAG,43.HK,PNN.L,D7N.,EQNR.OL,COP,UMI.BR,MFI.TO,SNPMF,FANG,2801.T,2802.T,CPB,IGO.AX,NESTE.HE,YAR.OL,FMC,1117.HK,5401.T,BELL.SW,2296.T,1610.HK,HL,BTO.TO,CHR.CO,MOS,EVR.L,5713.T,BG,FR.TO,NHY.OL,SLB,BOL.ST,1378.HK,EOG,YRI.TO,1818.HK,S32.AX,STLD,TRP.TO,EDV.TO,ENI.MI,MPC,SSRM,3799.HK,PSX,CNQ.TO,ILU.AX,KMI,RUAL.ME,SU.TO,VLO,RS,AGI.TO,MIN.AX,639.HK,WMB,OXY,LUN.TO,CG.TO,VOE.VI,POST,CLF,WHC.AX,INGR,PXD,Cash,TXG.TO,CDE,HES,OR.TO,AAK.ST,LUG.TO,OCI.AS,5411.T,OKE,968.HK,JBT,OZL.AX,ARCH,AA,HAL,FLO,NHC.AX,TATE.L,345.HK,IMO.TO,HCC,LNG,ELD.TO,PVG.TO,REP.MC,BKR,CEY.L,2002.T,KNT.TO,NDA.DE,2875.T,OMV.VI,WTE.TO,KEMIRA.HE,HAIN,WPL.AX,PBH.TO,RRL.AX,IMG.TO,GRG.L,SSL.TO,OGC.NE,2871.T,PPL.TO,1208.HK,EBRO.MC,NGD.TO,POG.L,HOC.L,JJSF,n/a,2212.T,UN01.DE,2809.T,SZU.DE,KWS.DE,RUN,2811.T,AKRBP.OL,2607.T,GALP.LS,BGS,EB5.SI,X,CMC,BFSA.DE,FXPO.L,NIC.AX,ATI,FVI.TO,DGCXX,SLVM WI,SUM
07/09/2021,5.33,5.33,5.22,5.11,5.11,4.68,3.45,3.19,2.91,2.88,2.87,2.81,2.79,2.56,2.26,2.06,1.96,1.69,1.38,1.31,1.17,1.16,1.1,1.02,1.0,0.98,0.95,0.95,0.92,0.9,0.89,0.82,0.79,0.76,0.74,0.73,0.72,0.72,0.7,0.68,0.65,0.65,0.65,0.64,0.63,0.61,0.61,0.61,0.61,0.59,0.58,0.54,0.53,0.52,0.51,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.46,0.45,0.43,0.43,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.99
09/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.47,0.0,1.47,0.91,1.08,1.02,1.67,3.49,1.13,1.18,0.74,0.88,0.53,0.54,0.0,1.32,3.61,1.65,0.39,0.37,0.38,1.41,0.51,0.35,1.31,2.86,0.42,0.26,0.25,0.22,0.25,0.25,0.35,2.62,2.32,0.2,0.27,2.14,2.04,0.26,0.23,0.0,0.21,0.19,0.43,0.18,0.19,0.26,0.0,1.87,0.0,0.29,0.19,0.17,0.29,0.78,0.15,0.28,1.67,0.27,0.25,0.16,1.27,1.26,1.34,1.33,0.19,0.67,0.53,0.16,0.18,0.13,1.2,0.11,0.15,0.16,0.41,0.95,0.19,0.08,0.56,1.15,0.94,0.45,0.16,1.01,0.76,1.13,1.07,0.82,0.16,0.99,0.76,0.74,0.12,0.42,0.13,0.13,0.11,0.1,0.11,0.71,0.74,0.31,0.31,0.68,0.09,0.34,0.63,0.26,0.31,0.56,0.1,0.09,0.3,0.3,0.66,0.1,0.67,0.62,0.09,0.51,0.49,0.59,0.28,0.52,0.29,0.43,0.46,0.21,0.07,0.19,0.0,0.46,0.38,0.17,0.06,0.2,0.41,0.2,0.0,0.38,0.36,0.0,0.05,0.05,0.32,0.05,0.38,0.06,0.34,0.22,0.33,0.41,0.34,0.15,0.0,0.17,0.29,0.3,0.0,0.29,0.21,0.29,0.0,0.34,0.04,0.05,0.28,0.3,0.04,0.32,0.03,0.1,0.29,0.28,0.0,0.03,0.24,0.23,0.26,0.03,0.03,0.26,0.03,0.03,0.23,0.24,0.11,0.21,0.0,0.03,0.03,0.2,0.3,0.25,0.23,0.22,0.21,0.19,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.1,0.08,0.08,0.07,0.06,0.05,0.0,0.0,0.0,101.14
09/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,1.49,0.92,1.1,1.01,1.65,3.41,1.12,1.21,0.72,0.88,0.54,0.55,0.0,1.32,3.61,1.65,0.39,0.36,0.39,1.36,0.51,0.35,1.27,2.86,0.41,0.27,0.24,0.22,0.25,0.25,0.36,2.62,2.36,0.2,0.27,2.18,2.12,0.26,0.23,0.0,0.22,0.19,0.43,0.18,0.2,0.25,0.0,1.85,0.0,0.29,0.2,0.17,0.28,0.77,0.15,0.28,1.68,0.27,0.25,0.16,1.26,1.29,1.35,1.27,0.19,0.66,0.53,0.16,0.18,0.13,1.22,0.11,0.14,0.15,0.39,0.96,0.2,0.08,0.54,1.14,0.94,0.44,0.16,0.98,0.78,1.15,1.1,0.83,0.16,0.98,0.76,0.77,0.12,0.43,0.13,0.14,0.1,0.1,0.11,0.73,0.74,0.31,0.31,0.68,0.09,0.35,0.61,0.26,0.36,0.57,0.1,0.09,0.3,0.3,0.67,0.1,0.68,0.62,0.09,0.53,0.48,0.58,0.27,0.52,0.32,0.44,0.45,0.21,0.07,0.18,0.0,0.46,0.38,0.16,0.06,0.2,0.42,0.19,0.0,0.38,0.37,0.0,0.05,0.05,0.32,0.05,0.38,0.06,0.34,0.21,0.33,0.41,0.35,0.14,0.0,0.17,0.28,0.3,0.0,0.29,0.21,0.3,0.0,0.34,0.04,0.05,0.28,0.31,0.04,0.32,0.03,0.1,0.3,0.28,0.0,0.03,0.24,0.23,0.26,0.03,0.03,0.26,0.03,0.03,0.24,0.24,0.11,0.21,0.0,0.03,0.03,0.2,0.31,0.26,0.24,0.22,0.21,0.18,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.09,0.08,0.07,0.07,0.06,0.05,0.0,0.0,0.0,101.20000000000002
09/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,1.48,0.91,1.08,1.01,1.62,3.46,1.11,1.28,0.71,0.87,0.54,0.54,0.0,1.35,3.59,1.66,0.39,0.36,0.38,1.38,0.51,0.35,1.3,2.85,0.41,0.26,0.24,0.22,0.25,0.25,0.35,2.62,2.33,0.19,0.28,2.18,2.11,0.25,0.23,0.0,0.22,0.19,0.43,0.18,0.19,0.25,0.0,1.83,0.0,0.29,0.2,0.17,0.28,0.77,0.15,0.27,1.64,0.27,0.25,0.16,1.28,1.28,1.34,1.28,0.18,0.66,0.55,0.16,0.18,0.13,1.21,0.11,0.14,0.15,0.39,0.95,0.2,0.08,0.57,1.15,0.94,0.44,0.16,0.98,0.77,1.15,1.11,0.83,0.16,0.97,0.76,0.77,0.12,0.42,0.13,0.14,0.1,0.1,0.11,0.72,0.74,0.32,0.32,0.68,0.09,0.36,0.61,0.27,0.37,0.56,0.1,0.09,0.31,0.29,0.67,0.1,0.67,0.61,0.09,0.52,0.48,0.58,0.28,0.52,0.32,0.44,0.45,0.21,0.07,0.19,0.0,0.46,0.38,0.16,0.06,0.19,0.41,0.19,0.0,0.38,0.38,0.0,0.05,0.05,0.31,0.05,0.37,0.06,0.34,0.21,0.33,0.42,0.35,0.15,0.0,0.18,0.28,0.3,0.0,0.29,0.21,0.3,0.0,0.34,0.04,0.05,0.28,0.32,0.04,0.32,0.03,0.1,0.31,0.28,0.0,0.03,0.24,0.23,0.26,0.03,0.03,0.26,0.03,0.03,0.24,0.24,0.12,0.21,0.0,0.03,0.03,0.2,0.31,0.26,0.24,0.22,0.21,0.18,0.15,0.15,0.14,0.14,0.12,0.12,0.12,0.09,0.08,0.08,0.07,0.06,0.05,0.0,0.0,0.0,101.20000000000002
09/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,1.48,0.91,1.08,1.01,1.62,3.46,1.11,1.28,0.71,0.87,0.54,0.54,0.0,1.35,3.59,1.66,0.39,0.36,0.38,1.38,0.51,0.35,1.3,2.85,0.41,0.26,0.24,0.22,0.25,0.25,0.35,2.62,2.33,0.19,0.28,2.18,2.11,0.25,0.23,0.0,0.22,0.19,0.43,0.18,0.19,0.25,0.0,1.83,0.0,0.29,0.2,0.17,0.28,0.77,0.15,0.27,1.64,0.27,0.25,0.16,1.28,1.28,1.34,1.28,0.18,0.66,0.55,0.16,0.18,0.13,1.21,0.11,0.14,0.15,0.39,0.95,0.2,0.08,0.57,1.15,0.94,0.44,0.16,0.98,0.77,1.15,1.11,0.83,0.16,0.97,0.76,0.77,0.12,0.42,0.13,0.14,0.1,0.1,0.11,0.72,0.74,0.32,0.32,0.68,0.09,0.36,0.61,0.27,0.37,0.56,0.1,0.09,0.31,0.29,0.67,0.1,0.67,0.61,0.09,0.52,0.48,0.58,0.28,0.52,0.32,0.44,0.45,0.21,0.07,0.19,0.0,0.46,0.38,0.16,0.06,0.19,0.41,0.19,0.0,0.38,0.38,0.0,0.05,0.05,0.31,0.05,0.37,0.06,0.34,0.21,0.33,0.42,0.35,0.15,0.0,0.18,0.28,0.3,0.0,0.29,0.21,0.3,0.0,0.34,0.04,0.05,0.28,0.32,0.04,0.32,0.03,0.1,0.31,0.28,0.0,0.03,0.24,0.23,0.26,0.03,0.03,0.26,0.03,0.03,0.24,0.24,0.12,0.21,0.0,0.03,0.03,0.2,0.31,0.26,0.24,0.22,0.21,0.18,0.15,0.15,0.14,0.14,0.12,0.12,0.12,0.09,0.08,0.08,0.07,0.06,0.05,0.0,0.0,0.0,101.20000000000002
09/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,1.48,0.91,1.06,0.97,1.64,3.44,1.1,1.32,0.68,0.86,0.53,0.53,0.0,1.34,3.64,1.66,0.38,0.34,0.37,1.36,0.5,0.35,1.28,2.87,0.41,0.26,0.24,0.22,0.24,0.24,0.34,2.65,2.31,0.19,0.27,2.2,2.1,0.25,0.22,0.0,0.21,0.19,0.43,0.18,0.19,0.24,0.0,1.86,0.0,0.3,0.19,0.17,0.28,0.76,0.15,0.27,1.62,0.27,0.25,0.16,1.24,1.28,1.36,1.33,0.18,0.63,0.55,0.16,0.18,0.13,1.2,0.11,0.14,0.16,0.38,0.95,0.2,0.07,0.6,1.16,0.96,0.43,0.16,0.99,0.79,1.14,1.1,0.83,0.16,0.98,0.75,0.76,0.11,0.43,0.13,0.14,0.1,0.1,0.11,0.71,0.74,0.32,0.32,0.68,0.09,0.35,0.64,0.26,0.38,0.58,0.1,0.09,0.31,0.28,0.68,0.1,0.68,0.62,0.09,0.52,0.48,0.59,0.28,0.51,0.34,0.45,0.46,0.21,0.07,0.19,0.0,0.46,0.4,0.16,0.06,0.19,0.41,0.18,0.0,0.38,0.38,0.0,0.06,0.05,0.32,0.05,0.37,0.06,0.34,0.21,0.33,0.41,0.34,0.15,0.0,0.18,0.29,0.3,0.0,0.28,0.2,0.31,0.0,0.34,0.04,0.05,0.28,0.32,0.04,0.32,0.03,0.1,0.31,0.28,0.0,0.0,0.24,0.23,0.25,0.03,0.03,0.26,0.03,0.04,0.24,0.24,0.12,0.21,0.0,0.03,0.03,0.2,0.3,0.26,0.24,0.22,0.21,0.18,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.09,0.08,0.07,0.07,0.06,0.05,0.03,0.0,0.0,101.12
09/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,1.48,0.9,1.07,0.97,1.63,3.4,1.11,1.27,0.68,0.87,0.54,0.54,0.0,1.32,3.62,1.65,0.39,0.34,0.37,1.35,0.5,0.35,1.28,2.84,0.41,0.26,0.23,0.23,0.25,0.24,0.35,2.66,2.28,0.2,0.27,2.19,2.12,0.25,0.22,0.0,0.21,0.19,0.43,0.18,0.19,0.24,0.0,1.88,0.0,0.3,0.19,0.17,0.28,0.75,0.15,0.27,1.62,0.27,0.25,0.16,1.25,1.3,1.36,1.4,0.18,0.62,0.54,0.16,0.18,0.13,1.2,0.11,0.14,0.16,0.38,0.95,0.2,0.08,0.58,1.17,0.96,0.42,0.16,1.0,0.77,1.16,1.11,0.83,0.16,0.97,0.77,0.76,0.11,0.43,0.13,0.14,0.1,0.1,0.11,0.72,0.74,0.31,0.32,0.68,0.09,0.35,0.63,0.26,0.37,0.58,0.1,0.09,0.31,0.28,0.68,0.1,0.69,0.62,0.09,0.51,0.47,0.58,0.29,0.51,0.33,0.44,0.46,0.21,0.07,0.19,0.0,0.47,0.39,0.16,0.06,0.19,0.41,0.18,0.0,0.38,0.38,0.0,0.06,0.05,0.32,0.05,0.37,0.06,0.34,0.22,0.33,0.41,0.34,0.16,0.0,0.17,0.29,0.3,0.0,0.28,0.21,0.31,0.0,0.34,0.04,0.05,0.29,0.32,0.04,0.33,0.03,0.1,0.32,0.29,0.0,0.0,0.24,0.24,0.25,0.03,0.03,0.26,0.03,0.04,0.24,0.24,0.11,0.21,0.0,0.03,0.03,0.2,0.3,0.26,0.24,0.23,0.21,0.18,0.15,0.15,0.15,0.14,0.12,0.12,0.12,0.09,0.08,0.08,0.07,0.06,0.05,0.03,0.0,0.0,101.18
09/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,1.49,0.9,1.06,0.93,1.66,3.19,1.09,1.16,0.65,0.83,0.54,0.53,0.0,1.12,3.71,1.62,0.39,0.33,0.36,1.3,0.47,0.33,1.25,2.9,0.4,0.26,0.23,0.22,0.25,0.24,0.34,2.67,2.39,0.2,0.27,2.29,2.15,0.25,0.23,0.0,0.21,0.19,0.44,0.18,0.19,0.24,0.0,1.92,0.0,0.29,0.2,0.17,0.29,0.75,0.15,0.28,1.61,0.27,0.24,0.16,1.26,1.31,1.39,1.45,0.18,0.62,0.54,0.16,0.17,0.13,1.21,0.11,0.14,0.15,0.36,0.97,0.19,0.07,0.55,1.18,1.01,0.4,0.16,1.0,0.85,1.2,1.13,0.84,0.16,0.93,0.76,0.75,0.11,0.4,0.13,0.14,0.1,0.09,0.11,0.71,0.79,0.31,0.31,0.72,0.09,0.36,0.65,0.25,0.34,0.63,0.1,0.08,0.31,0.28,0.69,0.1,0.7,0.64,0.09,0.52,0.48,0.58,0.26,0.52,0.34,0.46,0.47,0.21,0.07,0.18,0.0,0.48,0.41,0.15,0.06,0.18,0.42,0.18,0.0,0.39,0.39,0.0,0.05,0.04,0.33,0.05,0.37,0.05,0.37,0.21,0.35,0.4,0.36,0.15,0.0,0.18,0.3,0.3,0.0,0.27,0.21,0.3,0.0,0.33,0.04,0.05,0.3,0.32,0.04,0.33,0.03,0.1,0.32,0.29,0.0,0.03,0.25,0.25,0.26,0.03,0.03,0.26,0.03,0.04,0.24,0.25,0.11,0.21,0.0,0.03,0.03,0.2,0.0,0.27,0.24,0.23,0.22,0.19,0.15,0.15,0.15,0.15,0.13,0.13,0.12,0.09,0.08,0.07,0.06,0.06,0.05,0.02,0.0,0.0,100.71
09/22/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,1.49,0.9,1.06,0.93,1.66,3.19,1.09,1.16,0.65,0.83,0.54,0.53,0.0,1.12,3.71,1.62,0.39,0.33,0.36,1.3,0.47,0.33,1.25,2.9,0.4,0.26,0.23,0.22,0.25,0.24,0.34,2.67,2.39,0.2,0.27,2.29,2.15,0.25,0.23,0.0,0.21,0.19,0.44,0.18,0.19,0.24,0.0,1.92,0.0,0.29,0.2,0.17,0.29,0.75,0.15,0.28,1.61,0.27,0.24,0.16,1.26,1.31,1.39,1.45,0.18,0.62,0.54,0.16,0.17,0.13,1.21,0.11,0.14,0.15,0.36,0.97,0.19,0.07,0.55,1.18,1.01,0.4,0.16,1.0,0.85,1.2,1.13,0.84,0.16,0.93,0.76,0.75,0.11,0.4,0.13,0.14,0.1,0.09,0.11,0.71,0.79,0.31,0.31,0.72,0.09,0.36,0.65,0.25,0.34,0.63,0.1,0.08,0.31,0.28,0.69,0.1,0.7,0.64,0.09,0.52,0.48,0.58,0.26,0.52,0.34,0.46,0.47,0.21,0.07,0.18,0.0,0.48,0.41,0.15,0.06,0.18,0.42,0.18,0.0,0.39,0.39,0.0,0.05,0.04,0.33,0.05,0.37,0.05,0.37,0.21,0.35,0.4,0.36,0.15,0.0,0.18,0.3,0.3,0.0,0.27,0.21,0.3,0.0,0.33,0.04,0.05,0.3,0.32,0.04,0.33,0.03,0.1,0.32,0.29,0.0,0.03,0.25,0.25,0.26,0.03,0.03,0.26,0.03,0.04,0.24,0.25,0.11,0.21,0.0,0.03,0.03,0.2,0.0,0.27,0.24,0.23,0.22,0.19,0.15,0.15,0.15,0.15,0.13,0.13,0.12,0.09,0.08,0.07,0.06,0.06,0.05,0.02,0.0,0.0,100.71
09/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,1.49,0.9,1.06,0.93,1.66,3.19,1.09,1.16,0.65,0.83,0.54,0.53,0.0,1.12,3.71,1.62,0.39,0.33,0.36,1.3,0.47,0.33,1.25,2.9,0.4,0.26,0.23,0.22,0.25,0.24,0.34,2.67,2.39,0.2,0.27,2.29,2.15,0.25,0.23,0.0,0.21,0.19,0.44,0.18,0.19,0.24,0.0,1.92,0.0,0.29,0.2,0.17,0.29,0.75,0.15,0.28,1.61,0.27,0.24,0.16,1.26,1.31,1.39,1.45,0.18,0.62,0.54,0.16,0.17,0.13,1.21,0.11,0.14,0.15,0.36,0.97,0.19,0.07,0.55,1.18,1.01,0.4,0.16,1.0,0.85,1.2,1.13,0.84,0.16,0.93,0.76,0.75,0.11,0.4,0.13,0.14,0.1,0.09,0.11,0.71,0.79,0.31,0.31,0.72,0.09,0.36,0.65,0.25,0.34,0.63,0.1,0.08,0.31,0.28,0.69,0.1,0.7,0.64,0.09,0.52,0.48,0.58,0.26,0.52,0.34,0.46,0.47,0.21,0.07,0.18,0.0,0.48,0.41,0.15,0.06,0.18,0.42,0.18,0.0,0.39,0.39,0.0,0.05,0.04,0.33,0.05,0.37,0.05,0.37,0.21,0.35,0.4,0.36,0.15,0.0,0.18,0.3,0.3,0.0,0.27,0.21,0.3,0.0,0.33,0.04,0.05,0.3,0.32,0.04,0.33,0.03,0.1,0.32,0.29,0.0,0.03,0.25,0.25,0.26,0.03,0.03,0.26,0.03,0.04,0.24,0.25,0.11,0.21,0.0,0.03,0.03,0.2,0.0,0.27,0.24,0.23,0.22,0.19,0.15,0.15,0.15,0.15,0.13,0.13,0.12,0.09,0.08,0.07,0.06,0.06,0.05,0.02,0.0,0.0,100.71
