,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,TREASURY NOTE.3,TREASURY NOTE.4,TREASURY NOTE.5,TREASURY NOTE.6,TREASURY NOTE.7,TREASURY NOTE.8,BLK CSH FND TREASURY SL AGENCY,TREASURY NOTE.9,TREASURY NOTE.10,TREASURY NOTE.11,TREASURY NOTE.12,TREASURY NOTE.13,TREASURY NOTE.14,T 1.75 09/30/22,T 2.5 02/15/22,T 1.375 01/31/22,T 2 11/30/22,T 1.75 06/30/22,T 2 10/31/22,T 1.875 01/31/22,T 0.125 11/30/22,T 0.125 07/31/22,XTSLA,T 0.125 09/30/22,T 1.75 07/15/22,T 0.125 10/31/22,T 2.25 04/15/22,United States Treasury Notes 0.13%,T 0.125 05/31/22,4282.T,T 0.125 08/31/22,n/a,T 1.75 09.30.22,T 1.75 06.30.22,T 2 10.31.22,T 0.125 10.31.22,T 2 11.30.22,T 1.625 11.15.22,T 0.125 06.30.22,T 1.625 12.15.22,T 1.875 10.31.22,T 0.125 11.30.22,T 0.125 07.31.22,T 1.875 09.30.22,T 1.375 10.15.22,T 0.125 09.30.22,T 1.75 07.15.22,T 0.125 08.31.22,SUM
07/09/2021,18.14,17.58,15.21,10.11,10.0,8.9,5.9,4.06,4.02,1.48,1.28,1.21,0.79,0.67,0.39,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.14,17.57,15.21,10.11,10.0,8.9,5.9,4.06,4.02,1.48,1.28,1.2,0.79,0.67,0.39,0.26,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04,17.38,15.11,10.08,9.98,8.86,5.84,4.06,4.01,1.48,1.28,1.2,0.79,0.66,0.0,0.26,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.42
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,11.29,11.35,7.4,10.0,8.75,4.36,4.06,4.01,3.17,1.28,1.2,7.32,0.45,0.0,6.8,0.0,0.39,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,11.29,11.35,7.4,10.0,8.75,4.36,4.06,4.01,3.17,1.28,1.2,7.32,0.45,0.0,6.8,0.0,0.39,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
10/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,11.29,11.35,7.4,10.0,8.75,4.36,4.06,4.01,3.27,1.28,1.2,7.32,0.45,0.0,6.8,0.0,0.39,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
06/21/2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,17.84,12.37,8.56,7.3,7.22,6.69,4.65,4.48,4.16,4.04,4.02,3.5,2.89,1.28,1.19,0.39,99.99
