,4SPX  210930C02017740,4SPX  210930P04035480,4XSP  210930C00201770,4SPX  210930P03362900,4XSP  210930P00403550,4XSP  210930P00201770,4XSP  210930P00285850,4XSP  210930P00336290,Cash&Other,4SPX  210930P02017740,4XSP  210930C00403550,4XSP  210930C00376880,4SPX  210930P02858470,4SPX  210930C04035480,4SPX  210930C03768800,2SPY  220930C00003430,2SPY  220930P00429140,2SPY  220930C00468490,2SPY  220930P00364770,SUM
07/09/2021,122.38,1.47,1.12,0.35,0.01,0.0,0.0,0.0,-0.01,-0.07,-0.08,-0.14,-0.15,-9.26,-15.62,0.0,0.0,0.0,0.0,100.0
07/12/2021,123.89,1.35,1.13,0.32,0.01,0.0,0.0,0.0,-0.03,-0.07,-0.09,-0.15,-0.14,-9.9,-16.32,0.0,0.0,0.0,0.0,100.0
07/13/2021,123.89,1.35,1.13,0.32,0.01,0.0,0.0,0.0,-0.03,-0.07,-0.09,-0.15,-0.14,-9.9,-16.32,0.0,0.0,0.0,0.0,100.0
07/14/2021,123.89,1.35,1.13,0.32,0.01,0.0,0.0,0.0,-0.03,-0.07,-0.09,-0.15,-0.14,-9.9,-16.32,0.0,0.0,0.0,0.0,100.0
07/15/2021,124.7,1.25,1.14,0.29,0.01,0.0,0.0,0.0,-0.03,-0.06,-0.09,-0.15,-0.13,-10.23,-16.7,0.0,0.0,0.0,0.0,100.0
07/16/2021,123.92,1.38,1.13,0.31,0.01,0.0,0.0,0.0,-0.03,-0.06,-0.09,-0.15,-0.14,-9.93,-16.37,0.0,0.0,0.0,0.0,99.98
07/19/2021,123.65,1.4,0.93,0.3,0.01,0.0,0.0,0.0,-0.01,-0.05,-0.07,-0.12,-0.12,-9.76,-16.16,0.0,0.0,0.0,0.0,100.0
07/20/2021,121.76,1.62,0.91,0.35,0.01,0.0,0.0,0.0,-0.01,-0.06,-0.07,-0.11,-0.15,-8.97,-15.29,0.0,0.0,0.0,0.0,99.99
07/21/2021,121.76,1.62,0.91,0.35,0.01,0.0,0.0,0.0,-0.01,-0.06,-0.07,-0.11,-0.15,-8.97,-15.29,0.0,0.0,0.0,0.0,99.99
07/22/2021,118.91,2.16,0.89,0.49,0.02,0.0,0.0,0.0,-0.01,-0.11,-0.06,-0.11,-0.21,-7.94,-14.05,0.0,0.0,0.0,0.0,99.98
