,2EEM  220930C00000400,2EEM  220930P00050380,Cash&Other,2EEM  220930C00057380,2EEM  220930P00042820,SUM
10/15/2021,96.72,9.78,0.81,-2.96,-4.36,99.99
10/18/2021,97.89,8.54,0.8,-3.38,-3.85,100.0
10/19/2021,98.72,7.78,0.79,-3.7,-3.6,99.99
10/20/2021,98.72,7.78,0.79,-3.7,-3.6,99.99
10/21/2021,98.22,8.01,0.79,-3.38,-3.64,100.0
10/22/2021,98.69,7.63,0.78,-3.79,-3.31,100.0
10/25/2021,98.68,7.95,0.77,-3.91,-3.5,99.99
10/26/2021,98.27,7.88,0.77,-3.54,-3.38,100.0
10/27/2021,98.27,7.88,0.77,-3.54,-3.38,100.0
10/28/2021,98.72,7.53,0.77,-3.73,-3.28,100.01
10/29/2021,98.35,7.83,0.77,-3.5,-3.45,100.0
11/01/2021,97.92,7.84,0.74,-2.49,-4.02,99.99
11/02/2021,97.12,8.6,0.75,-2.7,-3.77,100.0
11/03/2021,97.12,8.6,0.75,-2.7,-3.77,100.0
11/04/2021,97.69,8.13,0.74,-3.07,-3.5,99.99
11/05/2021,96.94,8.58,0.74,-2.68,-3.59,99.98999999999998
11/08/2021,97.24,8.31,0.72,-2.69,-3.58,100.0
