,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust C 3.47,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust P 347.29,US Dollar,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust P 312.56,2021-10-15 SPDRu00ae S&P 500u00ae ETF Trust C 403.62,SUM
07/09/2021,108.01,0.54,0.5,-0.29,-8.76,100.0
07/12/2021,108.62,0.52,0.5,-0.29,-9.35,100.0
07/13/2021,108.62,0.52,0.5,-0.29,-9.35,100.0
07/22/2021,106.7,0.8,0.5,-0.44,-7.57,99.99
07/23/2021,106.7,0.8,0.5,-0.44,-7.57,99.99
08/03/2021,109.22,0.41,0.5,-0.22,-9.91,100.0
08/04/2021,109.22,0.41,0.5,-0.22,-9.91,100.0
08/05/2021,108.97,0.44,0.5,-0.24,-9.67,100.0
