,XOM,CVX,COP,EOG,SLB,MPC,PXD,PSX,KMI,WMB,VLO,OXY,OKE,HES,HAL,DVN,FANG,BKR,MRO,APA,GVMXX,COG,NOV,SSIXX,n/a,CTRA,SUM
08/31/2021,23.73,20.05,4.65,4.47,4.43,4.18,4.09,4.08,3.85,3.5,3.46,2.85,2.69,2.6,2.23,1.89,1.84,1.81,1.16,0.89,0.8,0.76,0.65,0.12,0.0,0.0,100.78
09/01/2021,23.73,20.05,4.65,4.47,4.43,4.18,4.09,4.08,3.85,3.5,3.46,2.85,2.69,2.6,2.23,1.89,1.84,1.81,1.16,0.89,0.8,0.76,0.65,0.12,0.0,0.0,100.78
11/30/2021,22.67,20.14,4.95,4.87,4.64,4.42,4.23,3.44,3.65,3.53,3.23,2.94,2.9,2.41,2.16,2.5,1.8,2.3,1.21,0.91,0.81,0.0,0.0,0.1,0.01,0.97,100.79
12/01/2021,22.67,20.14,4.95,4.87,4.64,4.42,4.23,3.44,3.65,3.53,3.23,2.94,2.9,2.41,2.16,2.5,1.8,2.3,1.21,0.91,0.81,0.0,0.0,0.1,0.01,0.97,100.79
