,Cash,Silver Future Sep21 - Cash Offset,Bloomberg Silver Subindex Swap - Ubs Ag - Cash Offset,Bloomberg Silver Subindex Swap - Goldman Sachs - Cash Offset,Bloomberg Silver Subindex Swap - Morgan Stanley - Cash Offset,Bloomberg Silver Subindex Swap - Citibank Na - Cash Offset,Bloomberg Silver Subindex Swap - Citibank Na,Bloomberg Silver Subindex Swap - Morgan Stanley,Bloomberg Silver Subindex Swap - Goldman Sachs,Bloomberg Silver Subindex Swap - Ubs Ag,Silver Future Sep21,SUM
07/09/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/12/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/13/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/14/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/15/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/16/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/19/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/20/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/21/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/22/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/23/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/26/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/27/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/28/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/29/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
07/30/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999996
08/02/2021,100.0,67.25,47.09,33.61,26.57,25.39,-25.39,-26.57,-33.61,-47.09,-67.25,99.99999999999997
