,4SPX  210730C01962760,4XSP  210730C00196280,4SPX  210730P03925510,4SPX  210730P03271260,4SPX  210730P01962760,4XSP  210730P00196280,4XSP  210730P00278060,4XSP  210730P00327130,4XSP  210730P00392550,4SPX  210730P02780570,Cash&Other,4XSP  210730C00392550,4XSP  210730C00362680,4SPX  210730C03925510,4SPX  210730C03626850,2SPY  220729C00003510,2SPY  220729P00438510,2SPY  220729C00473680,2SPY  220729P00372730,SUM
07/09/2021,129.89,1.12,0.19,0.03,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.1,-0.17,-11.45,-19.5,0.0,0.0,0.0,0.0,99.99000000000002
07/12/2021,131.45,1.13,0.16,0.02,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.11,-0.17,-12.19,-20.27,0.0,0.0,0.0,0.0,99.99
07/13/2021,131.45,1.13,0.16,0.02,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.11,-0.17,-12.19,-20.27,0.0,0.0,0.0,0.0,99.99
07/14/2021,131.45,1.13,0.16,0.02,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.11,-0.17,-12.19,-20.27,0.0,0.0,0.0,0.0,99.99
07/15/2021,132.38,1.14,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.11,-0.18,-12.61,-20.72,0.0,0.0,0.0,0.0,99.98999999999997
07/16/2021,131.54,1.14,0.12,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.11,-0.18,-12.2,-20.3,0.0,0.0,0.0,0.0,99.99999999999994
07/19/2021,130.84,1.13,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.1,-0.17,-11.82,-19.94,0.0,0.0,0.0,0.0,100.00000000000004
07/20/2021,128.94,1.11,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.09,-0.16,-10.89,-18.99,0.0,0.0,0.0,0.0,100.01000000000002
07/21/2021,128.94,1.11,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.09,-0.16,-10.89,-18.99,0.0,0.0,0.0,0.0,100.01000000000002
07/22/2021,125.77,1.09,0.18,0.02,0.0,0.0,0.0,0.0,0.0,-0.01,-0.03,-0.08,-0.15,-9.37,-17.41,0.0,0.0,0.0,0.0,100.01
07/23/2021,129.3,1.12,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.1,-0.17,-11.04,-19.16,0.0,0.0,0.0,0.0,99.99000000000008
07/26/2021,131.68,1.14,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.11,-0.18,-12.18,-20.33,0.0,0.0,0.0,0.0,100.0
07/27/2021,133.76,1.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.11,-0.18,-13.21,-21.37,0.0,0.0,0.0,0.0,99.99999999999994
07/28/2021,133.76,1.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.11,-0.18,-13.21,-21.37,0.0,0.0,0.0,0.0,99.99999999999994
07/29/2021,134.57,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.12,-0.19,-13.61,-21.77,0.0,0.0,0.0,0.0,99.98999999999998
07/30/2021,133.4,1.15,0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.08,-0.11,-0.18,-13.01,-21.18,0.0,0.0,0.0,0.0,99.98999999999998
08/02/2021,133.68,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.18,-0.29,-13.42,-21.55,0.0,0.0,0.0,0.0,99.98000000000002
08/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,97.86,7.64,-2.72,-3.62,99.98
08/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,97.86,7.64,-2.72,-3.62,99.98
08/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,97.94,7.72,-2.79,-3.66,100.01
08/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,98.2,7.37,-2.93,-3.46,99.99
08/10/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,98.39,7.08,-2.95,-3.32,100.0
08/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,98.39,7.08,-2.95,-3.32,100.0
08/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,98.43,7.21,-3.02,-3.4,100.01
08/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,98.73,6.91,-3.18,-3.23,99.99
08/17/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,98.59,6.85,-3.17,-3.05,100.0
08/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,98.59,6.85,-3.17,-3.05,100.0
08/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,99.03,6.74,-3.4,-3.15,100.0
08/20/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,98.73,7.1,-3.22,-3.39,99.99
08/23/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,98.2,7.66,-2.95,-3.69,99.98
08/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,98.58,7.25,-3.14,-3.46,99.99
08/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,98.58,7.25,-3.14,-3.46,99.99
08/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,99.15,6.68,-3.41,-3.17,100.01000000000002
08/27/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,99.21,6.74,-3.48,-3.23,99.98999999999998
08/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,98.99,6.95,-3.36,-3.32,99.99
08/31/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,99.42,6.45,-3.58,-3.02,100.0
09/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,99.42,6.45,-3.58,-3.02,100.0
09/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,99.8,6.26,-3.85,-2.94,100.0
09/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,99.81,6.31,-3.84,-3.0,100.0
09/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,99.89,6.22,-3.9,-2.94,99.97999999999999
