,SQ,SHOP,PYPL,SE,Z,TWLO,JD,MELI,PINS,ADYEN,COIN,TCEHY,FB,3690,DOCU,OPEN,4689,PDD,ICE,TCS.L,SI,6060,INTU,WDAY,SNAP,1833,DKNG,BEKE,BABA,9923,AMZN,PATH,DSY,TDOC,LC,BILL,STNE,4477,SCHW,KSPI,GOOG,HDB,DREYFUS GOVT CASH MAN INS,SOUTH AFRICAN RAND,FTCH,HOOD,ETSY,TOST,TWTR,GLBE,NU,PLTR,CND,n/a,SUM
07/09/2021,10.37,6.09,4.79,4.61,4.57,3.71,3.51,3.4,3.36,3.31,3.29,2.78,2.58,2.58,2.58,2.46,2.34,2.15,2.11,1.93,1.9,1.85,1.84,1.71,1.7,1.65,1.45,1.43,1.37,1.3,1.17,1.13,1.12,1.1,1.09,1.06,1.02,1.0,0.89,0.58,0.49,0.49,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,10.2,5.96,4.97,4.21,4.47,3.72,3.54,3.43,3.27,3.37,3.51,2.7,2.6,2.45,2.66,2.34,2.46,2.12,2.17,1.94,1.84,1.83,1.91,1.75,1.57,1.61,1.39,1.36,1.33,1.23,1.22,1.73,1.15,1.09,1.11,1.1,0.99,1.0,0.88,0.58,0.5,0.5,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,10.2,5.96,4.97,4.21,4.47,3.72,3.54,3.43,3.27,3.37,3.51,2.7,2.6,2.45,2.66,2.34,2.46,2.12,2.17,1.94,1.84,1.83,1.91,1.75,1.57,1.61,1.39,1.36,1.33,1.23,1.22,1.73,1.15,1.09,1.11,1.1,0.99,1.0,0.88,0.58,0.5,0.5,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,10.25,5.97,4.96,4.27,4.44,3.72,3.6,3.43,3.25,3.38,3.58,2.77,2.59,2.51,2.6,2.32,2.34,2.13,2.14,1.91,1.91,1.89,1.87,1.74,1.63,1.6,1.39,1.4,1.34,1.25,1.19,1.7,1.15,1.07,1.11,1.09,0.96,0.97,0.89,0.57,0.49,0.49,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,10.33,5.98,5.02,4.28,4.41,3.74,3.46,3.37,3.1,3.45,3.5,2.68,2.61,2.57,2.61,2.4,2.41,2.12,2.15,1.95,1.84,1.96,1.88,1.72,1.61,1.65,1.39,1.3,1.34,1.28,1.19,1.65,1.14,1.06,1.11,1.09,0.95,0.99,0.91,0.59,0.5,0.49,0.15,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,10.31,6.11,5.01,4.38,4.28,3.72,3.24,3.44,3.07,3.47,3.45,2.79,2.62,2.67,2.58,2.21,2.42,2.16,2.15,1.89,1.77,1.95,1.89,1.7,1.6,1.64,1.36,1.36,1.38,1.28,1.19,1.61,1.09,1.05,1.08,1.1,0.94,0.96,0.91,0.59,0.5,0.49,0.15,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/19/2021,10.24,5.92,5.03,4.27,4.15,3.57,3.31,3.42,3.04,3.56,3.25,2.92,2.61,2.68,2.57,2.15,2.62,2.18,2.18,1.89,1.69,2.33,1.91,1.7,1.54,1.71,1.3,1.37,1.44,1.3,1.2,1.51,1.12,1.02,1.06,1.05,0.89,0.96,0.92,0.6,0.51,0.51,0.3,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/20/2021,10.24,5.92,5.03,4.27,4.15,3.57,3.31,3.42,3.04,3.56,3.25,2.92,2.61,2.68,2.57,2.15,2.62,2.18,2.18,1.89,1.69,2.33,1.91,1.7,1.54,1.71,1.3,1.37,1.44,1.3,1.2,1.51,1.12,1.02,1.06,1.05,0.89,0.96,0.92,0.6,0.51,0.51,0.3,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/21/2021,10.41,5.96,5.03,4.28,4.15,3.68,3.28,3.45,3.0,3.61,3.28,2.89,2.6,2.7,2.63,2.09,2.56,2.13,2.2,1.92,1.62,2.23,1.92,1.7,1.52,1.65,1.28,1.38,1.43,1.25,1.18,1.52,1.14,1.03,1.04,1.07,0.88,0.95,0.9,0.59,0.52,0.51,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.91
07/22/2021,10.32,6.13,5.08,4.4,4.21,3.75,3.25,3.44,3.14,3.55,3.37,2.85,2.59,2.59,2.72,2.07,2.6,2.09,2.2,1.88,1.61,2.14,1.93,1.71,1.54,1.66,1.32,1.32,1.42,1.27,1.19,1.55,1.1,1.07,1.01,1.12,0.87,0.98,0.63,0.59,0.51,0.48,0.26,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
