,AAPL,MSFT,GOOG,AMZN,FB,UNH,V,TGT,SPGI,JPM,LRCX,MA,FIS,TMO,BLK,HD,ABBV,MDT,ACN,CAT,ADI,FAST,PAYX,DG,BRK.B,LMT,COST,ANTM,SBUX,BAC,AVGO,UNP,NEE,VZ,BR,MMC,PEP,ZTS,TXN,JNJ,AWK,AMT,PGR,SYK,PXD,MRK,LHX,CMCSA,PLD,BAH,PG,NEM,DIS,ABT,CVX,LIN,USB,XOM,SHW,WMT,MAR,ATVI,DVN,TSLA,FDX,UAL,DRI,WY,FCX,Cboe S&P Cll Opt 7/21 4300,Option on S&P 500 PR,Marriott Cll Opt 7/21 155,Fedex Co Cll Opt 7/21 320,United A Cll Opt07/21 58.0 Cal,United A Cll Opt 7/21 60,Prologis Cll Opt 7/21 125,American Cll Opt 7/21 280,Pepsico Cll Opt 7/21 155,Disney W Cll Opt 7/21 190,Activisi Cll Opt 7/21 100,Amazon C Cll Opt 7/21 3650,Wal-Mart Cll Opt 7/21 145,Darden R Cll Opt 7/21 155,Anthem I Cll Opt 7/21 400,Linde Pl Cll Opt 7/21 300,Merck & 7/21 80.0 Cal,Stryker Cll Opt 7/21 270,Blackroc Cll Opt 7/21 930,Union Pa Cll Opt 7/21 230,Texas In Cll Opt 7/21 195,Costco W Cll Opt 7/21 405,Lam Rese Cll Opt 7/21 695,Caterpil Cll Opt 7/21 230,Amazon C Cll Opt 7/21 3600,Accentur Cll Opt 7/21 305,Tesla Mo Cll Opt 7/21 750,Target C Cll Opt 7/21 250,Fastenal Cll Opt 7/21 55,Devon En Ll Opt07/21 32.5 Cal,Paychex Cll Opt 7/21 110,Broadrid Cll Opt 7/21 165,Unitedhe Cll Opt 7/21 420,Analog D Cll Opt 7/21 175,Thermo F Cll Opt 7/21 520,Zoetis I Cll Opt 7/21 190,Apple In 142.0 Cal,S&P Glob Cll Opt 7/21 420,Jpmorgan Cll Opt 7/21 160,Apple In Cll Opt 7/21 140,Marsh & Cll Opt 7/21 140,Option on S&P 500 PR.1,Facebook Cll Opt 7/21 360,Microsof Cll Opt 7/21 270,Cboe S&P Cll Opt 7/21 4325,ICE,FANG,SPX 8 P4300,QQQ 8 P365,MRK 8 C82.5,AMT 8 C305,DRI 8 C160,FANG 8 C100,JPM 8 C165,ABT 8 C127,ZTS 8 C220,AMZN 8 C4000,HD 8 C355,LIN 8 C320,WMT 8 C150,AAPL 8 C165,PLD 8 C130,V 8 C260,LHX 8 C240,ADI 8 C180,MAR 8 C155,SPGI 8 C440,AWK 8 C175,NEE 8 C80,TMO 8 C560,PAYX 8 C115,TGT 8 C270,MMC 8 C145,DG 8 C230,QQQ 8 P340,SPX 8 P4100,SUM
07/09/2021,5.94,5.56,4.1,3.95,2.49,2.02,1.9,1.83,1.83,1.78,1.73,1.72,1.72,1.67,1.66,1.64,1.62,1.56,1.55,1.54,1.53,1.53,1.53,1.51,1.48,1.47,1.47,1.47,1.45,1.4,1.4,1.4,1.38,1.36,1.31,1.3,1.26,1.25,1.23,1.2,1.19,1.12,1.07,1.06,1.06,1.04,1.01,1.01,1.0,0.98,0.95,0.93,0.88,0.85,0.84,0.82,0.8,0.79,0.79,0.78,0.73,0.71,0.7,0.68,0.64,0.51,0.48,0.45,0.44,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.03,-0.03,-0.03,-0.03,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
10/01/2021,6.14,5.77,4.19,3.83,2.29,2.02,1.95,1.92,1.87,1.69,1.71,1.76,1.75,1.73,1.6,1.65,1.62,1.59,0.21,1.44,1.48,1.58,1.57,1.59,1.44,1.41,1.57,1.44,1.53,1.27,1.42,1.34,1.42,0.0,1.36,1.32,1.31,1.31,1.21,1.22,1.28,1.15,1.01,1.07,0.71,1.01,1.03,1.01,1.05,0.96,0.98,0.91,1.43,0.86,0.0,0.85,0.76,0.71,0.82,0.78,0.76,1.12,0.59,0.68,1.17,0.44,0.46,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.45,0.34,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.03,-0.03,-0.03,-0.04,-0.13,99.64
