,AAPL,MSFT,JNJ,HD,JPM,CSCO,LLY,AVGO,TXN,ORCL,PM,WMT,AMGN,TGT,UNH,AMT,IBM,MMM,PG,CMCSA,MO,VZ,ABBV,ATVI,ITW,NEE,PGR,EBAY,RMD,AON,PSA,TROW,MSI,TT,PAYX,LOW,NEM,EXR,EA,NEP,DLR,MAA,POOL,AFL,FAST,HPQ,KLAC,WWE,AY,DE,AOS,DUK,WMS,KNSL,CC,LII,WEC,CINF,IPG,OMC,WDFC,GGG,GLPI,BAH,SIRI,NXST,OHI,WSO,PEG,CLX,WSM,NLY,CF,TGNA,BBY,LPLA,FMC,HRB,NUS,MSM,ORI,GIS,VIRT,STX,AGNC,WU,LRCX,CHE,V,QCOM,IDA,AES,ROL,GILD,PFSI,SCCO,MRK,INTC,SMG,RPM,SO,Cash,D,MA,BAC,BPOP,COG,EXC,AMAT,CARR,SWKS,HSY,YUM,IP,DPZ,ARE,AJG,PPL,GRMN,TSCO,CHD,CUBE,IRM,LUMN,BRO,XOM,MPW,NWL,LSI,WPC,OGE,STWD,NYT,PKG,SCI,MKTX,ADC,TXRH,MGP,CCOI,NHI,FOXA,COR,DKS,ABT,PFE,KO,CBI.MI,TMO,NNN,OGN,CVX,CBI.MI.1,U.S. Dollar For Futures,E-mini S&P 500 Future Sept 21,SUM
07/09/2021,7.99,4.35,3.38,3.32,3.13,2.64,2.42,2.26,2.06,2.05,1.83,1.81,1.7,1.48,1.42,1.42,1.37,1.35,1.35,1.15,1.06,1.04,0.96,0.88,0.83,0.74,0.68,0.67,0.67,0.65,0.65,0.64,0.63,0.62,0.62,0.62,0.62,0.61,0.6,0.59,0.58,0.57,0.57,0.56,0.56,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.44,0.43,0.43,0.42,0.41,0.37,0.37,0.36,0.33,0.32,0.31,0.3,0.29,0.29,0.26,0.23,0.21,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.01,0.0,0.0,100.01
07/12/2021,8.23,4.37,3.37,3.31,3.07,2.62,2.43,2.26,2.03,2.15,1.79,1.8,1.66,1.48,1.42,1.44,1.36,1.34,1.35,1.15,1.04,1.03,0.97,0.86,0.83,0.75,0.68,0.67,0.68,0.65,0.66,0.64,0.63,0.63,0.63,0.62,0.62,0.63,0.6,0.59,0.59,0.59,0.57,0.56,0.57,0.55,0.55,0.53,0.54,0.53,0.53,0.53,0.53,0.53,0.5,0.53,0.53,0.52,0.51,0.51,0.53,0.53,0.51,0.53,0.51,0.49,0.51,0.52,0.51,0.51,0.5,0.49,0.48,0.47,0.46,0.47,0.47,0.48,0.48,0.49,0.47,0.48,0.47,0.47,0.46,0.47,0.45,0.46,0.46,0.45,0.46,0.45,0.45,0.43,0.43,0.41,0.41,0.36,0.36,0.36,0.33,0.34,0.31,0.3,0.28,0.28,0.25,0.23,0.2,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.04,0.0,0.04,0.02,0.02,0.02,0.0,0.04,0.01,100.02
07/13/2021,8.23,4.37,3.37,3.31,3.07,2.62,2.43,2.26,2.03,2.15,1.79,1.8,1.66,1.48,1.42,1.44,1.36,1.34,1.35,1.15,1.04,1.03,0.97,0.86,0.83,0.75,0.68,0.67,0.68,0.65,0.66,0.64,0.63,0.63,0.63,0.62,0.62,0.63,0.6,0.59,0.59,0.59,0.57,0.56,0.57,0.55,0.55,0.53,0.54,0.53,0.53,0.53,0.53,0.53,0.5,0.53,0.53,0.52,0.51,0.51,0.53,0.53,0.51,0.53,0.51,0.49,0.51,0.52,0.51,0.51,0.5,0.49,0.48,0.47,0.46,0.47,0.47,0.48,0.48,0.49,0.47,0.48,0.47,0.47,0.46,0.47,0.45,0.46,0.46,0.45,0.46,0.45,0.45,0.43,0.43,0.41,0.41,0.36,0.36,0.36,0.33,0.34,0.31,0.3,0.28,0.28,0.25,0.23,0.2,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.04,0.0,0.04,0.02,0.02,0.02,0.0,0.04,0.01,100.02
07/14/2021,8.24,4.33,3.37,3.29,3.11,2.64,2.42,2.3,2.03,2.19,1.8,1.8,1.67,1.48,1.42,1.44,1.37,1.35,1.35,1.14,1.05,1.02,0.97,0.85,0.83,0.74,0.68,0.66,0.66,0.64,0.66,0.64,0.63,0.63,0.64,0.62,0.62,0.63,0.59,0.57,0.6,0.6,0.58,0.55,0.57,0.55,0.55,0.52,0.52,0.52,0.52,0.53,0.53,0.52,0.51,0.51,0.53,0.52,0.52,0.51,0.51,0.52,0.52,0.52,0.51,0.5,0.52,0.51,0.51,0.5,0.5,0.49,0.48,0.47,0.46,0.47,0.48,0.49,0.47,0.49,0.47,0.47,0.46,0.47,0.46,0.47,0.45,0.45,0.45,0.45,0.46,0.44,0.45,0.42,0.43,0.42,0.41,0.36,0.36,0.35,0.33,0.38,0.31,0.3,0.28,0.28,0.25,0.23,0.2,0.19,0.19,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.04,0.0,0.04,0.02,0.02,0.02,0.0,0.04,0.01,99.98
07/15/2021,8.19,4.31,3.36,3.28,3.15,2.61,2.42,2.33,2.04,2.17,1.78,1.8,1.66,1.5,1.43,1.44,1.36,1.34,1.35,1.14,1.05,1.02,0.98,0.86,0.83,0.74,0.68,0.66,0.66,0.63,0.67,0.66,0.63,0.63,0.63,0.61,0.61,0.64,0.59,0.57,0.61,0.61,0.57,0.56,0.57,0.53,0.56,0.52,0.53,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.53,0.53,0.52,0.51,0.52,0.52,0.52,0.52,0.5,0.5,0.52,0.51,0.51,0.49,0.5,0.49,0.48,0.47,0.46,0.48,0.48,0.49,0.47,0.48,0.48,0.47,0.45,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.46,0.45,0.45,0.42,0.43,0.42,0.41,0.37,0.35,0.35,0.33,0.4,0.31,0.3,0.29,0.28,0.25,0.23,0.2,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.04,0.0,0.04,0.02,0.02,0.02,0.0,0.04,0.02,100.01
07/16/2021,8.3,4.39,3.37,3.25,3.12,2.63,2.43,2.33,2.05,2.18,1.77,1.81,1.67,1.51,1.45,1.44,1.37,1.34,1.35,1.14,1.04,1.03,0.98,0.86,0.84,0.74,0.67,0.66,0.67,0.63,0.66,0.64,0.63,0.63,0.64,0.61,0.61,0.63,0.6,0.57,0.6,0.6,0.57,0.55,0.57,0.52,0.56,0.52,0.53,0.53,0.53,0.54,0.53,0.51,0.5,0.51,0.53,0.52,0.51,0.5,0.51,0.52,0.52,0.53,0.5,0.49,0.51,0.51,0.51,0.49,0.5,0.47,0.47,0.46,0.46,0.47,0.48,0.48,0.47,0.48,0.46,0.47,0.44,0.47,0.45,0.47,0.46,0.46,0.46,0.45,0.46,0.43,0.45,0.42,0.42,0.42,0.41,0.37,0.35,0.35,0.33,0.37,0.31,0.31,0.28,0.28,0.26,0.23,0.21,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.04,0.0,0.04,0.02,0.02,0.02,0.0,0.04,0.01,99.99
07/19/2021,8.44,4.38,3.35,3.3,3.11,2.64,2.39,2.29,2.01,2.15,1.8,1.82,1.68,1.51,1.45,1.45,1.37,1.36,1.37,1.14,1.05,1.03,0.98,0.84,0.84,0.76,0.65,0.65,0.67,0.63,0.67,0.64,0.63,0.63,0.64,0.62,0.61,0.63,0.6,0.57,0.61,0.61,0.56,0.56,0.57,0.51,0.55,0.48,0.52,0.52,0.52,0.55,0.52,0.53,0.5,0.48,0.55,0.52,0.5,0.5,0.52,0.52,0.52,0.53,0.5,0.49,0.51,0.5,0.52,0.5,0.48,0.47,0.47,0.46,0.47,0.46,0.48,0.48,0.45,0.47,0.46,0.47,0.44,0.46,0.44,0.47,0.45,0.45,0.47,0.45,0.48,0.43,0.45,0.43,0.42,0.41,0.41,0.36,0.35,0.35,0.34,0.39,0.32,0.31,0.28,0.28,0.24,0.23,0.2,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.05,0.0,0.04,0.02,0.02,0.01,0.0,0.04,0.01,100.01
07/20/2021,8.44,4.38,3.35,3.3,3.11,2.64,2.39,2.29,2.01,2.15,1.8,1.82,1.68,1.51,1.45,1.45,1.37,1.36,1.37,1.14,1.05,1.03,0.98,0.84,0.84,0.76,0.65,0.65,0.67,0.63,0.67,0.64,0.63,0.63,0.64,0.62,0.61,0.63,0.6,0.57,0.61,0.61,0.56,0.56,0.57,0.51,0.55,0.48,0.52,0.52,0.52,0.55,0.52,0.53,0.5,0.48,0.55,0.52,0.5,0.5,0.52,0.52,0.52,0.53,0.5,0.49,0.51,0.5,0.52,0.5,0.48,0.47,0.47,0.46,0.47,0.46,0.48,0.48,0.45,0.47,0.46,0.47,0.44,0.46,0.44,0.47,0.45,0.45,0.47,0.45,0.48,0.43,0.45,0.43,0.42,0.41,0.41,0.36,0.35,0.35,0.34,0.39,0.32,0.31,0.28,0.28,0.24,0.23,0.2,0.2,0.19,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.05,0.0,0.04,0.02,0.02,0.01,0.0,0.04,0.01,100.01
07/21/2021,8.37,4.4,3.36,3.31,3.05,2.65,2.41,2.26,2.0,2.2,1.8,1.83,1.7,1.51,1.45,1.47,1.36,1.35,1.39,1.14,1.05,1.04,0.98,0.85,0.84,0.78,0.66,0.66,0.68,0.63,0.67,0.64,0.62,0.64,0.64,0.62,0.6,0.63,0.6,0.57,0.61,0.62,0.56,0.55,0.58,0.51,0.53,0.47,0.52,0.52,0.52,0.56,0.52,0.54,0.47,0.48,0.56,0.52,0.5,0.5,0.51,0.52,0.52,0.53,0.5,0.48,0.52,0.5,0.52,0.52,0.47,0.47,0.45,0.45,0.46,0.46,0.47,0.48,0.45,0.47,0.46,0.48,0.44,0.45,0.45,0.47,0.43,0.45,0.48,0.45,0.49,0.42,0.46,0.43,0.42,0.4,0.41,0.36,0.35,0.35,0.34,0.4,0.32,0.31,0.27,0.27,0.23,0.23,0.19,0.2,0.19,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.05,0.0,0.04,0.03,0.02,0.01,0.0,0.04,0.01,99.98
07/22/2021,8.37,4.4,3.36,3.31,3.05,2.65,2.41,2.26,2.0,2.2,1.8,1.83,1.7,1.51,1.45,1.47,1.36,1.35,1.39,1.14,1.05,1.04,0.98,0.85,0.84,0.78,0.66,0.66,0.68,0.63,0.67,0.64,0.62,0.64,0.64,0.62,0.6,0.63,0.6,0.57,0.61,0.62,0.56,0.55,0.58,0.51,0.53,0.47,0.52,0.52,0.52,0.56,0.52,0.54,0.47,0.48,0.56,0.52,0.5,0.5,0.51,0.52,0.52,0.53,0.5,0.48,0.52,0.5,0.52,0.52,0.47,0.47,0.45,0.45,0.46,0.46,0.47,0.48,0.45,0.47,0.46,0.48,0.44,0.45,0.45,0.47,0.43,0.45,0.48,0.45,0.49,0.42,0.46,0.43,0.42,0.4,0.41,0.36,0.35,0.35,0.34,0.4,0.32,0.31,0.27,0.27,0.23,0.23,0.19,0.2,0.19,0.17,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.12,0.13,0.12,0.13,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.07,0.07,0.06,0.05,0.0,0.04,0.03,0.02,0.01,0.0,0.04,0.01,99.98
