,FXFXX,SPY,SUM
11/24/2021,99.7,87.17,186.87
11/25/2021,99.7,87.17,186.87
11/26/2021,99.7,87.17,186.87
11/29/2021,99.7,87.17,186.87
11/30/2021,99.7,87.17,186.87
12/01/2021,99.7,87.17,186.87
12/02/2021,99.7,87.17,186.87
12/06/2021,99.7,87.17,186.87
12/07/2021,99.7,87.17,186.87
12/08/2021,99.7,87.17,186.87
12/09/2021,99.7,87.17,186.87
12/10/2021,99.7,87.17,186.87
12/13/2021,99.7,87.17,186.87
12/14/2021,99.7,87.17,186.87
12/15/2021,99.7,87.17,186.87
12/16/2021,99.7,87.17,186.87
12/17/2021,99.7,87.17,186.87
12/20/2021,99.7,87.17,186.87
12/21/2021,99.7,87.17,186.87
12/22/2021,99.7,87.17,186.87
12/23/2021,99.7,87.17,186.87
12/24/2021,99.7,87.17,186.87
12/27/2021,99.7,87.17,186.87
12/28/2021,99.7,87.17,186.87
12/29/2021,99.7,87.17,186.87
12/30/2021,99.7,87.17,186.87
12/31/2021,99.7,87.17,186.87
01/03/2022,99.7,87.17,186.87
01/03/2022,99.7,87.17,186.87
01/03/2022,99.7,87.17,186.87
