,JNJ,UNH,DXCM,MDT,ABT,ZTS,PODD,MRK,LLY,HZNP,ANTM,EW,ABBV,SYK,AMGN,CERN,TMO,CVS,DHR,BSX,HCA,ZBH,HUM,CI,BDX,IQV,GILD,n/a,CRL,TECH,A,WAT,BAX,WST,ALGN,ISRG,BIIB,LH,MCK,ALNY,VRTX,VEEV,IDXX,CNC,SGEN,RMD,STE,COO,DGX,HSIC,PKI,MTD,SUM
10/15/2021,9.1,8.02,4.9,4.83,4.83,4.12,3.79,3.36,3.18,3.12,3.1,2.6,2.5,2.49,2.44,2.04,2.04,2.01,2.01,2.0,1.97,1.96,1.63,1.52,1.51,1.29,1.27,1.19,1.04,1.02,1.0,0.99,0.99,0.98,0.96,0.84,0.78,0.75,0.74,0.53,0.53,0.53,0.5,0.5,0.49,0.49,0.28,0.26,0.25,0.25,0.24,0.22,99.98
10/18/2021,9.01,8.23,4.88,4.84,4.8,4.12,3.78,3.28,3.13,3.03,3.18,2.61,2.5,2.52,2.44,2.03,2.02,2.01,2.01,2.03,1.97,1.97,1.66,1.52,1.51,1.3,1.26,1.17,1.04,1.03,1.0,0.99,0.99,0.97,0.95,0.84,0.77,0.75,0.74,0.53,0.52,0.54,0.5,0.5,0.49,0.49,0.29,0.26,0.25,0.25,0.24,0.22,99.96
10/19/2021,9.01,8.23,4.88,4.84,4.8,4.12,3.78,3.28,3.13,3.03,3.18,2.61,2.5,2.52,2.44,2.03,2.02,2.01,2.01,2.03,1.97,1.97,1.66,1.52,1.51,1.3,1.26,1.17,1.04,1.03,1.0,0.99,0.99,0.97,0.95,0.84,0.77,0.75,0.74,0.53,0.52,0.54,0.5,0.5,0.49,0.49,0.29,0.26,0.25,0.25,0.24,0.22,99.96
