,INTC,AMAT,TGT,ANTM,AAPL,RIO.L,MU,939.HK,FDX,GM,INFY.NS,TXN,BHP.L,2317.TW,HUM,PGR,BIIB,MSFT,JCI,NXPI,EBAY,A,TROW,TEL,SNPS,CARR,EA,STLA.MI,ALL,ALXN,CDNS,HPQ,CTSH,RMD,9432.T,MNST,MTD,CMI,CTVA,1398.HK,6702.T,AD.AS,RIO.AX,ADM,SWKS,DHI,CSCO,CSU.TO,HCA,EPAM,ZBRA,FAST,FMG.AX,WST,MXIM,KEYS,GNRC,YUMC,PHIA.AS,WKL.AS,3988.HK,NUE,KR,MG.TO,STT,2303.TW,KSU,ML.PA,BBY,LH,2313.HK,ODFL,URI,CERN,BT.A.L,005490.KS,QRVO,WAT,HIG,IP,DOV,GIB.A.TO,GWW,TER,TSCO,TSN,GRMN,LOGN.SW,HZNP,7010.SR,000270.KS,EXPD,KNIN.SW,COO,2688.HK,2331.HK,1.HK,WPM.TO,POOL,ORA.PA,ALLY,AKAM,STX,HPE,MKTX,NVR,HFG.DE,RF,IEX,CINF,HOLX,PAH3.DE,STE,LB,ASM.AS,NTAP,DGX,MPWR,USD,TECH,CE,1113.HK,TXT,BIO,066570.KS,ON,RJF,6701.T,HRL,EMN,5802.T,6098.HK,ABMD,SJM,CGNX,BNR.DE,MOH,PHM,4578.T,1928.T,HCLTECH.NS,WHR,NN.AS,CTXS,AAP,SNPMF,MAS,WSP.TO,LKQ,PNDORA.CO,PKG,FBHS,JBHT,4151.T,288.HK,AMZN,UHR.SW,STLD,NDSN,MHK,UHS,CHRW,4183.T,FFIV,3034.TW,2333.HK,PNR,RHI,HSIC,2382.TW,BSY,JKHY,5201.T,SNA,JAZZ,BWA,OC,G24.DE,1093.HK,JNPR,BRO,SAM,DRREDDY.NS,NWSA,KGF.L,LII,6988.T,MAERSKA.CO,2357.TW,IVZ,VOW.,NRG,BOL.ST,TRI.TO,009150.KS,IMP.JO,5938.T,RAND.AS,017670.KS,LEA,HKD,REA.AX,KPN.AS,TW,MRW.L,7272.T,DISCK,FNF,9101.T,XTSLA,033780.KS,WIPRO.NS,VIPS,AQE.,KINV B.ST,ANSGR.IS,WU,SOF.BR,L.TO,BG,PSON.L,ROL,AOS,TECHM.NS,ALV,BBWI WI,968.HK,DVA,GL,NHY.OL,6923.T,BSL.AX,NWL,INR,TWD,KRW,GBP,2338.HK,3291.T,5332.T,1919.HK,8355.T,n/a,2020.SR,SUM
07/09/2021,2.34,1.92,1.87,1.45,1.4,1.39,1.37,1.13,1.12,1.1,1.09,0.98,0.94,0.88,0.88,0.87,0.86,0.82,0.79,0.77,0.72,0.71,0.68,0.67,0.65,0.64,0.63,0.61,0.61,0.6,0.6,0.56,0.56,0.55,0.55,0.55,0.52,0.52,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.4,0.39,0.39,0.38,0.38,0.38,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.18
07/12/2021,2.33,1.88,1.91,1.45,1.43,1.4,1.31,1.04,1.13,1.08,1.1,0.97,0.96,0.88,0.89,0.88,0.92,0.83,0.81,0.75,0.73,0.71,0.67,0.67,0.65,0.64,0.62,0.59,0.61,0.61,0.6,0.56,0.57,0.56,0.55,0.55,0.53,0.53,0.5,0.5,0.51,0.51,0.5,0.49,0.48,0.48,0.49,0.48,0.47,0.47,0.46,0.47,0.46,0.46,0.43,0.44,0.43,0.43,0.41,0.43,0.41,0.42,0.42,0.4,0.39,0.4,0.38,0.39,0.39,0.38,0.36,0.38,0.36,0.37,0.35,0.35,0.34,0.35,0.34,0.35,0.33,0.33,0.34,0.32,0.34,0.32,0.32,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.3,0.3,0.28,0.29,0.3,0.28,0.28,0.28,0.29,0.28,0.27,0.27,0.26,0.26,0.27,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.26,0.0,0.27,0.26,0.26,0.25,0.25,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.18,0.2,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.0,0.0,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.2,0.15,0.15,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.21000000000001
07/13/2021,2.33,1.88,1.91,1.45,1.43,1.4,1.31,1.04,1.13,1.08,1.1,0.97,0.96,0.88,0.89,0.88,0.92,0.83,0.81,0.75,0.73,0.71,0.67,0.67,0.65,0.64,0.62,0.59,0.61,0.61,0.6,0.56,0.57,0.56,0.55,0.55,0.53,0.53,0.5,0.5,0.51,0.51,0.5,0.49,0.48,0.48,0.49,0.48,0.47,0.47,0.46,0.47,0.46,0.46,0.43,0.44,0.43,0.43,0.41,0.43,0.41,0.42,0.42,0.4,0.39,0.4,0.38,0.39,0.39,0.38,0.36,0.38,0.36,0.37,0.35,0.35,0.34,0.35,0.34,0.35,0.33,0.33,0.34,0.32,0.34,0.32,0.32,0.32,0.31,0.32,0.3,0.31,0.31,0.31,0.3,0.3,0.28,0.29,0.3,0.28,0.28,0.28,0.29,0.28,0.27,0.27,0.26,0.26,0.27,0.25,0.26,0.25,0.26,0.25,0.26,0.26,0.26,0.26,0.0,0.27,0.26,0.26,0.25,0.25,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.18,0.2,0.19,0.2,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.0,0.0,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.2,0.15,0.15,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.21000000000001
07/14/2021,2.33,1.89,1.89,1.46,1.43,1.45,1.33,1.02,1.13,1.12,1.09,0.97,0.99,0.86,0.88,0.88,0.89,0.82,0.81,0.76,0.73,0.71,0.68,0.68,0.65,0.64,0.62,0.6,0.62,0.6,0.6,0.56,0.57,0.55,0.55,0.54,0.53,0.54,0.5,0.49,0.5,0.5,0.49,0.5,0.49,0.48,0.49,0.49,0.47,0.47,0.46,0.47,0.46,0.45,0.43,0.44,0.44,0.42,0.41,0.42,0.41,0.44,0.42,0.41,0.41,0.39,0.39,0.4,0.39,0.39,0.37,0.38,0.37,0.36,0.35,0.34,0.35,0.35,0.34,0.35,0.33,0.33,0.34,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.31,0.27,0.29,0.3,0.28,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.27,0.26,0.24,0.25,0.25,0.22,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.19,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.37
07/15/2021,2.33,1.89,1.89,1.46,1.43,1.45,1.33,1.02,1.13,1.12,1.09,0.97,0.99,0.86,0.88,0.88,0.89,0.82,0.81,0.76,0.73,0.71,0.68,0.68,0.65,0.64,0.62,0.6,0.62,0.6,0.6,0.56,0.57,0.55,0.55,0.54,0.53,0.54,0.5,0.49,0.5,0.5,0.49,0.5,0.49,0.48,0.49,0.49,0.47,0.47,0.46,0.47,0.46,0.45,0.43,0.44,0.44,0.42,0.41,0.42,0.41,0.44,0.42,0.41,0.41,0.39,0.39,0.4,0.39,0.39,0.37,0.38,0.37,0.36,0.35,0.34,0.35,0.35,0.34,0.35,0.33,0.33,0.34,0.32,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.31,0.27,0.29,0.3,0.28,0.29,0.28,0.29,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.0,0.27,0.26,0.24,0.25,0.25,0.22,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.16,0.16,0.16,0.16,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.19,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.37
07/16/2021,2.36,1.91,1.91,1.49,1.43,1.44,1.32,1.01,1.13,1.12,1.07,0.98,0.98,0.88,0.89,0.86,0.87,0.83,0.8,0.77,0.72,0.71,0.68,0.67,0.64,0.65,0.63,0.59,0.61,0.61,0.59,0.52,0.56,0.55,0.56,0.55,0.53,0.53,0.5,0.48,0.5,0.5,0.5,0.49,0.49,0.46,0.48,0.48,0.47,0.48,0.45,0.46,0.48,0.45,0.43,0.44,0.44,0.42,0.41,0.44,0.41,0.43,0.41,0.4,0.4,0.41,0.38,0.4,0.39,0.38,0.36,0.38,0.36,0.36,0.35,0.35,0.34,0.35,0.35,0.34,0.33,0.33,0.34,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.3,0.28,0.29,0.3,0.28,0.29,0.27,0.29,0.26,0.27,0.25,0.26,0.27,0.27,0.26,0.25,0.27,0.25,0.26,0.26,0.25,0.26,0.26,0.0,0.26,0.26,0.25,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.22,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.2,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.19,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.0,0.0,0.15,0.0,0.15,0.0,0.15,0.16,0.16,0.15,0.15,0.0,0.14,0.0,0.0,0.14,0.14,0.0,0.19,0.0,0.15,0.15,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.06
07/19/2021,2.33,1.87,1.92,1.48,1.47,1.46,1.3,1.02,1.13,1.09,1.1,0.96,0.99,0.9,0.9,0.84,0.81,0.83,0.81,0.74,0.71,0.71,0.68,0.67,0.64,0.66,0.62,0.58,0.6,0.59,0.59,0.52,0.56,0.55,0.55,0.56,0.53,0.53,0.49,0.49,0.49,0.5,0.51,0.49,0.49,0.46,0.49,0.49,0.48,0.48,0.44,0.47,0.49,0.45,0.43,0.44,0.43,0.42,0.41,0.44,0.41,0.43,0.42,0.39,0.4,0.42,0.38,0.39,0.4,0.38,0.36,0.38,0.37,0.36,0.35,0.35,0.34,0.35,0.35,0.33,0.34,0.33,0.34,0.32,0.34,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.33,0.32,0.28,0.3,0.29,0.28,0.29,0.28,0.29,0.27,0.26,0.25,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.26,0.27,0.25,0.26,0.26,0.0,0.26,0.26,0.25,0.25,0.25,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.23,0.22,0.23,0.23,0.21,0.21,0.22,0.23,0.21,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.18,0.16,0.16,0.15,0.0,0.0,0.15,0.14,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.14,0.0,0.0,0.0,0.14,0.14,0.0,0.2,0.0,0.15,0.0,0.14,0.0,0.0,0.15,0.0,0.14,0.0,0.15,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.07
07/20/2021,2.33,1.87,1.92,1.48,1.47,1.46,1.3,1.02,1.13,1.09,1.1,0.96,0.99,0.9,0.9,0.84,0.81,0.83,0.81,0.74,0.71,0.71,0.68,0.67,0.64,0.66,0.62,0.58,0.6,0.59,0.59,0.52,0.56,0.55,0.55,0.56,0.53,0.53,0.49,0.49,0.49,0.5,0.51,0.49,0.49,0.46,0.49,0.49,0.48,0.48,0.44,0.47,0.49,0.45,0.43,0.44,0.43,0.42,0.41,0.44,0.41,0.43,0.42,0.39,0.4,0.42,0.38,0.39,0.4,0.38,0.36,0.38,0.37,0.36,0.35,0.35,0.34,0.35,0.35,0.33,0.34,0.33,0.34,0.32,0.34,0.31,0.32,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.33,0.32,0.28,0.3,0.29,0.28,0.29,0.28,0.29,0.27,0.26,0.25,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.26,0.27,0.25,0.26,0.26,0.0,0.26,0.26,0.25,0.25,0.25,0.22,0.22,0.23,0.23,0.23,0.23,0.22,0.23,0.21,0.23,0.22,0.23,0.23,0.21,0.21,0.22,0.23,0.21,0.21,0.21,0.21,0.2,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.2,0.2,0.19,0.18,0.19,0.18,0.17,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.17,0.16,0.16,0.15,0.16,0.18,0.16,0.16,0.15,0.0,0.0,0.15,0.14,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.14,0.0,0.0,0.0,0.14,0.14,0.0,0.2,0.0,0.15,0.0,0.14,0.0,0.0,0.15,0.0,0.14,0.0,0.15,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.07
07/21/2021,2.31,1.81,1.92,1.49,1.46,1.41,1.28,1.03,1.12,1.07,1.09,0.96,0.98,0.91,0.92,0.86,0.81,0.84,0.81,0.73,0.72,0.71,0.68,0.66,0.65,0.66,0.63,0.58,0.61,0.59,0.6,0.52,0.56,0.57,0.56,0.56,0.54,0.53,0.49,0.49,0.49,0.51,0.51,0.49,0.49,0.46,0.49,0.48,0.48,0.48,0.44,0.47,0.49,0.46,0.42,0.44,0.44,0.42,0.41,0.45,0.42,0.42,0.43,0.39,0.41,0.41,0.38,0.39,0.39,0.38,0.34,0.38,0.36,0.35,0.35,0.35,0.34,0.36,0.35,0.33,0.34,0.33,0.34,0.31,0.34,0.32,0.33,0.3,0.31,0.31,0.31,0.31,0.31,0.3,0.33,0.32,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.28,0.26,0.26,0.26,0.25,0.26,0.26,0.25,0.26,0.26,0.0,0.27,0.26,0.25,0.25,0.25,0.22,0.21,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.18,0.18,0.19,0.19,0.2,0.19,0.18,0.19,0.18,0.17,0.18,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.18,0.18,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.14,0.0,0.15,0.0,0.15,0.14,0.15,0.15,0.16,0.15,0.16,0.14,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.15,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.05
07/22/2021,2.33,1.85,1.95,1.47,1.44,1.38,1.29,1.04,1.15,1.06,1.09,0.98,0.95,0.9,0.91,0.85,0.82,0.84,0.81,0.73,0.73,0.72,0.67,0.66,0.65,0.65,0.63,0.56,0.6,0.6,0.61,0.53,0.56,0.57,0.56,0.57,0.54,0.53,0.48,0.49,0.5,0.51,0.51,0.49,0.49,0.47,0.49,0.48,0.48,0.49,0.44,0.48,0.49,0.46,0.43,0.44,0.45,0.42,0.42,0.45,0.42,0.41,0.46,0.38,0.4,0.4,0.38,0.39,0.39,0.39,0.35,0.38,0.35,0.36,0.33,0.35,0.34,0.35,0.35,0.33,0.34,0.32,0.34,0.32,0.33,0.32,0.33,0.31,0.31,0.32,0.3,0.31,0.31,0.3,0.34,0.32,0.28,0.29,0.29,0.28,0.28,0.29,0.29,0.27,0.27,0.26,0.27,0.25,0.28,0.26,0.27,0.26,0.25,0.25,0.26,0.25,0.27,0.27,0.0,0.27,0.25,0.25,0.24,0.25,0.22,0.21,0.22,0.23,0.24,0.22,0.23,0.23,0.22,0.24,0.22,0.23,0.22,0.21,0.22,0.22,0.23,0.21,0.21,0.22,0.21,0.2,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.17,0.17,0.18,0.19,0.17,0.17,0.17,0.17,0.16,0.18,0.17,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.0,0.0,0.0,0.14,0.15,0.0,0.15,0.15,0.16,0.15,0.15,0.0,0.14,0.0,0.15,0.0,0.0,0.0,0.2,0.14,0.15,0.15,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.09
