,COST,RSG,WM,A,AJG,BRO,GRMN,PAYX,DOV,DHR,SHW,ARES,ZTS,NDAQ,OTIS,WST,AWK,EXPD,SO,LNT,AEE,CMS,IT,XYL,CERN,EW,DPZ,TTC,FDS,ORLY,BR,AEP,GGG,EFX,BLK,DG,CG,ITW,ICE,WAT,HRL,REGN,WEC,GD,MKC,JCI,IQV,APH,CPRT,ETN,RMD,GWW,ROK,LBRDK,AZO,CRL,ED,ETR,ES,SCI,ISRG,XEL,MSCI,VRSK,SSNC,EPAM,ATR,TT,STE,NDSN,AME,KEYS,TEL,BLL,MTD,NUE,ROP,ODFL,CSL,RPM,FAST,CSX,WTRG,IEX,HUBB,VRSN,BRKR,MNST,DVA,PEG,PPG,HON,PKI,IDXX,BIO,SYK,FRC,CAG,CARR,CBOE,EVRG,ATO,FTNT,FTV,MORN,BAX,UHAL,NEE,SJM,PPL,PKG,TRU,NSC,BKI,EMR,DTE,CTAS,LII,MASI,DLB,PNW,CCK,AFL,UNP,TSN,HCA,JBHT,SC,AVY,TW,CMG,CDW,CTSH,KSU,HUM,MAS,GNTX,RE,MKL,UGI,MANH,GPC,CABO,AMGN,RNR,JKHY,NVR,ADI,ZBRA,AOS,Y,ALLE,PPD,J,TSCO,SNPS,POOL,TRMB,ROL,LOW,AKAM,CPB,GL,DECK,STLD,RS,APO,WRB,ACGL,CE,FISV,TYL,SEIC,EHC,TDY,ANET,NVDA,LKQ,VMC,DE,FFIV,IP,PCTY,AVTR,DXCM,RHI,PCAR,FBHS,CHRW,LDOS,CINF,PWR,SCHW,SNA,HSIC,BG,CTLT,STX,HEI,FIS,FIVE,SYNH,VEEV,EMN,CGNX,AVGO,ATH,ALB,TFX,ERIE,NTAP,RGEN,FMC,NOW,IFF,MLM,SIVB,TSTXX,PAYC,MTN,KMI,KMX,WMB,LPLA,CF,TDG,CBRE,APTV,IBKR,D,AGR,ECL,FE,CNA,CNP,ZBH,WSO,FLT,PH,CSGP,VRTX,CAT,NEM,SYY,CTVA,WAB,IR,BMRN,CNC,MOH,n/a,CDNS,ROST,INCY,NWL,AMD,TREX,DLTR,CAH,PFG,ANSS,DHI,BLDR,SUM
08/27/2021,0.56,0.54,0.51,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.82
08/30/2021,0.56,0.54,0.51,0.5,0.49,0.49,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.45,0.44,0.43,0.43,0.44,0.43,0.44,0.43,0.42,0.42,0.42,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.38,0.36,0.37,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.36,0.35,0.36,0.35,0.36,0.35,0.35,0.35,0.36,0.35,0.35,0.34,0.35,0.35,0.35,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.34,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.31,0.31,0.3,0.31,0.3,0.29,0.3,0.3,0.3,0.29,0.3,0.3,0.29,0.3,0.29,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.87
08/31/2021,0.56,0.55,0.51,0.5,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.48,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.45,0.44,0.43,0.42,0.44,0.43,0.44,0.42,0.43,0.42,0.42,0.43,0.43,0.4,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.4,0.39,0.4,0.4,0.38,0.4,0.39,0.38,0.38,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.36,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.35,0.36,0.35,0.35,0.35,0.37,0.35,0.34,0.34,0.36,0.34,0.33,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.3,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.3,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.74000000000001
09/01/2021,0.56,0.55,0.51,0.5,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.48,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.45,0.44,0.43,0.42,0.44,0.43,0.44,0.42,0.43,0.42,0.42,0.43,0.43,0.4,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.4,0.39,0.4,0.4,0.38,0.4,0.39,0.38,0.38,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.36,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.35,0.36,0.35,0.35,0.35,0.37,0.35,0.34,0.34,0.36,0.34,0.33,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.3,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.3,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.74000000000001
09/02/2021,0.56,0.55,0.51,0.5,0.49,0.49,0.49,0.48,0.47,0.47,0.47,0.48,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.45,0.44,0.43,0.42,0.44,0.43,0.44,0.42,0.43,0.42,0.42,0.43,0.43,0.4,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.4,0.39,0.4,0.4,0.38,0.4,0.39,0.38,0.38,0.39,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.36,0.37,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.36,0.36,0.35,0.36,0.35,0.35,0.35,0.37,0.35,0.34,0.34,0.36,0.34,0.33,0.34,0.35,0.34,0.34,0.33,0.34,0.34,0.33,0.34,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.31,0.3,0.31,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.29,0.3,0.3,0.3,0.29,0.29,0.3,0.29,0.29,0.3,0.29,0.29,0.28,0.3,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.28,0.28,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.74000000000001
09/03/2021,0.56,0.55,0.52,0.51,0.49,0.49,0.5,0.48,0.48,0.48,0.47,0.48,0.46,0.47,0.46,0.45,0.45,0.46,0.44,0.44,0.44,0.44,0.45,0.44,0.42,0.43,0.44,0.43,0.44,0.42,0.43,0.42,0.43,0.43,0.42,0.4,0.42,0.41,0.42,0.42,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.4,0.4,0.4,0.4,0.38,0.4,0.39,0.37,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.39,0.38,0.38,0.39,0.37,0.37,0.38,0.38,0.37,0.37,0.36,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.36,0.35,0.35,0.36,0.36,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.37,0.35,0.35,0.35,0.36,0.34,0.33,0.34,0.35,0.34,0.33,0.33,0.34,0.34,0.33,0.34,0.32,0.33,0.32,0.33,0.33,0.32,0.32,0.33,0.34,0.32,0.33,0.32,0.32,0.33,0.31,0.32,0.31,0.32,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.31,0.3,0.31,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.3,0.29,0.29,0.3,0.3,0.29,0.29,0.3,0.29,0.3,0.3,0.29,0.29,0.28,0.3,0.29,0.28,0.29,0.28,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.0,0.28,0.0,0.28,0.28,0.28,0.0,0.0,0.0,0.28,0.28,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9
09/06/2021,0.57,0.55,0.52,0.5,0.49,0.49,0.49,0.47,0.47,0.48,0.47,0.49,0.46,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.42,0.43,0.44,0.42,0.45,0.42,0.42,0.43,0.42,0.44,0.42,0.4,0.43,0.41,0.42,0.42,0.41,0.41,0.41,0.4,0.41,0.4,0.41,0.4,0.4,0.39,0.4,0.39,0.4,0.4,0.38,0.4,0.4,0.38,0.39,0.39,0.39,0.39,0.4,0.39,0.37,0.38,0.39,0.38,0.39,0.39,0.37,0.39,0.37,0.38,0.38,0.35,0.37,0.38,0.37,0.36,0.37,0.36,0.38,0.36,0.36,0.37,0.37,0.36,0.35,0.36,0.34,0.35,0.36,0.35,0.36,0.36,0.35,0.35,0.36,0.35,0.35,0.35,0.36,0.35,0.36,0.36,0.35,0.35,0.33,0.35,0.36,0.35,0.33,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.33,0.33,0.33,0.32,0.32,0.33,0.33,0.32,0.33,0.32,0.32,0.33,0.31,0.32,0.31,0.32,0.31,0.3,0.32,0.32,0.32,0.31,0.32,0.31,0.3,0.32,0.31,0.3,0.31,0.31,0.3,0.31,0.31,0.3,0.3,0.31,0.31,0.3,0.31,0.3,0.3,0.3,0.3,0.28,0.28,0.29,0.31,0.29,0.28,0.29,0.29,0.3,0.3,0.3,0.29,0.0,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.29,0.3,0.28,0.28,0.0,0.28,0.28,0.0,0.28,0.0,0.27,0.28,0.28,0.29,0.28,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.28,0.28,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.93
09/07/2021,0.57,0.55,0.51,0.51,0.49,0.5,0.49,0.47,0.47,0.49,0.47,0.5,0.47,0.47,0.46,0.47,0.46,0.45,0.44,0.45,0.44,0.45,0.45,0.44,0.42,0.44,0.44,0.42,0.45,0.41,0.42,0.43,0.42,0.45,0.42,0.39,0.43,0.41,0.42,0.42,0.38,0.41,0.41,0.41,0.41,0.4,0.41,0.4,0.4,0.38,0.41,0.39,0.4,0.4,0.37,0.41,0.39,0.38,0.39,0.39,0.4,0.39,0.4,0.4,0.36,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.37,0.38,0.38,0.34,0.37,0.39,0.37,0.36,0.37,0.35,0.37,0.36,0.36,0.37,0.38,0.36,0.36,0.36,0.34,0.35,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.37,0.38,0.35,0.35,0.33,0.35,0.35,0.35,0.32,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.33,0.34,0.32,0.31,0.32,0.33,0.33,0.32,0.33,0.32,0.31,0.33,0.31,0.32,0.32,0.32,0.31,0.3,0.31,0.32,0.32,0.31,0.32,0.31,0.29,0.31,0.32,0.3,0.31,0.31,0.3,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.29,0.28,0.28,0.29,0.31,0.29,0.0,0.29,0.28,0.3,0.29,0.3,0.28,0.28,0.3,0.28,0.28,0.3,0.28,0.29,0.29,0.29,0.29,0.28,0.29,0.0,0.28,0.28,0.0,0.32,0.0,0.28,0.28,0.28,0.3,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.04
09/08/2021,0.57,0.55,0.51,0.51,0.49,0.5,0.49,0.47,0.47,0.49,0.47,0.5,0.47,0.47,0.46,0.47,0.46,0.45,0.44,0.45,0.44,0.45,0.45,0.44,0.42,0.44,0.44,0.42,0.45,0.41,0.42,0.43,0.42,0.45,0.42,0.39,0.43,0.41,0.42,0.42,0.38,0.41,0.41,0.41,0.41,0.4,0.41,0.4,0.4,0.38,0.41,0.39,0.4,0.4,0.37,0.41,0.39,0.38,0.39,0.39,0.4,0.39,0.4,0.4,0.36,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.37,0.38,0.38,0.34,0.37,0.39,0.37,0.36,0.37,0.35,0.37,0.36,0.36,0.37,0.38,0.36,0.36,0.36,0.34,0.35,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.37,0.38,0.35,0.35,0.33,0.35,0.35,0.35,0.32,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.33,0.34,0.32,0.31,0.32,0.33,0.33,0.32,0.33,0.32,0.31,0.33,0.31,0.32,0.32,0.32,0.31,0.3,0.31,0.32,0.32,0.31,0.32,0.31,0.29,0.31,0.32,0.3,0.31,0.31,0.3,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.29,0.28,0.28,0.29,0.31,0.29,0.0,0.29,0.28,0.3,0.29,0.3,0.28,0.28,0.3,0.28,0.28,0.3,0.28,0.29,0.29,0.29,0.29,0.28,0.29,0.0,0.28,0.28,0.0,0.32,0.0,0.28,0.28,0.28,0.3,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.04
09/09/2021,0.57,0.55,0.51,0.51,0.49,0.5,0.49,0.47,0.47,0.49,0.47,0.5,0.47,0.47,0.46,0.47,0.46,0.45,0.44,0.45,0.44,0.45,0.45,0.44,0.42,0.44,0.44,0.42,0.45,0.41,0.42,0.43,0.42,0.45,0.42,0.39,0.43,0.41,0.42,0.42,0.38,0.41,0.41,0.41,0.41,0.4,0.41,0.4,0.4,0.38,0.41,0.39,0.4,0.4,0.37,0.41,0.39,0.38,0.39,0.39,0.4,0.39,0.4,0.4,0.36,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.37,0.38,0.38,0.34,0.37,0.39,0.37,0.36,0.37,0.35,0.37,0.36,0.36,0.37,0.38,0.36,0.36,0.36,0.34,0.35,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.37,0.35,0.37,0.38,0.35,0.35,0.33,0.35,0.35,0.35,0.32,0.33,0.34,0.34,0.34,0.33,0.32,0.32,0.33,0.34,0.32,0.31,0.32,0.33,0.33,0.32,0.33,0.32,0.31,0.33,0.31,0.32,0.32,0.32,0.31,0.3,0.31,0.32,0.32,0.31,0.32,0.31,0.29,0.31,0.32,0.3,0.31,0.31,0.3,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.31,0.29,0.28,0.28,0.29,0.31,0.29,0.0,0.29,0.28,0.3,0.29,0.3,0.28,0.28,0.3,0.28,0.28,0.3,0.28,0.29,0.29,0.29,0.29,0.28,0.29,0.0,0.28,0.28,0.0,0.32,0.0,0.28,0.28,0.28,0.3,0.29,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.28,0.28,0.28,0.28,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.04
