,ALRM,WSO,AAXN,NMRK,PTCT,JLL,HSKA,PEN,GMED,HHC,FOXF,JBT,HQY,PCTY,GSHD,RARE,SMAR,PING,QTWO,CDLX,LSTR,TREX,STAG,MLAB,RADA,LASR,EVBG,UPLD,FTDR,USBFS04,000SDGR,GNTX,CLAR,NOG.UA,LOB,SUM
03/15/2022,5.28,5.07,4.93,4.87,4.33,4.3,4.29,4.15,3.81,3.79,3.71,3.69,3.59,3.5,3.46,3.35,3.34,3.24,2.92,2.91,2.88,2.74,2.72,2.59,2.33,2.22,1.77,1.36,1.31,0.82,0.73,0.0,0.0,0.0,0.0,100.0
03/25/2022,5.28,5.07,4.93,4.87,4.33,4.3,4.29,4.15,3.81,3.79,3.71,3.69,3.59,3.5,3.46,3.35,3.34,3.24,2.92,2.91,2.88,2.74,2.72,2.59,2.33,2.22,1.77,1.36,1.31,0.82,0.73,0.0,0.0,0.0,0.0,100.0
04/06/2022,5.28,5.07,4.93,4.87,4.33,4.3,4.29,4.15,3.81,3.79,3.71,3.69,3.59,3.5,3.46,3.35,3.34,3.24,2.92,2.91,2.88,2.74,2.72,2.59,2.33,2.22,1.77,1.36,1.31,0.82,0.73,0.0,0.0,0.0,0.0,100.0
05/03/2022,5.28,5.07,4.93,4.87,4.33,4.3,4.29,4.15,3.81,3.79,3.71,3.69,3.59,3.5,3.46,3.35,3.34,3.24,2.92,2.91,2.88,2.74,2.72,2.59,2.33,2.22,1.77,1.36,1.31,0.82,0.73,0.0,0.0,0.0,0.0,100.0
07/19/2022,5.28,5.07,4.93,4.87,4.33,4.3,4.29,4.15,3.81,3.79,3.71,3.69,3.59,3.5,3.46,3.35,3.34,3.24,2.92,2.91,2.88,2.74,2.72,2.59,2.33,2.22,1.77,1.36,1.31,0.82,0.73,0.0,0.0,0.0,0.0,100.0
08/10/2022,6.1,6.14,4.3,1.49,2.11,2.0,4.32,3.1,4.27,3.7,2.44,3.26,1.0,3.38,2.77,2.64,2.3,3.77,2.4,1.71,3.57,2.32,2.8,2.66,2.52,1.51,1.31,1.49,0.0,7.74,1.33,3.73,2.02,1.99,1.92,100.11
